DATE,ATNHPIUS46140Q
1977-01-01,52.61
1977-04-01,52.07
1977-07-01,55.12
1977-10-01,57.22
1978-01-01,58.49
1978-04-01,64.5
1978-07-01,67.19
1978-10-01,67.96
1979-01-01,72.15
1979-04-01,74.17
1979-07-01,75.75
1979-10-01,78.31
1980-01-01,80.75
1980-04-01,81.83
1980-07-01,85.26
1980-10-01,83.44
1981-01-01,80.14
1981-04-01,84.94
1981-07-01,90.28
1981-10-01,91.06
1982-01-01,91.41
1982-04-01,96.66
1982-07-01,96.6
1982-10-01,99.73
1983-01-01,100.42
1983-04-01,98.93
1983-07-01,100.81
1983-10-01,98.29
1984-01-01,98.16
1984-04-01,95.34
1984-07-01,94.36
1984-10-01,92.2
1985-01-01,94.08
1985-04-01,92.73
1985-07-01,94.33
1985-10-01,91.51
1986-01-01,93.32
1986-04-01,95.34
1986-07-01,92
1986-10-01,90.84
1987-01-01,91.78
1987-04-01,90.05
1987-07-01,87.94
1987-10-01,84.84
1988-01-01,86.14
1988-04-01,84.52
1988-07-01,84.62
1988-10-01,84.56
1989-01-01,85.1
1989-04-01,85.78
1989-07-01,86.65
1989-10-01,85.98
1990-01-01,85.36
1990-04-01,86.4
1990-07-01,86.72
1990-10-01,85.41
1991-01-01,87.18
1991-04-01,88.54
1991-07-01,88.06
1991-10-01,89.85
1992-01-01,90.04
1992-04-01,89.95
1992-07-01,91.68
1992-10-01,92.05
1993-01-01,93.31
1993-04-01,94.58
1993-07-01,95.15
1993-10-01,96.66
1994-01-01,97.26
1994-04-01,98.3
1994-07-01,98.31
1994-10-01,97.64
1995-01-01,100.00
1995-04-01,101.1
1995-07-01,102.58
1995-10-01,103.12
1996-01-01,103.97
1996-04-01,104.52
1996-07-01,105.48
1996-10-01,106.97
1997-01-01,107.14
1997-04-01,107.92
1997-07-01,110.2
1997-10-01,111.48
1998-01-01,113.53
1998-04-01,114.1
1998-07-01,115.72
1998-10-01,118.8
1999-01-01,119.55
1999-04-01,120.78
1999-07-01,123.03
1999-10-01,122.86
2000-01-01,124.99
2000-04-01,126.38
2000-07-01,128.85
2000-10-01,129.96
2001-01-01,132.86
2001-04-01,134.6
2001-07-01,135.8
2001-10-01,137.72
2002-01-01,137.88
2002-04-01,139.36
2002-07-01,141.16
2002-10-01,142.57
2003-01-01,143.11
2003-04-01,144.47
2003-07-01,144.61
2003-10-01,145.57
2004-01-01,147.26
2004-04-01,147.25
2004-07-01,147.29
2004-10-01,149.77
2005-01-01,149.92
2005-04-01,151.38
2005-07-01,152.73
2005-10-01,154.88
2006-01-01,155.91
2006-04-01,155.93
2006-07-01,157.54
2006-10-01,159.15
2007-01-01,162.36
2007-04-01,161.98
2007-07-01,164.73
2007-10-01,165.32
2008-01-01,167.12
2008-04-01,168.1
2008-07-01,166.68
2008-10-01,166.13
2009-01-01,169.59
2009-04-01,167.61
2009-07-01,168.16
2009-10-01,167.71
2010-01-01,167.61
2010-04-01,166.59
2010-07-01,168.49
2010-10-01,168.1
2011-01-01,163.31
2011-04-01,161.8
2011-07-01,162.43
2011-10-01,164.7
2012-01-01,164.35
2012-04-01,163.69
2012-07-01,165.08
2012-10-01,167.05
2013-01-01,165.49
2013-04-01,167.18
2013-07-01,168.42
2013-10-01,166
2014-01-01,167.92
2014-04-01,169.6
2014-07-01,171.69
2014-10-01,171.57
2015-01-01,174.99
2015-04-01,178.89
2015-07-01,179.7
2015-10-01,180.46
2016-01-01,180.11
2016-04-01,182.36
2016-07-01,185.42
2016-10-01,184.88
2017-01-01,186.7
2017-04-01,190.02
2017-07-01,190.43
2017-10-01,193.03
2018-01-01,192.54
2018-04-01,196.34
2018-07-01,198.16
2018-10-01,198.95
2019-01-01,201.33
2019-04-01,202.76
2019-07-01,206.41
2019-10-01,208.68
2020-01-01,210.97
2020-04-01,212.23
2020-07-01,216.34
2020-10-01,220.39
2021-01-01,225.84
2021-04-01,235.05
