DATE,Akron_OH
7/1/1976,40.24
10/1/1976,38.98
1/1/1977,40.88
4/1/1977,42.38
7/1/1977,43.94
10/1/1977,44.65
1/1/1978,48.38
4/1/1978,49.39
7/1/1978,48.69
10/1/1978,53.06
1/1/1979,53.69
4/1/1979,56.28
7/1/1979,56.21
10/1/1979,55.61
1/1/1980,55.67
4/1/1980,56.92
7/1/1980,56.27
10/1/1980,57.08
1/1/1981,56.22
4/1/1981,57.13
7/1/1981,56.68
10/1/1981,54.41
1/1/1982,47.88
4/1/1982,53.25
7/1/1982,52.3
10/1/1982,55.62
1/1/1983,56.58
4/1/1983,58.2
7/1/1983,57.97
10/1/1983,56.76
1/1/1984,56.8
4/1/1984,57.8
7/1/1984,56.74
10/1/1984,57.58
1/1/1985,58.69
4/1/1985,59.07
7/1/1985,59.49
10/1/1985,59.9
1/1/1986,61.53
4/1/1986,61.91
7/1/1986,63.35
10/1/1986,63.92
1/1/1987,65.03
4/1/1987,66.93
7/1/1987,67.78
10/1/1987,67.93
1/1/1988,69.87
4/1/1988,70.64
7/1/1988,71.2
10/1/1988,71.86
1/1/1989,71.71
4/1/1989,73.9
7/1/1989,77
10/1/1989,76.84
1/1/1990,79.3
4/1/1990,78.53
7/1/1990,80.68
10/1/1990,80.66
1/1/1991,82
4/1/1991,83.1
7/1/1991,84.06
10/1/1991,84.92
1/1/1992,86.9
4/1/1992,87.41
7/1/1992,89.11
10/1/1992,90.13
1/1/1993,91.1
4/1/1993,92.01
7/1/1993,93.79
10/1/1993,95.35
1/1/1994,95.68
4/1/1994,96.69
7/1/1994,98.57
10/1/1994,98.47
1/1/1995,100
4/1/1995,101.49
7/1/1995,103.39
10/1/1995,104.69
1/1/1996,107.17
4/1/1996,107.28
7/1/1996,108.23
10/1/1996,110
1/1/1997,110.94
4/1/1997,111.94
7/1/1997,114.19
10/1/1997,115.41
1/1/1998,117.42
4/1/1998,118.49
7/1/1998,119.77
10/1/1998,121.27
1/1/1999,122.3
4/1/1999,123.61
7/1/1999,123.79
10/1/1999,124.1
1/1/2000,124.18
4/1/2000,125.95
7/1/2000,128.04
10/1/2000,129.45
1/1/2001,132.2
4/1/2001,133.5
7/1/2001,134.49
10/1/2001,136.39
1/1/2002,136.84
4/1/2002,137.07
7/1/2002,138.95
10/1/2002,139.92
1/1/2003,140.85
4/1/2003,141.68
7/1/2003,143.12
10/1/2003,143.33
1/1/2004,144.62
4/1/2004,145.56
7/1/2004,146.37
10/1/2004,147.72
1/1/2005,149.03
4/1/2005,150.38
7/1/2005,151.92
10/1/2005,152.29
1/1/2006,152.87
4/1/2006,150.25
7/1/2006,149.33
10/1/2006,151.27
1/1/2007,150.62
4/1/2007,148.68
7/1/2007,147.23
10/1/2007,146.7
1/1/2008,147.5
4/1/2008,145.63
7/1/2008,141.13
10/1/2008,141.33
1/1/2009,144.39
4/1/2009,140.53
7/1/2009,137.72
10/1/2009,137.96
1/1/2010,135.44
4/1/2010,135.45
7/1/2010,136.84
10/1/2010,136.26
1/1/2011,132.62
4/1/2011,129.19
7/1/2011,130.44
10/1/2011,130.14
1/1/2012,127.01
4/1/2012,126.64
7/1/2012,127.63
10/1/2012,128.52
1/1/2013,128.27
4/1/2013,128.79
7/1/2013,129.5
10/1/2013,130.28
1/1/2014,128.6
4/1/2014,132.24
7/1/2014,134.79
10/1/2014,134.53
1/1/2015,134.78
4/1/2015,138.72
7/1/2015,136.89
10/1/2015,140.45
1/1/2016,138.97
4/1/2016,141.86
7/1/2016,143.43
10/1/2016,142.47
1/1/2017,143.51
4/1/2017,148.1
7/1/2017,149
10/1/2017,150.48
1/1/2018,151.26
4/1/2018,153.26
7/1/2018,158.41
10/1/2018,156.44
1/1/2019,158.56
4/1/2019,162.13
7/1/2019,164.05
10/1/2019,165.68
1/1/2020,167.92
4/1/2020,169.05
7/1/2020,173.04
10/1/2020,177.92
1/1/2021,180.07
4/1/2021,187.99
