DATE,Amarillo_TX
1/1/1980,65.72
4/1/1980,64.6
7/1/1980,63.21
10/1/1980,67.09
1/1/1981,70.57
4/1/1981,80.95
7/1/1981,75
10/1/1981,71.31
1/1/1982,79.8
4/1/1982,62.48
7/1/1982,64
10/1/1982,72.28
1/1/1983,81.01
4/1/1983,79.6
7/1/1983,81.51
10/1/1983,82.59
1/1/1984,82.5
4/1/1984,87.18
7/1/1984,85.31
10/1/1984,86.88
1/1/1985,83.81
4/1/1985,84.05
7/1/1985,84.62
10/1/1985,84.83
1/1/1986,85.58
4/1/1986,85.26
7/1/1986,84.77
10/1/1986,84.79
1/1/1987,84.97
4/1/1987,85.94
7/1/1987,84.67
10/1/1987,79.97
1/1/1988,83.67
4/1/1988,79.14
7/1/1988,76.89
10/1/1988,73.23
1/1/1989,77.23
4/1/1989,76.04
7/1/1989,76.08
10/1/1989,74.89
1/1/1990,73.42
4/1/1990,73.89
7/1/1990,76.15
10/1/1990,73.87
1/1/1991,77.77
4/1/1991,77.39
7/1/1991,80.49
10/1/1991,79.72
1/1/1992,81.07
4/1/1992,81.34
7/1/1992,82.95
10/1/1992,84.04
1/1/1993,84.17
4/1/1993,87.31
7/1/1993,89.77
10/1/1993,90.32
1/1/1994,93.84
4/1/1994,95.89
7/1/1994,98.75
10/1/1994,98.48
1/1/1995,100
4/1/1995,102.02
7/1/1995,102.96
10/1/1995,104.15
1/1/1996,103.14
4/1/1996,104.26
7/1/1996,105.22
10/1/1996,104.87
1/1/1997,106.15
4/1/1997,106.54
7/1/1997,107.24
10/1/1997,110.02
1/1/1998,109.47
4/1/1998,109.39
7/1/1998,111.26
10/1/1998,112.04
1/1/1999,112.54
4/1/1999,115.65
7/1/1999,118.58
10/1/1999,118.74
1/1/2000,120.56
4/1/2000,120.26
7/1/2000,121.89
10/1/2000,123.29
1/1/2001,126.61
4/1/2001,126.52
7/1/2001,127.6
10/1/2001,128.2
1/1/2002,129.2
4/1/2002,131.37
7/1/2002,132.4
10/1/2002,135.76
1/1/2003,135.61
4/1/2003,135.78
7/1/2003,135.69
10/1/2003,137.33
1/1/2004,137.34
4/1/2004,139.11
7/1/2004,141.66
10/1/2004,144.24
1/1/2005,142.82
4/1/2005,146.92
7/1/2005,149.63
10/1/2005,151.95
1/1/2006,151.52
4/1/2006,155.13
7/1/2006,157.9
10/1/2006,157.4
1/1/2007,159.96
4/1/2007,161.75
7/1/2007,161.66
10/1/2007,163.16
1/1/2008,164.72
4/1/2008,163.46
7/1/2008,163
10/1/2008,164.91
1/1/2009,164.72
4/1/2009,165.5
7/1/2009,166.01
10/1/2009,165.36
1/1/2010,166.53
4/1/2010,165.13
7/1/2010,166.76
10/1/2010,164.93
1/1/2011,165.87
4/1/2011,163.22
7/1/2011,163.45
10/1/2011,166.13
1/1/2012,167.3
4/1/2012,166.43
7/1/2012,166.36
10/1/2012,169.56
1/1/2013,169.18
4/1/2013,170.32
7/1/2013,171.31
10/1/2013,172.55
1/1/2014,170.22
4/1/2014,174.2
7/1/2014,174.45
10/1/2014,174.37
1/1/2015,177.47
4/1/2015,178.99
7/1/2015,183.21
10/1/2015,183.31
1/1/2016,184.43
4/1/2016,187.3
7/1/2016,188.98
10/1/2016,189.15
1/1/2017,190.37
4/1/2017,191.39
7/1/2017,194.32
10/1/2017,194.63
1/1/2018,196.16
4/1/2018,197.89
7/1/2018,199.33
10/1/2018,198.6
1/1/2019,199.67
4/1/2019,201.83
7/1/2019,205.35
10/1/2019,206.03
1/1/2020,207.38
4/1/2020,208.56
7/1/2020,210.93
10/1/2020,215.17
1/1/2021,220.84
4/1/2021,230.58
