DATE,Ann_Arbor_MI
4/1/1978,46.02
7/1/1978,47.4
10/1/1978,53.26
1/1/1979,53.14
4/1/1979,54.96
7/1/1979,57.13
10/1/1979,50.98
1/1/1980,54.92
4/1/1980,54.46
7/1/1980,56.43
10/1/1980,55.82
1/1/1981,57.77
4/1/1981,57.33
7/1/1981,61.22
10/1/1981,.
1/1/1982,.
4/1/1982,55.95
7/1/1982,53.82
10/1/1982,51.51
1/1/1983,52.57
4/1/1983,53.9
7/1/1983,55.32
10/1/1983,53.72
1/1/1984,54.18
4/1/1984,54.48
7/1/1984,54.77
10/1/1984,53.69
1/1/1985,53.64
4/1/1985,55.14
7/1/1985,56.37
10/1/1985,57.02
1/1/1986,57.3
4/1/1986,58.94
7/1/1986,60.52
10/1/1986,62.03
1/1/1987,62.77
4/1/1987,66.11
7/1/1987,68.99
10/1/1987,69.65
1/1/1988,72.14
4/1/1988,74.44
7/1/1988,76.44
10/1/1988,77.91
1/1/1989,79.55
4/1/1989,80.9
7/1/1989,84.28
10/1/1989,84.73
1/1/1990,85.35
4/1/1990,86.4
7/1/1990,86.13
10/1/1990,87.36
1/1/1991,86.97
4/1/1991,89.24
7/1/1991,89.43
10/1/1991,90.43
1/1/1992,91.17
4/1/1992,91.19
7/1/1992,91.86
10/1/1992,91.95
1/1/1993,92.37
4/1/1993,92.65
7/1/1993,93.15
10/1/1993,94.04
1/1/1994,95.08
4/1/1994,95.59
7/1/1994,97.56
10/1/1994,98.93
1/1/1995,100
4/1/1995,101.68
7/1/1995,102.81
10/1/1995,104.38
1/1/1996,106.5
4/1/1996,108.44
7/1/1996,110.42
10/1/1996,111.74
1/1/1997,114.09
4/1/1997,116.21
7/1/1997,118.45
10/1/1997,119.74
1/1/1998,121.23
4/1/1998,123.06
7/1/1998,126.17
10/1/1998,126.88
1/1/1999,129.42
4/1/1999,132.63
7/1/1999,136.22
10/1/1999,139.56
1/1/2000,141.55
4/1/2000,145.01
7/1/2000,148.33
10/1/2000,150.21
1/1/2001,152.58
4/1/2001,154.52
7/1/2001,157.55
10/1/2001,158.27
1/1/2002,161.41
4/1/2002,164.42
7/1/2002,165.59
10/1/2002,166.92
1/1/2003,168.49
4/1/2003,169.84
7/1/2003,171.09
10/1/2003,174.5
1/1/2004,174.88
4/1/2004,178.13
7/1/2004,181.39
10/1/2004,182.42
1/1/2005,184.17
4/1/2005,187.54
7/1/2005,187.5
10/1/2005,185.69
1/1/2006,185.02
4/1/2006,181.71
7/1/2006,179.96
10/1/2006,180.85
1/1/2007,179.32
4/1/2007,173.9
7/1/2007,164.57
10/1/2007,164.31
1/1/2008,164.69
4/1/2008,157.42
7/1/2008,150.44
10/1/2008,150.23
1/1/2009,151.95
4/1/2009,147.15
7/1/2009,143.47
10/1/2009,141.26
1/1/2010,140.4
4/1/2010,140.86
7/1/2010,140.53
10/1/2010,140.3
1/1/2011,139.24
4/1/2011,138.53
7/1/2011,138.79
10/1/2011,138.89
1/1/2012,136.57
4/1/2012,138.66
7/1/2012,140.83
10/1/2012,141.94
1/1/2013,145.48
4/1/2013,149.17
7/1/2013,153.47
10/1/2013,155.75
1/1/2014,158.61
4/1/2014,162.83
7/1/2014,165.92
10/1/2014,166.3
1/1/2015,166.71
4/1/2015,171.96
7/1/2015,174.24
10/1/2015,177.32
1/1/2016,176.51
4/1/2016,179.54
7/1/2016,184.26
10/1/2016,184.41
1/1/2017,188.23
4/1/2017,194.68
7/1/2017,198.9
10/1/2017,199.42
1/1/2018,200.5
4/1/2018,208.63
7/1/2018,212.96
10/1/2018,212.05
1/1/2019,214.4
4/1/2019,218.57
7/1/2019,220.39
10/1/2019,220.26
1/1/2020,222.78
4/1/2020,222.84
7/1/2020,226.41
10/1/2020,229.2
1/1/2021,232.46
4/1/2021,242.26
