DATE,Asheville_NC
10/1/1984,61.42
1/1/1985,63.89
4/1/1985,64.06
7/1/1985,67.31
10/1/1985,66.52
1/1/1986,65.59
4/1/1986,67.93
7/1/1986,69.4
10/1/1986,70.05
1/1/1987,72.25
4/1/1987,72.04
7/1/1987,75.2
10/1/1987,74.91
1/1/1988,74.51
4/1/1988,75.16
7/1/1988,76.87
10/1/1988,78.46
1/1/1989,77.33
4/1/1989,78.01
7/1/1989,80.84
10/1/1989,79.94
1/1/1990,81.92
4/1/1990,82.62
7/1/1990,84.75
10/1/1990,84.91
1/1/1991,85.26
4/1/1991,85.22
7/1/1991,85.52
10/1/1991,87.4
1/1/1992,88.5
4/1/1992,89.33
7/1/1992,90.15
10/1/1992,91.29
1/1/1993,90.18
4/1/1993,93.14
7/1/1993,93.28
10/1/1993,94.41
1/1/1994,94.15
4/1/1994,96.39
7/1/1994,96.37
10/1/1994,98.24
1/1/1995,100
4/1/1995,101.09
7/1/1995,102.65
10/1/1995,104.49
1/1/1996,105.09
4/1/1996,107.25
7/1/1996,108.65
10/1/1996,109.78
1/1/1997,113.07
4/1/1997,114.84
7/1/1997,115.8
10/1/1997,119.3
1/1/1998,120.32
4/1/1998,123.21
7/1/1998,125.5
10/1/1998,126.64
1/1/1999,127.48
4/1/1999,130.3
7/1/1999,130.61
10/1/1999,132.58
1/1/2000,135.21
4/1/2000,137.08
7/1/2000,139.07
10/1/2000,141.54
1/1/2001,144.19
4/1/2001,147.06
7/1/2001,149.02
10/1/2001,151.02
1/1/2002,152.06
4/1/2002,154.5
7/1/2002,157.61
10/1/2002,159.34
1/1/2003,161.18
4/1/2003,163.65
7/1/2003,165.64
10/1/2003,168.06
1/1/2004,170.28
4/1/2004,173.45
7/1/2004,179.04
10/1/2004,180.59
1/1/2005,186.96
4/1/2005,191.52
7/1/2005,195.47
10/1/2005,202.97
1/1/2006,206.27
4/1/2006,213.55
7/1/2006,220.16
10/1/2006,223.4
1/1/2007,229.99
4/1/2007,233.75
7/1/2007,235.1
10/1/2007,236.51
1/1/2008,237.42
4/1/2008,237.5
7/1/2008,234.32
10/1/2008,234.18
1/1/2009,236.65
4/1/2009,233.13
7/1/2009,228.21
10/1/2009,222.46
1/1/2010,221.21
4/1/2010,215.73
7/1/2010,219.18
10/1/2010,216.24
1/1/2011,211.95
4/1/2011,207.45
7/1/2011,206.73
10/1/2011,208.92
1/1/2012,207.07
4/1/2012,200.7
7/1/2012,205.63
10/1/2012,204.5
1/1/2013,206.2
4/1/2013,207.17
7/1/2013,207.66
10/1/2013,209.8
1/1/2014,211.14
4/1/2014,214.46
7/1/2014,219.81
10/1/2014,220.42
1/1/2015,223.7
4/1/2015,230.19
7/1/2015,233.39
10/1/2015,237.41
1/1/2016,240.22
4/1/2016,245.64
7/1/2016,252.12
10/1/2016,253.42
1/1/2017,257.2
4/1/2017,267.85
7/1/2017,268.87
10/1/2017,271.82
1/1/2018,278.52
4/1/2018,282.77
7/1/2018,287.44
10/1/2018,287.21
1/1/2019,293.06
4/1/2019,297.27
7/1/2019,299.71
10/1/2019,305.46
1/1/2020,306.75
4/1/2020,310.21
7/1/2020,316.1
10/1/2020,322.85
1/1/2021,332.65
4/1/2021,350.41
