DATE,Austin_TX
4/1/1977,39.16
7/1/1977,40.65
10/1/1977,43.24
1/1/1978,44.35
4/1/1978,46.47
7/1/1978,48.1
10/1/1978,49.38
1/1/1979,52.29
4/1/1979,52.66
7/1/1979,55.95
10/1/1979,59.22
1/1/1980,58.41
4/1/1980,63.7
7/1/1980,60.54
10/1/1980,61.54
1/1/1981,63.54
4/1/1981,66.63
7/1/1981,68.58
10/1/1981,57.47
1/1/1982,69.24
4/1/1982,64.23
7/1/1982,62.53
10/1/1982,72.84
1/1/1983,74.32
4/1/1983,77.35
7/1/1983,78.07
10/1/1983,81.34
1/1/1984,82.55
4/1/1984,86.27
7/1/1984,89.86
10/1/1984,91.49
1/1/1985,93.47
4/1/1985,96.79
7/1/1985,96.5
10/1/1985,96.55
1/1/1986,97.07
4/1/1986,98.66
7/1/1986,97.72
10/1/1986,95.73
1/1/1987,93.33
4/1/1987,91.71
7/1/1987,85.06
10/1/1987,81.37
1/1/1988,79.24
4/1/1988,91.47
7/1/1988,75.32
10/1/1988,73.77
1/1/1989,73.36
4/1/1989,72.98
7/1/1989,73.99
10/1/1989,73.01
1/1/1990,72.77
4/1/1990,73.15
7/1/1990,72.77
10/1/1990,72.99
1/1/1991,75.08
4/1/1991,76.81
7/1/1991,77.95
10/1/1991,78.38
1/1/1992,80.29
4/1/1992,82.15
7/1/1992,84.43
10/1/1992,85.66
1/1/1993,87.78
4/1/1993,89.84
7/1/1993,93.05
10/1/1993,94.96
1/1/1994,97.2
4/1/1994,99.84
7/1/1994,100.34
10/1/1994,100.25
1/1/1995,100
4/1/1995,102.2
7/1/1995,104.16
10/1/1995,105.03
1/1/1996,105.87
4/1/1996,106.2
7/1/1996,106.23
10/1/1996,107.24
1/1/1997,106.89
4/1/1997,107.13
7/1/1997,107.3
10/1/1997,109.1
1/1/1998,110.54
4/1/1998,111.54
7/1/1998,113.2
10/1/1998,114.68
1/1/1999,116.18
4/1/1999,119.73
7/1/1999,123.19
10/1/1999,126.42
1/1/2000,130.13
4/1/2000,135.38
7/1/2000,140
10/1/2000,142.2
1/1/2001,147.87
4/1/2001,150.02
7/1/2001,149.61
10/1/2001,150.42
1/1/2002,150.08
4/1/2002,150.44
7/1/2002,152.82
10/1/2002,153.43
1/1/2003,153.38
4/1/2003,153.39
7/1/2003,152.27
10/1/2003,153.03
1/1/2004,153.22
4/1/2004,153.9
7/1/2004,154.01
10/1/2004,156.36
1/1/2005,157.37
4/1/2005,160.72
7/1/2005,163.74
10/1/2005,165.8
1/1/2006,167.92
4/1/2006,173.41
7/1/2006,176.97
10/1/2006,180.49
1/1/2007,184.75
4/1/2007,190.18
7/1/2007,192.04
10/1/2007,193.64
1/1/2008,196.92
4/1/2008,198
7/1/2008,197.45
10/1/2008,197.97
1/1/2009,198.38
4/1/2009,196.26
7/1/2009,194.71
10/1/2009,194.25
1/1/2010,193.42
4/1/2010,193.25
7/1/2010,194.78
10/1/2010,193.4
1/1/2011,189.5
4/1/2011,189.94
7/1/2011,191.84
10/1/2011,193.9
1/1/2012,193.41
4/1/2012,195.23
7/1/2012,198.35
10/1/2012,200.95
1/1/2013,204.21
4/1/2013,210.14
7/1/2013,216.7
10/1/2013,220.86
1/1/2014,225.94
4/1/2014,236.94
7/1/2014,242.35
10/1/2014,244.72
1/1/2015,248.8
4/1/2015,258.47
7/1/2015,266.18
10/1/2015,266.86
1/1/2016,273.14
4/1/2016,281.23
7/1/2016,287.5
10/1/2016,288.69
1/1/2017,293.5
4/1/2017,302.92
7/1/2017,305.94
10/1/2017,307.69
1/1/2018,311.85
4/1/2018,319.83
7/1/2018,323.46
10/1/2018,323.89
1/1/2019,331.89
4/1/2019,339.2
7/1/2019,343.72
10/1/2019,347.06
1/1/2020,352.99
4/1/2020,358.1
7/1/2020,364.84
10/1/2020,376.95
1/1/2021,393.42
4/1/2021,437.48
