DATE,Bakersfield_CA
7/1/1977,52.51
10/1/1977,53.61
1/1/1978,53.52
4/1/1978,58.22
7/1/1978,58.61
10/1/1978,61.44
1/1/1979,61.4
4/1/1979,65.14
7/1/1979,67.57
10/1/1979,69.62
1/1/1980,68.02
4/1/1980,70.72
7/1/1980,73.87
10/1/1980,72.25
1/1/1981,73.01
4/1/1981,74.55
7/1/1981,76.93
10/1/1981,82.24
1/1/1982,76.56
4/1/1982,73.02
7/1/1982,73.9
10/1/1982,80.96
1/1/1983,83.32
4/1/1983,82.43
7/1/1983,81.63
10/1/1983,82.06
1/1/1984,82.06
4/1/1984,83.96
7/1/1984,83.57
10/1/1984,84.28
1/1/1985,85.58
4/1/1985,84.33
7/1/1985,86.03
10/1/1985,86.29
1/1/1986,86.58
4/1/1986,88.87
7/1/1986,89.06
10/1/1986,87.73
1/1/1987,88.7
4/1/1987,89.78
7/1/1987,88.29
10/1/1987,86.21
1/1/1988,88.02
4/1/1988,88.75
7/1/1988,89.2
10/1/1988,90.22
1/1/1989,89.87
4/1/1989,91.61
7/1/1989,93.14
10/1/1989,95.43
1/1/1990,97.39
4/1/1990,98.69
7/1/1990,101.3
10/1/1990,102.93
1/1/1991,104.44
4/1/1991,105.82
7/1/1991,105.6
10/1/1991,108.44
1/1/1992,109.26
4/1/1992,108.28
7/1/1992,110.04
10/1/1992,109.48
1/1/1993,108.79
4/1/1993,109.13
7/1/1993,108.15
10/1/1993,108.56
1/1/1994,107.6
4/1/1994,103.99
7/1/1994,103.52
10/1/1994,101.14
1/1/1995,100
4/1/1995,100.94
7/1/1995,102.08
10/1/1995,101.87
1/1/1996,103.27
4/1/1996,100.19
7/1/1996,98.64
10/1/1996,99.57
1/1/1997,99.03
4/1/1997,98.11
7/1/1997,99.25
10/1/1997,101.76
1/1/1998,103.61
4/1/1998,102.63
7/1/1998,103.82
10/1/1998,104.54
1/1/1999,104.61
4/1/1999,103.65
7/1/1999,104.94
10/1/1999,102.64
1/1/2000,104.21
4/1/2000,104.85
7/1/2000,107.35
10/1/2000,109.14
1/1/2001,111.81
4/1/2001,113.89
7/1/2001,115.64
10/1/2001,117.48
1/1/2002,119.61
4/1/2002,123.12
7/1/2002,126.77
10/1/2002,130.18
1/1/2003,133.76
4/1/2003,137.95
7/1/2003,144.06
10/1/2003,152.55
1/1/2004,159.23
4/1/2004,169.85
7/1/2004,189.48
10/1/2004,201.37
1/1/2005,215
4/1/2005,229.98
7/1/2005,245.34
10/1/2005,260.23
1/1/2006,269.95
4/1/2006,275.65
7/1/2006,278.66
10/1/2006,279.43
1/1/2007,276.75
4/1/2007,270.45
7/1/2007,259.81
10/1/2007,246.17
1/1/2008,227.34
4/1/2008,207.99
7/1/2008,182.33
10/1/2008,172.91
1/1/2009,171.91
4/1/2009,163.16
7/1/2009,154.2
10/1/2009,152.15
1/1/2010,152.67
4/1/2010,148.51
7/1/2010,146.97
10/1/2010,146.5
1/1/2011,139.95
4/1/2011,133.99
7/1/2011,135.15
10/1/2011,135.96
1/1/2012,135.59
4/1/2012,137.26
7/1/2012,142.31
10/1/2012,145.52
1/1/2013,149.64
4/1/2013,157.36
7/1/2013,165.14
10/1/2013,170.22
1/1/2014,176.58
4/1/2014,179.32
7/1/2014,182.78
10/1/2014,184.87
1/1/2015,187.49
4/1/2015,188.56
7/1/2015,191.14
10/1/2015,191.11
1/1/2016,192.29
4/1/2016,193.61
7/1/2016,195.51
10/1/2016,198.44
1/1/2017,199.03
4/1/2017,202.42
7/1/2017,203.8
10/1/2017,206.83
1/1/2018,208.97
4/1/2018,211.71
7/1/2018,214.6
10/1/2018,215.6
1/1/2019,217.97
4/1/2019,221.05
7/1/2019,224.13
10/1/2019,226.51
1/1/2020,229.67
4/1/2020,232.95
7/1/2020,236.65
10/1/2020,243.41
1/1/2021,251.51
4/1/2021,265.19
