DATE,Bend_OR
4/1/1985,47.76
7/1/1985,47.2
10/1/1985,47.35
1/1/1986,46.64
4/1/1986,48.58
7/1/1986,50.03
10/1/1986,47.92
1/1/1987,48.51
4/1/1987,48.97
7/1/1987,49.47
10/1/1987,49.07
1/1/1988,51.37
4/1/1988,52
7/1/1988,54.34
10/1/1988,55.11
1/1/1989,59.12
4/1/1989,58.56
7/1/1989,62.53
10/1/1989,64.12
1/1/1990,68.53
4/1/1990,73.16
7/1/1990,74.25
10/1/1990,76.35
1/1/1991,78.5
4/1/1991,80.27
7/1/1991,81.4
10/1/1991,83.49
1/1/1992,85.79
4/1/1992,86.97
7/1/1992,88.07
10/1/1992,90.25
1/1/1993,90.72
4/1/1993,92.48
7/1/1993,93.42
10/1/1993,94.14
1/1/1994,96.32
4/1/1994,97.35
7/1/1994,99.07
10/1/1994,98.4
1/1/1995,100
4/1/1995,101.64
7/1/1995,103.75
10/1/1995,104.97
1/1/1996,106.36
4/1/1996,106.88
7/1/1996,106.64
10/1/1996,107.37
1/1/1997,107.67
4/1/1997,109.35
7/1/1997,110.79
10/1/1997,113.35
1/1/1998,115.12
4/1/1998,115.26
7/1/1998,116.61
10/1/1998,118.3
1/1/1999,120.99
4/1/1999,122.25
7/1/1999,123.43
10/1/1999,127.07
1/1/2000,129.28
4/1/2000,131.72
7/1/2000,133.9
10/1/2000,135.43
1/1/2001,139.99
4/1/2001,142.3
7/1/2001,145.1
10/1/2001,146.49
1/1/2002,149.95
4/1/2002,153.21
7/1/2002,155.57
10/1/2002,158.09
1/1/2003,160.99
4/1/2003,162.75
7/1/2003,165.58
10/1/2003,169.93
1/1/2004,171.6
4/1/2004,178.31
7/1/2004,184.08
10/1/2004,189.88
1/1/2005,196.49
4/1/2005,208.96
7/1/2005,226.87
10/1/2005,247.1
1/1/2006,263.01
4/1/2006,285.42
7/1/2006,295.75
10/1/2006,297.3
1/1/2007,296.26
4/1/2007,289.57
7/1/2007,287.4
10/1/2007,283.31
1/1/2008,272.24
4/1/2008,259.67
7/1/2008,241.5
10/1/2008,226.95
1/1/2009,226.22
4/1/2009,209.74
7/1/2009,187.76
10/1/2009,180.87
1/1/2010,172.58
4/1/2010,166.36
7/1/2010,164.93
10/1/2010,165.98
1/1/2011,158.32
4/1/2011,157.56
7/1/2011,159.67
10/1/2011,163.63
1/1/2012,164.15
4/1/2012,160.01
7/1/2012,165.43
10/1/2012,171.01
1/1/2013,177.48
4/1/2013,188.25
7/1/2013,197.97
10/1/2013,206.92
1/1/2014,212.34
4/1/2014,219.54
7/1/2014,228.72
10/1/2014,230.81
1/1/2015,234.93
4/1/2015,246.52
7/1/2015,255.75
10/1/2015,257.7
1/1/2016,263.92
4/1/2016,272.23
7/1/2016,283.68
10/1/2016,286.97
1/1/2017,290.27
4/1/2017,304.8
7/1/2017,307.08
10/1/2017,312.49
1/1/2018,316.43
4/1/2018,326.55
7/1/2018,330.04
10/1/2018,334.63
1/1/2019,337.55
4/1/2019,342.07
7/1/2019,348.8
10/1/2019,353.51
1/1/2020,356.07
4/1/2020,362.69
7/1/2020,369.19
10/1/2020,384.01
1/1/2021,403.03
4/1/2021,440.66
