DATE,Cedar_Rapids_IA
1/1/1979,56.67
4/1/1979,56.64
7/1/1979,59.89
10/1/1979,59.86
1/1/1980,63.15
4/1/1980,64.74
7/1/1980,61.29
10/1/1980,53.9
1/1/1981,.
4/1/1981,.
7/1/1981,.
10/1/1981,.
1/1/1982,.
4/1/1982,.
7/1/1982,55.44
10/1/1982,.
1/1/1983,.
4/1/1983,56.84
7/1/1983,60.61
10/1/1983,.
1/1/1984,59.51
4/1/1984,56.15
7/1/1984,58.64
10/1/1984,61.12
1/1/1985,60.45
4/1/1985,62.11
7/1/1985,61.05
10/1/1985,61.3
1/1/1986,62.22
4/1/1986,63.03
7/1/1986,63.76
10/1/1986,63.96
1/1/1987,65.14
4/1/1987,65.66
7/1/1987,67.32
10/1/1987,66.15
1/1/1988,66.43
4/1/1988,69.84
7/1/1988,69.37
10/1/1988,69.7
1/1/1989,72.37
4/1/1989,72.53
7/1/1989,73.45
10/1/1989,74.53
1/1/1990,75.72
4/1/1990,76.09
7/1/1990,77.48
10/1/1990,77.5
1/1/1991,78.22
4/1/1991,80.49
7/1/1991,81.27
10/1/1991,82.08
1/1/1992,82.73
4/1/1992,84.38
7/1/1992,85.31
10/1/1992,85.59
1/1/1993,86.8
4/1/1993,88.88
7/1/1993,90.23
10/1/1993,91.71
1/1/1994,93.64
4/1/1994,96.62
7/1/1994,97.72
10/1/1994,99.29
1/1/1995,100
4/1/1995,101.64
7/1/1995,103.12
10/1/1995,104.25
1/1/1996,104.12
4/1/1996,105.28
7/1/1996,106.25
10/1/1996,106.17
1/1/1997,105.99
4/1/1997,107.14
7/1/1997,109.09
10/1/1997,109.22
1/1/1998,111.05
4/1/1998,111.27
7/1/1998,112.28
10/1/1998,113.61
1/1/1999,114.61
4/1/1999,115.23
7/1/1999,116.28
10/1/1999,115.92
1/1/2000,117.46
4/1/2000,118.68
7/1/2000,120.11
10/1/2000,120.71
1/1/2001,123.05
4/1/2001,124.21
7/1/2001,125.57
10/1/2001,126.33
1/1/2002,127.64
4/1/2002,127.76
7/1/2002,129.77
10/1/2002,130.4
1/1/2003,131.64
4/1/2003,132.34
7/1/2003,133.76
10/1/2003,134.87
1/1/2004,135.76
4/1/2004,136.91
7/1/2004,138.27
10/1/2004,139.49
1/1/2005,142.06
4/1/2005,142.45
7/1/2005,142.68
10/1/2005,143.54
1/1/2006,143.47
4/1/2006,144.16
7/1/2006,144.92
10/1/2006,145.84
1/1/2007,146.36
4/1/2007,147.48
7/1/2007,147.76
10/1/2007,148.04
1/1/2008,148.28
4/1/2008,147.84
7/1/2008,148.01
10/1/2008,148.62
1/1/2009,149.3
4/1/2009,148.09
7/1/2009,148.85
10/1/2009,148.19
1/1/2010,147.69
4/1/2010,148.19
7/1/2010,149.5
10/1/2010,148.31
1/1/2011,146.95
4/1/2011,146.43
7/1/2011,148.01
10/1/2011,147.9
1/1/2012,148.1
4/1/2012,148.05
7/1/2012,148.1
10/1/2012,148.69
1/1/2013,149.16
4/1/2013,149.21
7/1/2013,148.95
10/1/2013,148.41
1/1/2014,149.06
4/1/2014,151.37
7/1/2014,151.37
10/1/2014,151.78
1/1/2015,153.02
4/1/2015,154.02
7/1/2015,153.71
10/1/2015,153.77
1/1/2016,155.13
4/1/2016,155.67
7/1/2016,156.95
10/1/2016,157.32
1/1/2017,160.02
4/1/2017,160.17
7/1/2017,162.34
10/1/2017,161.53
1/1/2018,163.6
4/1/2018,164.55
7/1/2018,168.38
10/1/2018,168.47
1/1/2019,168.9
4/1/2019,171.1
7/1/2019,171.48
10/1/2019,172.63
1/1/2020,174.11
4/1/2020,174.96
7/1/2020,176.3
10/1/2020,179.63
1/1/2021,181.61
4/1/2021,190.85
