DATE,Chattanooga_TN
4/1/1981,59.1
7/1/1981,50.52
10/1/1981,52.83
1/1/1982,59.25
4/1/1982,61.38
7/1/1982,58.93
10/1/1982,60.39
1/1/1983,62.6
4/1/1983,64.54
7/1/1983,63.43
10/1/1983,68.55
1/1/1984,67.11
4/1/1984,67.69
7/1/1984,58.91
10/1/1984,71.13
1/1/1985,66.8
4/1/1985,69.71
7/1/1985,71.53
10/1/1985,70.98
1/1/1986,71.43
4/1/1986,72.87
7/1/1986,72.89
10/1/1986,74.37
1/1/1987,77.61
4/1/1987,78.59
7/1/1987,81.12
10/1/1987,81.71
1/1/1988,83.58
4/1/1988,83.63
7/1/1988,84.17
10/1/1988,84.1
1/1/1989,84.69
4/1/1989,85.95
7/1/1989,85.31
10/1/1989,85.59
1/1/1990,86.29
4/1/1990,86.48
7/1/1990,86.25
10/1/1990,86.29
1/1/1991,87.75
4/1/1991,88.32
7/1/1991,88.42
10/1/1991,88.94
1/1/1992,90.4
4/1/1992,90.77
7/1/1992,92.44
10/1/1992,92.34
1/1/1993,92.89
4/1/1993,94.45
7/1/1993,95.65
10/1/1993,96.46
1/1/1994,97.78
4/1/1994,98.38
7/1/1994,99.38
10/1/1994,99.26
1/1/1995,100
4/1/1995,102.78
7/1/1995,103.42
10/1/1995,105.42
1/1/1996,107.07
4/1/1996,107.52
7/1/1996,108.93
10/1/1996,110.97
1/1/1997,111.27
4/1/1997,111.75
7/1/1997,113.23
10/1/1997,114.72
1/1/1998,117.17
4/1/1998,117.38
7/1/1998,119.32
10/1/1998,120.64
1/1/1999,122.41
4/1/1999,123.18
7/1/1999,124.11
10/1/1999,124.73
1/1/2000,124.89
4/1/2000,126.81
7/1/2000,127.65
10/1/2000,129.72
1/1/2001,132.86
4/1/2001,134.31
7/1/2001,135.65
10/1/2001,137.36
1/1/2002,138.16
4/1/2002,138.79
7/1/2002,141.87
10/1/2002,143.01
1/1/2003,144.38
4/1/2003,146.07
7/1/2003,147.75
10/1/2003,149.44
1/1/2004,151.52
4/1/2004,153.1
7/1/2004,155.88
10/1/2004,157.77
1/1/2005,160.83
4/1/2005,165.11
7/1/2005,166.88
10/1/2005,170.23
1/1/2006,171.97
4/1/2006,174.53
7/1/2006,175.22
10/1/2006,177.01
1/1/2007,179.09
4/1/2007,181.71
7/1/2007,181.48
10/1/2007,180.28
1/1/2008,181.86
4/1/2008,180.85
7/1/2008,177.78
10/1/2008,176.77
1/1/2009,181.12
4/1/2009,178.31
7/1/2009,175.28
10/1/2009,174.83
1/1/2010,174.69
4/1/2010,172.56
7/1/2010,176.48
10/1/2010,175.71
1/1/2011,171.45
4/1/2011,168.07
7/1/2011,170.67
10/1/2011,171.45
1/1/2012,169.36
4/1/2012,171.06
7/1/2012,171.94
10/1/2012,172.18
1/1/2013,172.21
4/1/2013,174.31
7/1/2013,172.42
10/1/2013,174.42
1/1/2014,175
4/1/2014,176.35
7/1/2014,176.77
10/1/2014,178.73
1/1/2015,178.43
4/1/2015,181.16
7/1/2015,183.91
10/1/2015,185.46
1/1/2016,186.43
4/1/2016,188.56
7/1/2016,190.4
10/1/2016,191.02
1/1/2017,194.52
4/1/2017,200.15
7/1/2017,203.57
10/1/2017,205.84
1/1/2018,206.62
4/1/2018,213.27
7/1/2018,214.75
10/1/2018,218
1/1/2019,219.96
4/1/2019,225.28
7/1/2019,228.27
10/1/2019,231.07
1/1/2020,233.15
4/1/2020,237.62
7/1/2020,243.73
10/1/2020,249.09
1/1/2021,255.41
4/1/2021,270.67
