DATE,Cleveland_OH
10/1/1975,36.44
1/1/1976,38.38
4/1/1976,38.55
7/1/1976,41.92
10/1/1976,40.88
1/1/1977,43.12
4/1/1977,44.54
7/1/1977,47.68
10/1/1977,48.83
1/1/1978,48.9
4/1/1978,51.86
7/1/1978,53.04
10/1/1978,54.07
1/1/1979,55.97
4/1/1979,56.98
7/1/1979,57.86
10/1/1979,56.86
1/1/1980,56.94
4/1/1980,55.83
7/1/1980,57.65
10/1/1980,57.57
1/1/1981,57.32
4/1/1981,58.47
7/1/1981,58.2
10/1/1981,58.42
1/1/1982,46.33
4/1/1982,51.44
7/1/1982,53.45
10/1/1982,56.8
1/1/1983,56.26
4/1/1983,58.85
7/1/1983,58.8
10/1/1983,59.43
1/1/1984,59.15
4/1/1984,59.87
7/1/1984,59.43
10/1/1984,60.18
1/1/1985,60.58
4/1/1985,61.14
7/1/1985,61.62
10/1/1985,62.4
1/1/1986,62.61
4/1/1986,63.74
7/1/1986,64.62
10/1/1986,65.63
1/1/1987,67.66
4/1/1987,68.51
7/1/1987,70.31
10/1/1987,70.44
1/1/1988,71.29
4/1/1988,72.2
7/1/1988,72.75
10/1/1988,74.29
1/1/1989,75.21
4/1/1989,76.8
7/1/1989,78.69
10/1/1989,79.54
1/1/1990,80.4
4/1/1990,82.04
7/1/1990,83.38
10/1/1990,83.17
1/1/1991,84.46
4/1/1991,86
7/1/1991,86.82
10/1/1991,87.83
1/1/1992,89.66
4/1/1992,89.86
7/1/1992,91.77
10/1/1992,92.78
1/1/1993,93.05
4/1/1993,94.09
7/1/1993,95.21
10/1/1993,96.9
1/1/1994,97.44
4/1/1994,98.72
7/1/1994,98.93
10/1/1994,100.3
1/1/1995,100
4/1/1995,102.3
7/1/1995,104.28
10/1/1995,105.59
1/1/1996,107.65
4/1/1996,108.12
7/1/1996,108.57
10/1/1996,109.12
1/1/1997,111.14
4/1/1997,111.66
7/1/1997,112.87
10/1/1997,114.32
1/1/1998,115.86
4/1/1998,116.62
7/1/1998,117.88
10/1/1998,119.04
1/1/1999,120.52
4/1/1999,121.18
7/1/1999,121.45
10/1/1999,121.67
1/1/2000,123.35
4/1/2000,124.45
7/1/2000,125.75
10/1/2000,127.41
1/1/2001,130.1
4/1/2001,131.04
7/1/2001,132.5
10/1/2001,133.62
1/1/2002,134.45
4/1/2002,135.73
7/1/2002,136.77
10/1/2002,137.98
1/1/2003,138.98
4/1/2003,139.85
7/1/2003,141.23
10/1/2003,142.95
1/1/2004,144.15
4/1/2004,145.1
7/1/2004,146.76
10/1/2004,148.23
1/1/2005,148.95
4/1/2005,150.26
7/1/2005,151.46
10/1/2005,151.16
1/1/2006,151.39
4/1/2006,150.35
7/1/2006,149.25
10/1/2006,149.01
1/1/2007,150.16
4/1/2007,148.32
7/1/2007,145.21
10/1/2007,144.59
1/1/2008,144.56
4/1/2008,142.68
7/1/2008,137.38
10/1/2008,137.28
1/1/2009,140.94
4/1/2009,136.85
7/1/2009,133.43
10/1/2009,132.87
1/1/2010,131.14
4/1/2010,129.58
7/1/2010,131.74
10/1/2010,130.67
1/1/2011,126.57
4/1/2011,124.24
7/1/2011,125.06
10/1/2011,126.04
1/1/2012,123.3
4/1/2012,122.46
7/1/2012,124.03
10/1/2012,123.78
1/1/2013,122.97
4/1/2013,123.54
7/1/2013,124.74
10/1/2013,124.62
1/1/2014,124.18
4/1/2014,126.77
7/1/2014,129.27
10/1/2014,129.45
1/1/2015,129.95
4/1/2015,132.53
7/1/2015,133.62
10/1/2015,132.55
1/1/2016,133.31
4/1/2016,135.74
7/1/2016,138.16
10/1/2016,138.52
1/1/2017,139.38
4/1/2017,143.21
7/1/2017,145.05
10/1/2017,144.42
1/1/2018,146.4
4/1/2018,149.83
7/1/2018,152.36
10/1/2018,151.62
1/1/2019,153.68
4/1/2019,156.8
7/1/2019,158.77
10/1/2019,160.19
1/1/2020,162.77
4/1/2020,164.32
7/1/2020,168.63
10/1/2020,172.45
1/1/2021,175.13
4/1/2021,183.76
