DATE,Colorado_Springs_CO
4/1/1979,48.65
7/1/1979,50.42
10/1/1979,51.55
1/1/1980,53.1
4/1/1980,55.62
7/1/1980,58.48
10/1/1980,57.33
1/1/1981,58.41
4/1/1981,54.72
7/1/1981,58.75
10/1/1981,49.09
1/1/1982,63.75
4/1/1982,65.82
7/1/1982,61.84
10/1/1982,71.5
1/1/1983,66.96
4/1/1983,65.85
7/1/1983,73.55
10/1/1983,66.57
1/1/1984,69.34
4/1/1984,69.44
7/1/1984,69.56
10/1/1984,71.44
1/1/1985,71.46
4/1/1985,72.97
7/1/1985,72.3
10/1/1985,72.61
1/1/1986,74.57
4/1/1986,76
7/1/1986,75.48
10/1/1986,75.43
1/1/1987,75.89
4/1/1987,75.68
7/1/1987,72.81
10/1/1987,73.92
1/1/1988,72.87
4/1/1988,74.16
7/1/1988,73.3
10/1/1988,72.51
1/1/1989,71.24
4/1/1989,72.15
7/1/1989,72.83
10/1/1989,72.97
1/1/1990,73.3
4/1/1990,73.11
7/1/1990,73.33
10/1/1990,73.17
1/1/1991,72.76
4/1/1991,74.14
7/1/1991,75.13
10/1/1991,76.39
1/1/1992,77.14
4/1/1992,78.53
7/1/1992,80.28
10/1/1992,81.47
1/1/1993,82.94
4/1/1993,85.69
7/1/1993,87.81
10/1/1993,90.04
1/1/1994,91.68
4/1/1994,95.46
7/1/1994,98.13
10/1/1994,98.42
1/1/1995,100
4/1/1995,101.91
7/1/1995,104.14
10/1/1995,105.67
1/1/1996,108.12
4/1/1996,109.24
7/1/1996,110.54
10/1/1996,111.62
1/1/1997,112.81
4/1/1997,113.79
7/1/1997,115.32
10/1/1997,116.79
1/1/1998,118.69
4/1/1998,119.59
7/1/1998,120.68
10/1/1998,121.88
1/1/1999,123.04
4/1/1999,124.04
7/1/1999,125.58
10/1/1999,127.15
1/1/2000,130.99
4/1/2000,131.81
7/1/2000,134.2
10/1/2000,136.37
1/1/2001,140.83
4/1/2001,143.42
7/1/2001,146.39
10/1/2001,147.97
1/1/2002,149.46
4/1/2002,150.68
7/1/2002,153.34
10/1/2002,154.7
1/1/2003,155.29
4/1/2003,155.69
7/1/2003,156.88
10/1/2003,158.54
1/1/2004,160.55
4/1/2004,161.55
7/1/2004,165.22
10/1/2004,167.71
1/1/2005,169.27
4/1/2005,173.65
7/1/2005,177.08
10/1/2005,179.6
1/1/2006,181.75
4/1/2006,182.15
7/1/2006,183.89
10/1/2006,185.33
1/1/2007,186.94
4/1/2007,186.22
7/1/2007,184.48
10/1/2007,184.18
1/1/2008,184.73
4/1/2008,181.63
7/1/2008,177.18
10/1/2008,179.23
1/1/2009,180.71
4/1/2009,177.43
7/1/2009,173.9
10/1/2009,174.45
1/1/2010,174.04
4/1/2010,171.08
7/1/2010,173.57
10/1/2010,172.14
1/1/2011,168.2
4/1/2011,164.44
7/1/2011,165.87
10/1/2011,167.61
1/1/2012,166.94
4/1/2012,164.68
7/1/2012,167.4
10/1/2012,169.29
1/1/2013,170.61
4/1/2013,172.1
7/1/2013,174.63
10/1/2013,173.57
1/1/2014,174.05
4/1/2014,178.25
7/1/2014,181.31
10/1/2014,181.43
1/1/2015,184.18
4/1/2015,187.49
7/1/2015,192.63
10/1/2015,193.43
1/1/2016,194.28
4/1/2016,202.01
7/1/2016,206.8
10/1/2016,208.44
1/1/2017,213.41
4/1/2017,220.55
7/1/2017,225.98
10/1/2017,227.79
1/1/2018,236.4
4/1/2018,243.88
7/1/2018,248.43
10/1/2018,249.78
1/1/2019,255.65
4/1/2019,260.48
7/1/2019,264.83
10/1/2019,268.38
1/1/2020,272.94
4/1/2020,278
7/1/2020,283.55
10/1/2020,292.32
1/1/2021,301.13
4/1/2021,324.45
