DATE,Columbus_OH
4/1/1976,38.86
7/1/1976,38.58
10/1/1976,40.16
1/1/1977,38.48
4/1/1977,39.81
7/1/1977,42.14
10/1/1977,42.61
1/1/1978,43.9
4/1/1978,46.25
7/1/1978,46.74
10/1/1978,47.7
1/1/1979,49.7
4/1/1979,51.46
7/1/1979,52.19
10/1/1979,54.38
1/1/1980,52.7
4/1/1980,53.21
7/1/1980,55.66
10/1/1980,56.89
1/1/1981,57.19
4/1/1981,58.26
7/1/1981,58.26
10/1/1981,56.86
1/1/1982,54.79
4/1/1982,56.97
7/1/1982,59.63
10/1/1982,60.68
1/1/1983,58.51
4/1/1983,59.49
7/1/1983,60.2
10/1/1983,60.5
1/1/1984,60.32
4/1/1984,61.94
7/1/1984,62.66
10/1/1984,61.6
1/1/1985,62.55
4/1/1985,62.92
7/1/1985,64.1
10/1/1985,64.41
1/1/1986,65.37
4/1/1986,66.01
7/1/1986,67.55
10/1/1986,68.63
1/1/1987,69.3
4/1/1987,70.94
7/1/1987,72.77
10/1/1987,73.29
1/1/1988,74.99
4/1/1988,76.41
7/1/1988,77.17
10/1/1988,77.86
1/1/1989,79.03
4/1/1989,79.49
7/1/1989,80.96
10/1/1989,81.33
1/1/1990,82.12
4/1/1990,82.63
7/1/1990,83.88
10/1/1990,84.12
1/1/1991,84.84
4/1/1991,86.17
7/1/1991,86.33
10/1/1991,87.88
1/1/1992,88.76
4/1/1992,89.33
7/1/1992,90.48
10/1/1992,91.14
1/1/1993,91.96
4/1/1993,92.61
7/1/1993,93.92
10/1/1993,94.71
1/1/1994,96.1
4/1/1994,97.75
7/1/1994,98.38
10/1/1994,99.81
1/1/1995,100
4/1/1995,101.76
7/1/1995,103.3
10/1/1995,104.68
1/1/1996,105.96
4/1/1996,107.07
7/1/1996,107.73
10/1/1996,108.91
1/1/1997,110.42
4/1/1997,111.07
7/1/1997,112.2
10/1/1997,113.52
1/1/1998,115.17
4/1/1998,115.88
7/1/1998,117.16
10/1/1998,118.71
1/1/1999,119.8
4/1/1999,120.97
7/1/1999,121.4
10/1/1999,122.52
1/1/2000,123.96
4/1/2000,125.52
7/1/2000,126.78
10/1/2000,128.46
1/1/2001,130.89
4/1/2001,132.18
7/1/2001,133.59
10/1/2001,134.76
1/1/2002,136.12
4/1/2002,137.27
7/1/2002,138.88
10/1/2002,139.69
1/1/2003,140.96
4/1/2003,142.01
7/1/2003,143.18
10/1/2003,145.68
1/1/2004,146.73
4/1/2004,147.64
7/1/2004,149.63
10/1/2004,151.56
1/1/2005,152.89
4/1/2005,154.71
7/1/2005,155.99
10/1/2005,156.39
1/1/2006,156.57
4/1/2006,156.5
7/1/2006,156.34
10/1/2006,156.75
1/1/2007,156.78
4/1/2007,155.99
7/1/2007,155
10/1/2007,155.19
1/1/2008,155.97
4/1/2008,153.38
7/1/2008,150.66
10/1/2008,151.49
1/1/2009,153.4
4/1/2009,150.27
7/1/2009,147.98
10/1/2009,147.81
1/1/2010,146.28
4/1/2010,145.35
7/1/2010,147.35
10/1/2010,146.76
1/1/2011,142.95
4/1/2011,140.84
7/1/2011,142.69
10/1/2011,143.26
1/1/2012,141.56
4/1/2012,140.92
7/1/2012,143.04
10/1/2012,142.84
1/1/2013,143.26
4/1/2013,144.35
7/1/2013,146.2
10/1/2013,146.18
1/1/2014,147.86
4/1/2014,152.21
7/1/2014,153.24
10/1/2014,153.09
1/1/2015,154.97
4/1/2015,158.35
7/1/2015,161.27
10/1/2015,162.07
1/1/2016,163.79
4/1/2016,167.28
7/1/2016,171.57
10/1/2016,171.41
1/1/2017,173.55
4/1/2017,179.66
7/1/2017,183.21
10/1/2017,183.69
1/1/2018,186.88
4/1/2018,192.31
7/1/2018,194.51
10/1/2018,195.43
1/1/2019,197.54
4/1/2019,202.96
7/1/2019,205.25
10/1/2019,207.29
1/1/2020,210.75
4/1/2020,212.9
7/1/2020,218.25
10/1/2020,223.01
1/1/2021,227.26
4/1/2021,240.57
