DATE,Corpus_Christi_TX
1/1/1979,67.85
4/1/1979,73.58
7/1/1979,68.94
10/1/1979,62.25
1/1/1980,76.14
4/1/1980,75.83
7/1/1980,80.69
10/1/1980,80.76
1/1/1981,81.07
4/1/1981,83.59
7/1/1981,79.89
10/1/1981,79.69
1/1/1982,91.41
4/1/1982,92.44
7/1/1982,85.21
10/1/1982,93.52
1/1/1983,91.36
4/1/1983,97.67
7/1/1983,95.99
10/1/1983,93.35
1/1/1984,96.07
4/1/1984,95.31
7/1/1984,93.59
10/1/1984,90.29
1/1/1985,93.42
4/1/1985,91.51
7/1/1985,92.12
10/1/1985,94.67
1/1/1986,92.7
4/1/1986,96.56
7/1/1986,96.23
10/1/1986,94.14
1/1/1987,95.3
4/1/1987,91.54
7/1/1987,89.47
10/1/1987,85.06
1/1/1988,80.83
4/1/1988,84.82
7/1/1988,85.77
10/1/1988,85.88
1/1/1989,84.1
4/1/1989,84.44
7/1/1989,85.87
10/1/1989,85.56
1/1/1990,85.88
4/1/1990,85.92
7/1/1990,85.97
10/1/1990,84.11
1/1/1991,84.61
4/1/1991,87.99
7/1/1991,88.32
10/1/1991,88.14
1/1/1992,90.24
4/1/1992,89.92
7/1/1992,94.03
10/1/1992,92.73
1/1/1993,95.36
4/1/1993,95.55
7/1/1993,96.61
10/1/1993,97.69
1/1/1994,99.09
4/1/1994,100.13
7/1/1994,100.72
10/1/1994,100
1/1/1995,100
4/1/1995,103.27
7/1/1995,104.04
10/1/1995,104.4
1/1/1996,105.29
4/1/1996,105.18
7/1/1996,104.13
10/1/1996,106.54
1/1/1997,104.8
4/1/1997,105.83
7/1/1997,106.88
10/1/1997,106.43
1/1/1998,108.29
4/1/1998,107.55
7/1/1998,108.28
10/1/1998,109.6
1/1/1999,108.75
4/1/1999,111.51
7/1/1999,113.82
10/1/1999,113.64
1/1/2000,112.24
4/1/2000,113.68
7/1/2000,114.02
10/1/2000,116.07
1/1/2001,114.47
4/1/2001,119.38
7/1/2001,120.29
10/1/2001,120.94
1/1/2002,122.66
4/1/2002,123.66
7/1/2002,126.37
10/1/2002,127.83
1/1/2003,128.75
4/1/2003,128.74
7/1/2003,132.11
10/1/2003,132.69
1/1/2004,134.59
4/1/2004,136.85
7/1/2004,139.89
10/1/2004,144.5
1/1/2005,144.45
4/1/2005,148.34
7/1/2005,151.59
10/1/2005,154.18
1/1/2006,156.17
4/1/2006,160.06
7/1/2006,159.73
10/1/2006,160.69
1/1/2007,164.44
4/1/2007,165.36
7/1/2007,166.34
10/1/2007,165.26
1/1/2008,164.46
4/1/2008,164.14
7/1/2008,164.67
10/1/2008,165.01
1/1/2009,168.15
4/1/2009,166.28
7/1/2009,169.56
10/1/2009,165.69
1/1/2010,161.78
4/1/2010,164.24
7/1/2010,161.81
10/1/2010,159.2
1/1/2011,157.14
4/1/2011,158.52
7/1/2011,159.76
10/1/2011,161.5
1/1/2012,156.61
4/1/2012,159.61
7/1/2012,163.41
10/1/2012,161.96
1/1/2013,163.38
4/1/2013,167.4
7/1/2013,170.58
10/1/2013,171.5
1/1/2014,175.28
4/1/2014,182.62
7/1/2014,182.82
10/1/2014,187.09
1/1/2015,187.54
4/1/2015,189.11
7/1/2015,191.85
10/1/2015,196.3
1/1/2016,194
4/1/2016,199.85
7/1/2016,201.15
10/1/2016,202.53
1/1/2017,196.38
4/1/2017,205.06
7/1/2017,209.32
10/1/2017,203.13
1/1/2018,207.48
4/1/2018,209.11
7/1/2018,209.57
10/1/2018,209.15
1/1/2019,211.91
4/1/2019,215.06
7/1/2019,219.44
10/1/2019,219.29
1/1/2020,222.74
4/1/2020,225
7/1/2020,229.38
10/1/2020,232.99
1/1/2021,242.44
4/1/2021,249.43
