DATE,Dallas_Plano_Irving_TX
10/1/1975,40.92
1/1/1976,39.82
4/1/1976,45.34
7/1/1976,42.35
10/1/1976,42.1
1/1/1977,44.72
4/1/1977,51.57
7/1/1977,47.09
10/1/1977,49.38
1/1/1978,51.82
4/1/1978,56.68
7/1/1978,58.09
10/1/1978,60.16
1/1/1979,62.21
4/1/1979,67.78
7/1/1979,69.25
10/1/1979,71.91
1/1/1980,74.74
4/1/1980,76.03
7/1/1980,78.24
10/1/1980,79.77
1/1/1981,81.84
4/1/1981,83.59
7/1/1981,84.89
10/1/1981,78.05
1/1/1982,87.6
4/1/1982,82.13
7/1/1982,85.31
10/1/1982,87.54
1/1/1983,91.4
4/1/1983,93.1
7/1/1983,94.65
10/1/1983,97.05
1/1/1984,97.48
4/1/1984,99.34
7/1/1984,101.72
10/1/1984,101.96
1/1/1985,102.52
4/1/1985,104.8
7/1/1985,105.87
10/1/1985,106.23
1/1/1986,106.7
4/1/1986,109.13
7/1/1986,108.02
10/1/1986,107.51
1/1/1987,107.09
4/1/1987,102.85
7/1/1987,102.13
10/1/1987,99.07
1/1/1988,98.62
4/1/1988,98.41
7/1/1988,95.85
10/1/1988,94.36
1/1/1989,93.6
4/1/1989,93.92
7/1/1989,95.58
10/1/1989,95.05
1/1/1990,94.41
4/1/1990,94.95
7/1/1990,95.15
10/1/1990,94.43
1/1/1991,95.64
4/1/1991,96.2
7/1/1991,95.57
10/1/1991,97.22
1/1/1992,98.44
4/1/1992,97.53
7/1/1992,99.15
10/1/1992,99.25
1/1/1993,99.1
4/1/1993,99.95
7/1/1993,100.5
10/1/1993,101.21
1/1/1994,101.41
4/1/1994,100.82
7/1/1994,100.51
10/1/1994,100.07
1/1/1995,100
4/1/1995,101.53
7/1/1995,103.26
10/1/1995,104
1/1/1996,104.99
4/1/1996,104.88
7/1/1996,105.72
10/1/1996,106.07
1/1/1997,106.95
4/1/1997,107.76
7/1/1997,108.79
10/1/1997,110.37
1/1/1998,112.15
4/1/1998,112.93
7/1/1998,115.27
10/1/1998,116.74
1/1/1999,117.74
4/1/1999,120.21
7/1/1999,121.89
10/1/1999,123.47
1/1/2000,125.83
4/1/2000,127.65
7/1/2000,129.33
10/1/2000,131.04
1/1/2001,134.53
4/1/2001,136.55
7/1/2001,137.76
10/1/2001,139.51
1/1/2002,140.1
4/1/2002,141.29
7/1/2002,143.42
10/1/2002,144.45
1/1/2003,145.11
4/1/2003,145.87
7/1/2003,146.47
10/1/2003,147.05
1/1/2004,147.92
4/1/2004,148.89
7/1/2004,149.49
10/1/2004,150.97
1/1/2005,151.65
4/1/2005,153.27
7/1/2005,154.95
10/1/2005,155.78
1/1/2006,156.89
4/1/2006,157.99
7/1/2006,159.06
10/1/2006,160.22
1/1/2007,161.57
4/1/2007,164.31
7/1/2007,162.99
10/1/2007,163.97
1/1/2008,165.28
4/1/2008,165.06
7/1/2008,164.28
10/1/2008,165.02
1/1/2009,167.36
4/1/2009,165.52
7/1/2009,162.56
10/1/2009,162.85
1/1/2010,162.3
4/1/2010,162.32
7/1/2010,163.4
10/1/2010,162.31
1/1/2011,159.4
4/1/2011,157.88
7/1/2011,160.18
10/1/2011,159.72
1/1/2012,159.49
4/1/2012,160.11
7/1/2012,161.61
10/1/2012,163.21
1/1/2013,164.46
4/1/2013,168.51
7/1/2013,172.12
10/1/2013,174.27
1/1/2014,178
4/1/2014,183.77
7/1/2014,187.44
10/1/2014,189.58
1/1/2015,194.23
4/1/2015,200.9
7/1/2015,206.59
10/1/2015,209.27
1/1/2016,213.84
4/1/2016,221.84
7/1/2016,226.44
10/1/2016,230.61
1/1/2017,235.63
4/1/2017,244.91
7/1/2017,249.46
10/1/2017,252.02
1/1/2018,256.03
4/1/2018,261.21
7/1/2018,264.18
10/1/2018,264.56
1/1/2019,267.04
4/1/2019,271.6
7/1/2019,274.3
10/1/2019,275.97
1/1/2020,277.92
4/1/2020,279.14
7/1/2020,283.73
10/1/2020,289.55
1/1/2021,295.7
4/1/2021,314.47
