DATE,Denver_Aurora_Lakewood_CO
4/1/1976,31.89
7/1/1976,31.67
10/1/1976,32.57
1/1/1977,33.48
4/1/1977,34.22
7/1/1977,37.41
10/1/1977,39.42
1/1/1978,41.76
4/1/1978,44.14
7/1/1978,46.94
10/1/1978,49.11
1/1/1979,51.54
4/1/1979,53.07
7/1/1979,55.16
10/1/1979,55.21
1/1/1980,56.56
4/1/1980,57.96
7/1/1980,60.53
10/1/1980,60.2
1/1/1981,61.86
4/1/1981,62.69
7/1/1981,65.15
10/1/1981,65.37
1/1/1982,68.31
4/1/1982,68.67
7/1/1982,70.26
10/1/1982,72.89
1/1/1983,72.15
4/1/1983,72.18
7/1/1983,73.28
10/1/1983,71.39
1/1/1984,73.54
4/1/1984,73.52
7/1/1984,74.27
10/1/1984,72.57
1/1/1985,73.69
4/1/1985,73.83
7/1/1985,73.78
10/1/1985,72.47
1/1/1986,74.74
4/1/1986,74.85
7/1/1986,74.68
10/1/1986,74.18
1/1/1987,74.46
4/1/1987,73.48
7/1/1987,72.82
10/1/1987,70.99
1/1/1988,71.53
4/1/1988,71.56
7/1/1988,70.77
10/1/1988,70.07
1/1/1989,70.1
4/1/1989,70.34
7/1/1989,71.65
10/1/1989,71.14
1/1/1990,71.2
4/1/1990,71.98
7/1/1990,72.49
10/1/1990,72.88
1/1/1991,73.26
4/1/1991,74.42
7/1/1991,74.88
10/1/1991,75.98
1/1/1992,77.33
4/1/1992,78.76
7/1/1992,80.57
10/1/1992,81.79
1/1/1993,83.22
4/1/1993,84.83
7/1/1993,87.19
10/1/1993,89.08
1/1/1994,91.5
4/1/1994,95.52
7/1/1994,97.61
10/1/1994,98.21
1/1/1995,100
4/1/1995,101.88
7/1/1995,103.73
10/1/1995,105.36
1/1/1996,106.3
4/1/1996,107.61
7/1/1996,108.87
10/1/1996,110.54
1/1/1997,112.06
4/1/1997,113.63
7/1/1997,115.51
10/1/1997,117.4
1/1/1998,118.99
4/1/1998,120.76
7/1/1998,123.53
10/1/1998,125.13
1/1/1999,127.89
4/1/1999,132.91
7/1/1999,138.49
10/1/1999,141.36
1/1/2000,147.3
4/1/2000,152.05
7/1/2000,156.56
10/1/2000,160.62
1/1/2001,164.87
4/1/2001,168.62
7/1/2001,171.98
10/1/2001,173.2
1/1/2002,175.17
4/1/2002,177.22
7/1/2002,179.32
10/1/2002,180.23
1/1/2003,180.65
4/1/2003,181.29
7/1/2003,181.78
10/1/2003,184.2
1/1/2004,185.4
4/1/2004,186.1
7/1/2004,188.39
10/1/2004,189.99
1/1/2005,191.67
4/1/2005,193.33
7/1/2005,195.37
10/1/2005,197.03
1/1/2006,196.11
4/1/2006,196.25
7/1/2006,196.01
10/1/2006,196.91
1/1/2007,195.71
4/1/2007,195.4
7/1/2007,192.24
10/1/2007,192.99
1/1/2008,193.35
4/1/2008,191.8
7/1/2008,187.93
10/1/2008,188.89
1/1/2009,193.1
4/1/2009,190.64
7/1/2009,186.6
10/1/2009,186.94
1/1/2010,185.84
4/1/2010,184.21
7/1/2010,187.25
10/1/2010,186.84
1/1/2011,182.48
4/1/2011,179.34
7/1/2011,181.79
10/1/2011,183.27
1/1/2012,182.68
4/1/2012,184.73
7/1/2012,187.9
10/1/2012,190.1
1/1/2013,193.3
4/1/2013,198.97
7/1/2013,205.83
10/1/2013,208.59
1/1/2014,212.01
4/1/2014,220.59
7/1/2014,225.56
10/1/2014,229.82
1/1/2015,234.34
4/1/2015,245.68
7/1/2015,254.99
10/1/2015,259.23
1/1/2016,264.54
4/1/2016,274.32
7/1/2016,281.82
10/1/2016,285.91
1/1/2017,292.43
4/1/2017,303.61
7/1/2017,308.26
10/1/2017,313.06
1/1/2018,321.42
4/1/2018,330.33
7/1/2018,334.63
10/1/2018,334.95
1/1/2019,339.17
4/1/2019,343.96
7/1/2019,346.16
10/1/2019,348.65
1/1/2020,352.11
4/1/2020,355.98
7/1/2020,362
10/1/2020,368.56
1/1/2021,378.45
4/1/2021,405.77
