DATE,Dover_DE
7/1/1987,79.56
10/1/1987,80.55
1/1/1988,80.18
4/1/1988,84.64
7/1/1988,86.09
10/1/1988,86.15
1/1/1989,83.39
4/1/1989,90.55
7/1/1989,92.16
10/1/1989,92.16
1/1/1990,92.9
4/1/1990,96.95
7/1/1990,95.55
10/1/1990,96.56
1/1/1991,98.93
4/1/1991,98.96
7/1/1991,97.48
10/1/1991,101.13
1/1/1992,100.96
4/1/1992,98.98
7/1/1992,101.3
10/1/1992,102.09
1/1/1993,101.63
4/1/1993,103.99
7/1/1993,104.36
10/1/1993,103.72
1/1/1994,103.73
4/1/1994,103.23
7/1/1994,101.31
10/1/1994,100.01
1/1/1995,100
4/1/1995,104.37
7/1/1995,103.65
10/1/1995,103.56
1/1/1996,105.16
4/1/1996,103.31
7/1/1996,104.08
10/1/1996,105.94
1/1/1997,107.18
4/1/1997,108.6
7/1/1997,105.98
10/1/1997,109.28
1/1/1998,110.84
4/1/1998,108.96
7/1/1998,110.38
10/1/1998,111.16
1/1/1999,112.82
4/1/1999,110.68
7/1/1999,111.84
10/1/1999,113.45
1/1/2000,111.52
4/1/2000,113.43
7/1/2000,113.64
10/1/2000,115.34
1/1/2001,117.99
4/1/2001,120.97
7/1/2001,121.41
10/1/2001,123.58
1/1/2002,124.84
4/1/2002,127.39
7/1/2002,128.6
10/1/2002,130.56
1/1/2003,132.22
4/1/2003,133.09
7/1/2003,135.14
10/1/2003,140.43
1/1/2004,143.99
4/1/2004,146.54
7/1/2004,156.58
10/1/2004,161.99
1/1/2005,167.31
4/1/2005,178.75
7/1/2005,184.46
10/1/2005,188.84
1/1/2006,191.96
4/1/2006,198.72
7/1/2006,203.08
10/1/2006,207.63
1/1/2007,210.4
4/1/2007,208.83
7/1/2007,209.19
10/1/2007,207.26
1/1/2008,208.88
4/1/2008,204.44
7/1/2008,199.32
10/1/2008,196.87
1/1/2009,198.38
4/1/2009,192.17
7/1/2009,185.76
10/1/2009,182.29
1/1/2010,179.91
4/1/2010,175.46
7/1/2010,177.47
10/1/2010,173.23
1/1/2011,172.06
4/1/2011,164.8
7/1/2011,162.26
10/1/2011,165.63
1/1/2012,167.55
4/1/2012,161.92
7/1/2012,162.5
10/1/2012,162.72
1/1/2013,165.53
4/1/2013,163.13
7/1/2013,162.17
10/1/2013,164.21
1/1/2014,163.57
4/1/2014,163.97
7/1/2014,168.39
10/1/2014,167.67
1/1/2015,170.71
4/1/2015,169.52
7/1/2015,170.86
10/1/2015,172.2
1/1/2016,174.54
4/1/2016,180.71
7/1/2016,180.91
10/1/2016,179.63
1/1/2017,180.21
4/1/2017,178.64
7/1/2017,179.99
10/1/2017,185.2
1/1/2018,185.69
4/1/2018,186.72
7/1/2018,188.56
10/1/2018,187.87
1/1/2019,186.86
4/1/2019,193.84
7/1/2019,197.89
10/1/2019,198.07
1/1/2020,199.77
4/1/2020,204.47
7/1/2020,209.53
10/1/2020,208.85
1/1/2021,218.29
4/1/2021,225.74
