DATE,Duluth_MN_WI
4/1/1986,62.94
7/1/1986,64.63
10/1/1986,63.1
1/1/1987,63.36
4/1/1987,64.71
7/1/1987,67.49
10/1/1987,67.91
1/1/1988,70.19
4/1/1988,69.87
7/1/1988,71.81
10/1/1988,71.36
1/1/1989,73.61
4/1/1989,71.72
7/1/1989,77.05
10/1/1989,77.91
1/1/1990,76.81
4/1/1990,78.53
7/1/1990,80.74
10/1/1990,80.24
1/1/1991,81.08
4/1/1991,84.64
7/1/1991,84.95
10/1/1991,87.31
1/1/1992,87.75
4/1/1992,88.83
7/1/1992,92.41
10/1/1992,93.39
1/1/1993,95.38
4/1/1993,96.74
7/1/1993,97.62
10/1/1993,99.31
1/1/1994,100.46
4/1/1994,98.31
7/1/1994,99.59
10/1/1994,99.96
1/1/1995,100
4/1/1995,102.83
7/1/1995,105.94
10/1/1995,107.68
1/1/1996,108.43
4/1/1996,109.95
7/1/1996,109.61
10/1/1996,112.05
1/1/1997,115.16
4/1/1997,112.75
7/1/1997,116.58
10/1/1997,118.83
1/1/1998,120.57
4/1/1998,121.96
7/1/1998,124.53
10/1/1998,124.88
1/1/1999,126.76
4/1/1999,128.68
7/1/1999,131.46
10/1/1999,133
1/1/2000,138.09
4/1/2000,139.5
7/1/2000,143.03
10/1/2000,146.73
1/1/2001,149.36
4/1/2001,152.83
7/1/2001,156.23
10/1/2001,158.88
1/1/2002,162.21
4/1/2002,166.49
7/1/2002,170.28
10/1/2002,173.4
1/1/2003,176.44
4/1/2003,178.8
7/1/2003,184.99
10/1/2003,192.02
1/1/2004,194.59
4/1/2004,198.16
7/1/2004,206.9
10/1/2004,207.45
1/1/2005,211.99
4/1/2005,217.81
7/1/2005,222.41
10/1/2005,225.17
1/1/2006,228.95
4/1/2006,226.27
7/1/2006,227.06
10/1/2006,229.69
1/1/2007,232.78
4/1/2007,234.93
7/1/2007,233.64
10/1/2007,233.38
1/1/2008,233.34
4/1/2008,231.32
7/1/2008,228.93
10/1/2008,227.96
1/1/2009,232.59
4/1/2009,229.35
7/1/2009,223.43
10/1/2009,222.32
1/1/2010,218.49
4/1/2010,218.82
7/1/2010,224.18
10/1/2010,221.01
1/1/2011,215.03
4/1/2011,212.42
7/1/2011,215.83
10/1/2011,218.21
1/1/2012,213.91
4/1/2012,213.14
7/1/2012,215.8
10/1/2012,215.67
1/1/2013,216.1
4/1/2013,216.13
7/1/2013,216.68
10/1/2013,216.24
1/1/2014,216.86
4/1/2014,222.98
7/1/2014,222.37
10/1/2014,223.46
1/1/2015,223.88
4/1/2015,226.6
7/1/2015,227.78
10/1/2015,226.48
1/1/2016,228.7
4/1/2016,233.9
7/1/2016,234.85
10/1/2016,237.04
1/1/2017,241.55
4/1/2017,242.08
7/1/2017,245.69
10/1/2017,248.76
1/1/2018,249.2
4/1/2018,253.15
7/1/2018,257.51
10/1/2018,259.54
1/1/2019,258.68
4/1/2019,263.67
7/1/2019,268.15
10/1/2019,270.1
1/1/2020,271.9
4/1/2020,274.49
7/1/2020,281.39
10/1/2020,285.21
1/1/2021,288.24
4/1/2021,306.47
