DATE,Grand_Rapids_Kentwood_MI
7/1/1978,43.43
10/1/1978,44.71
1/1/1979,46.74
4/1/1979,48.05
7/1/1979,50.12
10/1/1979,50.8
1/1/1980,52.47
4/1/1980,53.96
7/1/1980,53.24
10/1/1980,52.16
1/1/1981,56.59
4/1/1981,54.82
7/1/1981,56.88
10/1/1981,57.32
1/1/1982,60.38
4/1/1982,59.15
7/1/1982,54.3
10/1/1982,56.55
1/1/1983,58.45
4/1/1983,58.52
7/1/1983,57.15
10/1/1983,57.69
1/1/1984,57.15
4/1/1984,59.27
7/1/1984,59.86
10/1/1984,59.93
1/1/1985,61.15
4/1/1985,61.42
7/1/1985,62.54
10/1/1985,62.96
1/1/1986,63.97
4/1/1986,64.53
7/1/1986,66.14
10/1/1986,66.79
1/1/1987,68.29
4/1/1987,69.51
7/1/1987,71.57
10/1/1987,72.27
1/1/1988,74.34
4/1/1988,75.19
7/1/1988,77.25
10/1/1988,77.82
1/1/1989,79.14
4/1/1989,81.48
7/1/1989,82.34
10/1/1989,82.81
1/1/1990,84.28
4/1/1990,85.08
7/1/1990,85.55
10/1/1990,85.54
1/1/1991,86.56
4/1/1991,87.81
7/1/1991,88.48
10/1/1991,88.79
1/1/1992,89.31
4/1/1992,89.85
7/1/1992,90.24
10/1/1992,90.5
1/1/1993,90.67
4/1/1993,91.58
7/1/1993,92.01
10/1/1993,92.43
1/1/1994,93.6
4/1/1994,95.65
7/1/1994,97.47
10/1/1994,98.62
1/1/1995,100
4/1/1995,102.1
7/1/1995,103.01
10/1/1995,104.43
1/1/1996,105.6
4/1/1996,108.48
7/1/1996,110.57
10/1/1996,111.89
1/1/1997,112.81
4/1/1997,114.99
7/1/1997,116.33
10/1/1997,118.03
1/1/1998,119
4/1/1998,120.98
7/1/1998,122.39
10/1/1998,122.86
1/1/1999,125.34
4/1/1999,127.82
7/1/1999,128.93
10/1/1999,130.59
1/1/2000,133.06
4/1/2000,135.01
7/1/2000,136.74
10/1/2000,138.3
1/1/2001,140.66
4/1/2001,141.91
7/1/2001,143.73
10/1/2001,144.99
1/1/2002,146.32
4/1/2002,148.06
7/1/2002,149.39
10/1/2002,150.4
1/1/2003,151.58
4/1/2003,152.29
7/1/2003,153.87
10/1/2003,156.26
1/1/2004,157.12
4/1/2004,158.46
7/1/2004,160.28
10/1/2004,162.42
1/1/2005,164
4/1/2005,164.83
7/1/2005,166.95
10/1/2005,166.16
1/1/2006,164.89
4/1/2006,162.58
7/1/2006,162.49
10/1/2006,163.97
1/1/2007,163.21
4/1/2007,161.69
7/1/2007,157.8
10/1/2007,158.1
1/1/2008,158.44
4/1/2008,153.02
7/1/2008,147.7
10/1/2008,147.63
1/1/2009,150.24
4/1/2009,144.93
7/1/2009,139.15
10/1/2009,139.75
1/1/2010,138.29
4/1/2010,136.67
7/1/2010,138.41
10/1/2010,137.8
1/1/2011,133.52
4/1/2011,131.82
7/1/2011,133.85
10/1/2011,134.93
1/1/2012,133.45
4/1/2012,132.18
7/1/2012,134.88
10/1/2012,136.2
1/1/2013,135.81
4/1/2013,139.37
7/1/2013,142.8
10/1/2013,142.87
1/1/2014,143.79
4/1/2014,149.44
7/1/2014,153.43
10/1/2014,154.24
1/1/2015,155.04
4/1/2015,159.7
7/1/2015,164.46
10/1/2015,164.85
1/1/2016,167.41
4/1/2016,173.2
7/1/2016,177.12
10/1/2016,177.35
1/1/2017,182.04
4/1/2017,189.15
7/1/2017,193.35
10/1/2017,193.22
1/1/2018,197.26
4/1/2018,204.49
7/1/2018,207.07
10/1/2018,209.27
1/1/2019,212.85
4/1/2019,216.9
7/1/2019,220.12
10/1/2019,221.39
1/1/2020,224.49
4/1/2020,227.21
7/1/2020,232.78
10/1/2020,237.93
1/1/2021,243.28
4/1/2021,261.2
