DATE,Honolulu_HI
1/1/1977,20.55
4/1/1977,21.71
7/1/1977,22.26
10/1/1977,22.91
1/1/1978,23.29
4/1/1978,24.07
7/1/1978,24.39
10/1/1978,27.45
1/1/1979,26.94
4/1/1979,30.03
7/1/1979,33.09
10/1/1979,34.43
1/1/1980,37.04
4/1/1980,37.29
7/1/1980,37.72
10/1/1980,40.04
1/1/1981,37.99
4/1/1981,36.92
7/1/1981,33.1
10/1/1981,18.79
1/1/1982,41.21
4/1/1982,38.19
7/1/1982,37.32
10/1/1982,32.52
1/1/1983,37.86
4/1/1983,39.43
7/1/1983,41.45
10/1/1983,39.7
1/1/1984,40.13
4/1/1984,42.31
7/1/1984,41.03
10/1/1984,40.98
1/1/1985,43.1
4/1/1985,42.46
7/1/1985,43.61
10/1/1985,43.99
1/1/1986,44.99
4/1/1986,44.74
7/1/1986,45.5
10/1/1986,46.53
1/1/1987,48.13
4/1/1987,48.97
7/1/1987,50.23
10/1/1987,51.03
1/1/1988,54.44
4/1/1988,57.39
7/1/1988,59.1
10/1/1988,62.39
1/1/1989,67.91
4/1/1989,70.37
7/1/1989,75.25
10/1/1989,77.61
1/1/1990,84.32
4/1/1990,89.53
7/1/1990,94
10/1/1990,97.24
1/1/1991,98.88
4/1/1991,99.77
7/1/1991,99.64
10/1/1991,100.9
1/1/1992,100.62
4/1/1992,100.61
7/1/1992,100.9
10/1/1992,101.25
1/1/1993,101.16
4/1/1993,101.57
7/1/1993,101.36
10/1/1993,101.97
1/1/1994,102.48
4/1/1994,101.63
7/1/1994,103.14
10/1/1994,100.72
1/1/1995,100
4/1/1995,101.04
7/1/1995,101.45
10/1/1995,101.91
1/1/1996,98.65
4/1/1996,96.72
7/1/1996,93.49
10/1/1996,92.3
1/1/1997,90.23
4/1/1997,88.34
7/1/1997,87.79
10/1/1997,87.9
1/1/1998,87.58
4/1/1998,87.41
7/1/1998,88.02
10/1/1998,87.15
1/1/1999,86.93
4/1/1999,86.83
7/1/1999,84.88
10/1/1999,85.52
1/1/2000,87.13
4/1/2000,85.86
7/1/2000,87.78
10/1/2000,89.18
1/1/2001,91.93
4/1/2001,92.59
7/1/2001,94.16
10/1/2001,95.31
1/1/2002,96.77
4/1/2002,98.51
7/1/2002,101.74
10/1/2002,103
1/1/2003,105.6
4/1/2003,107.65
7/1/2003,110.57
10/1/2003,116.08
1/1/2004,121.57
4/1/2004,126.96
7/1/2004,137.45
10/1/2004,142.96
1/1/2005,149.05
4/1/2005,157.24
7/1/2005,169.16
10/1/2005,177.24
1/1/2006,183.24
4/1/2006,186.03
7/1/2006,190.51
10/1/2006,188.16
1/1/2007,191.9
4/1/2007,192.75
7/1/2007,194.24
10/1/2007,194.41
1/1/2008,193.23
4/1/2008,189.44
7/1/2008,186.36
10/1/2008,183.73
1/1/2009,183.15
4/1/2009,177.32
7/1/2009,173.91
10/1/2009,173.24
1/1/2010,173.87
4/1/2010,175.01
7/1/2010,175.96
10/1/2010,176.43
1/1/2011,174.91
4/1/2011,177.51
7/1/2011,177.35
10/1/2011,176.82
1/1/2012,177.69
4/1/2012,177.79
7/1/2012,179.85
10/1/2012,182.04
1/1/2013,184.56
4/1/2013,187.94
7/1/2013,191.26
10/1/2013,195.16
1/1/2014,197.41
4/1/2014,199.93
7/1/2014,202.68
10/1/2014,206.78
1/1/2015,208.95
4/1/2015,210.55
7/1/2015,215.67
10/1/2015,217.28
1/1/2016,225.42
4/1/2016,226.08
7/1/2016,231.16
10/1/2016,232.09
1/1/2017,231.83
4/1/2017,234.84
7/1/2017,236.57
10/1/2017,239.59
1/1/2018,241.55
4/1/2018,244.95
7/1/2018,244.34
10/1/2018,243.08
1/1/2019,247.39
4/1/2019,245.88
7/1/2019,248.71
10/1/2019,249.16
1/1/2020,249.25
4/1/2020,251.39
7/1/2020,247.79
10/1/2020,250.9
1/1/2021,253.53
4/1/2021,261.51
