DATE,Indianapolis_IN
10/1/1976,38.14
1/1/1977,39.98
4/1/1977,39.94
7/1/1977,41.03
10/1/1977,43.05
1/1/1978,44.98
4/1/1978,46.61
7/1/1978,48.03
10/1/1978,48.32
1/1/1979,51.54
4/1/1979,52.37
7/1/1979,54.14
10/1/1979,55.9
1/1/1980,55.11
4/1/1980,57.13
7/1/1980,58.1
10/1/1980,58.18
1/1/1981,61.45
4/1/1981,59.66
7/1/1981,60.7
10/1/1981,63.45
1/1/1982,60.51
4/1/1982,59.71
7/1/1982,56.12
10/1/1982,58.57
1/1/1983,60.21
4/1/1983,61.3
7/1/1983,62.17
10/1/1983,61.73
1/1/1984,62.23
4/1/1984,63.75
7/1/1984,64.26
10/1/1984,64.52
1/1/1985,64.5
4/1/1985,65.56
7/1/1985,66.16
10/1/1985,67.18
1/1/1986,67.73
4/1/1986,69
7/1/1986,69.74
10/1/1986,70.79
1/1/1987,72.39
4/1/1987,73.65
7/1/1987,75.05
10/1/1987,75.98
1/1/1988,77.93
4/1/1988,78.85
7/1/1988,79.47
10/1/1988,79.9
1/1/1989,81.18
4/1/1989,82.37
7/1/1989,83.38
10/1/1989,83.45
1/1/1990,84.27
4/1/1990,85.32
7/1/1990,85.92
10/1/1990,86.27
1/1/1991,87.94
4/1/1991,88.32
7/1/1991,89.2
10/1/1991,90.21
1/1/1992,91.19
4/1/1992,91.89
7/1/1992,92.89
10/1/1992,93.46
1/1/1993,94.06
4/1/1993,94.98
7/1/1993,95.89
10/1/1993,96.6
1/1/1994,97.68
4/1/1994,98.44
7/1/1994,99.28
10/1/1994,99.06
1/1/1995,100
4/1/1995,101.66
7/1/1995,103.63
10/1/1995,104.99
1/1/1996,106.28
4/1/1996,106.34
7/1/1996,106.99
10/1/1996,108.45
1/1/1997,109.05
4/1/1997,110.04
7/1/1997,111.32
10/1/1997,113.02
1/1/1998,114.33
4/1/1998,114.71
7/1/1998,116.2
10/1/1998,117.4
1/1/1999,118.33
4/1/1999,118.71
7/1/1999,118.94
10/1/1999,120.26
1/1/2000,120.79
4/1/2000,122.04
7/1/2000,123.47
10/1/2000,124.97
1/1/2001,127.47
4/1/2001,128.71
7/1/2001,129.77
10/1/2001,131.04
1/1/2002,131.98
4/1/2002,132.77
7/1/2002,134.14
10/1/2002,134.93
1/1/2003,135.85
4/1/2003,136.3
7/1/2003,137.06
10/1/2003,137.74
1/1/2004,138.68
4/1/2004,138.66
7/1/2004,140.13
10/1/2004,141.21
1/1/2005,142.3
4/1/2005,143.39
7/1/2005,145.57
10/1/2005,145.22
1/1/2006,145.23
4/1/2006,143.68
7/1/2006,144.49
10/1/2006,145.6
1/1/2007,146.27
4/1/2007,145.87
7/1/2007,145.88
10/1/2007,146.11
1/1/2008,146.97
4/1/2008,145.52
7/1/2008,143.54
10/1/2008,142.99
1/1/2009,145.43
4/1/2009,142.8
7/1/2009,141.02
10/1/2009,141.34
1/1/2010,139.72
4/1/2010,139.28
7/1/2010,140.54
10/1/2010,140.55
1/1/2011,137.36
4/1/2011,136.36
7/1/2011,138.11
10/1/2011,138.69
1/1/2012,137.33
4/1/2012,137.06
7/1/2012,138.55
10/1/2012,138.76
1/1/2013,138.5
4/1/2013,139.45
7/1/2013,140.19
10/1/2013,140.01
1/1/2014,140.14
4/1/2014,144.5
7/1/2014,145.13
10/1/2014,145.51
1/1/2015,147.56
4/1/2015,149.65
7/1/2015,150.74
10/1/2015,151.55
1/1/2016,152.47
4/1/2016,155.06
7/1/2016,157.97
10/1/2016,158.55
1/1/2017,159.04
4/1/2017,163.91
7/1/2017,166.5
10/1/2017,168.13
1/1/2018,171.39
4/1/2018,177.12
7/1/2018,178.46
10/1/2018,180.03
1/1/2019,183.17
4/1/2019,187
7/1/2019,189.28
10/1/2019,191.34
1/1/2020,193.93
4/1/2020,196.45
7/1/2020,201.63
10/1/2020,206.36
1/1/2021,209.74
4/1/2021,222.15
