DATE,Iowa_City_IA
4/1/1986,63.89
7/1/1986,64.09
10/1/1986,64.79
1/1/1987,65.88
4/1/1987,66.45
7/1/1987,66.43
10/1/1987,64.21
1/1/1988,65.99
4/1/1988,67.49
7/1/1988,68.44
10/1/1988,66.79
1/1/1989,74.4
4/1/1989,72.51
7/1/1989,72.18
10/1/1989,74.15
1/1/1990,75.33
4/1/1990,74.49
7/1/1990,78.08
10/1/1990,78.19
1/1/1991,80.04
4/1/1991,80.94
7/1/1991,81.42
10/1/1991,82.24
1/1/1992,82.31
4/1/1992,83.23
7/1/1992,84.53
10/1/1992,85.06
1/1/1993,85.76
4/1/1993,86.99
7/1/1993,88.92
10/1/1993,89.17
1/1/1994,92.9
4/1/1994,95.7
7/1/1994,97.98
10/1/1994,98.49
1/1/1995,100
4/1/1995,100.99
7/1/1995,101.1
10/1/1995,101.89
1/1/1996,102.56
4/1/1996,103.3
7/1/1996,103.14
10/1/1996,102.71
1/1/1997,105.81
4/1/1997,105.41
7/1/1997,107.03
10/1/1997,107.57
1/1/1998,108.59
4/1/1998,109.73
7/1/1998,109.76
10/1/1998,110.45
1/1/1999,111.17
4/1/1999,113.63
7/1/1999,112.96
10/1/1999,114.58
1/1/2000,116.44
4/1/2000,117.23
7/1/2000,118.93
10/1/2000,118.99
1/1/2001,121.7
4/1/2001,122.98
7/1/2001,123.58
10/1/2001,125.18
1/1/2002,125.41
4/1/2002,127.24
7/1/2002,129.2
10/1/2002,129.95
1/1/2003,130.8
4/1/2003,132.17
7/1/2003,133.26
10/1/2003,136.4
1/1/2004,136.84
4/1/2004,139.55
7/1/2004,143.14
10/1/2004,143.91
1/1/2005,146.43
4/1/2005,148.58
7/1/2005,150.61
10/1/2005,150.59
1/1/2006,150.41
4/1/2006,152.68
7/1/2006,153.66
10/1/2006,154.13
1/1/2007,154.95
4/1/2007,155.91
7/1/2007,154.04
10/1/2007,157.09
1/1/2008,157.23
4/1/2008,155.9
7/1/2008,155.85
10/1/2008,156.94
1/1/2009,158.14
4/1/2009,157.45
7/1/2009,157.7
10/1/2009,157.39
1/1/2010,156.62
4/1/2010,156.3
7/1/2010,157.59
10/1/2010,156.78
1/1/2011,154.44
4/1/2011,155.46
7/1/2011,156.54
10/1/2011,157.55
1/1/2012,156.38
4/1/2012,156.55
7/1/2012,158.36
10/1/2012,159.47
1/1/2013,159.71
4/1/2013,161.77
7/1/2013,164.04
10/1/2013,164.01
1/1/2014,162.88
4/1/2014,163.52
7/1/2014,166.34
10/1/2014,165.63
1/1/2015,166.51
4/1/2015,170.1
7/1/2015,172.22
10/1/2015,172.99
1/1/2016,172.8
4/1/2016,174.7
7/1/2016,177.07
10/1/2016,177.57
1/1/2017,177.33
4/1/2017,180.71
7/1/2017,182.45
10/1/2017,182.51
1/1/2018,183.27
4/1/2018,187.23
7/1/2018,188.72
10/1/2018,190.39
1/1/2019,189.91
4/1/2019,191.55
7/1/2019,192.38
10/1/2019,194.76
1/1/2020,194.87
4/1/2020,195.84
7/1/2020,195.77
10/1/2020,199.27
1/1/2021,198.78
4/1/2021,207.57
