DATE,Ithaca_NY
4/1/1987,83.64
7/1/1987,86.28
10/1/1987,92.41
1/1/1988,87.49
4/1/1988,96.98
7/1/1988,101.18
10/1/1988,99.99
1/1/1989,100.22
4/1/1989,104.03
7/1/1989,104.71
10/1/1989,107.48
1/1/1990,108.41
4/1/1990,104.09
7/1/1990,106
10/1/1990,108.11
1/1/1991,103.74
4/1/1991,107.4
7/1/1991,106.19
10/1/1991,107.81
1/1/1992,108.71
4/1/1992,106.45
7/1/1992,107.7
10/1/1992,108.01
1/1/1993,108.22
4/1/1993,109.94
7/1/1993,107.76
10/1/1993,109.37
1/1/1994,108.95
4/1/1994,104.97
7/1/1994,104.98
10/1/1994,101.77
1/1/1995,100
4/1/1995,102.4
7/1/1995,103.83
10/1/1995,101.2
1/1/1996,104.26
4/1/1996,101.19
7/1/1996,103.21
10/1/1996,105.65
1/1/1997,107.79
4/1/1997,103.29
7/1/1997,105.64
10/1/1997,107.47
1/1/1998,108.03
4/1/1998,107.23
7/1/1998,107.38
10/1/1998,108.91
1/1/1999,110.23
4/1/1999,108.83
7/1/1999,109.29
10/1/1999,109.76
1/1/2000,110.92
4/1/2000,111.97
7/1/2000,111.76
10/1/2000,113.43
1/1/2001,116.22
4/1/2001,118.57
7/1/2001,121.03
10/1/2001,121.39
1/1/2002,121.95
4/1/2002,124.56
7/1/2002,126.45
10/1/2002,127.98
1/1/2003,128.35
4/1/2003,131.66
7/1/2003,135.46
10/1/2003,143.78
1/1/2004,140.83
4/1/2004,150.48
7/1/2004,151.14
10/1/2004,152.52
1/1/2005,152.33
4/1/2005,168.01
7/1/2005,169.7
10/1/2005,175.1
1/1/2006,175
4/1/2006,180.22
7/1/2006,184.64
10/1/2006,180.29
1/1/2007,175.2
4/1/2007,184.23
7/1/2007,184.46
10/1/2007,185.25
1/1/2008,188.33
4/1/2008,191.9
7/1/2008,187.87
10/1/2008,191.4
1/1/2009,188.62
4/1/2009,190.19
7/1/2009,191.96
10/1/2009,191.63
1/1/2010,188.86
4/1/2010,190.59
7/1/2010,188.27
10/1/2010,187.46
1/1/2011,194.16
4/1/2011,192.76
7/1/2011,188.8
10/1/2011,190.56
1/1/2012,192.77
4/1/2012,192.84
7/1/2012,191.5
10/1/2012,194.2
1/1/2013,191.24
4/1/2013,197.01
7/1/2013,196.84
10/1/2013,196.01
1/1/2014,194.66
4/1/2014,212.27
7/1/2014,206.17
10/1/2014,209.48
1/1/2015,204.26
4/1/2015,208.93
7/1/2015,208.92
10/1/2015,210.23
1/1/2016,207.38
4/1/2016,212.88
7/1/2016,217.89
10/1/2016,222.92
1/1/2017,217.15
4/1/2017,223.73
7/1/2017,233.7
10/1/2017,226.1
1/1/2018,222.79
4/1/2018,219.08
7/1/2018,224.52
10/1/2018,228.27
1/1/2019,228.82
4/1/2019,225.72
7/1/2019,229.15
10/1/2019,229.63
1/1/2020,235.13
4/1/2020,237.11
7/1/2020,237.99
10/1/2020,245.97
1/1/2021,247.9
4/1/2021,258.69
