DATE,Knoxville_TN
4/1/1983,67.78
7/1/1983,66.19
10/1/1983,66.09
1/1/1984,69.6
4/1/1984,68.43
7/1/1984,67.81
10/1/1984,68.38
1/1/1985,70.61
4/1/1985,69.19
7/1/1985,70.99
10/1/1985,70.57
1/1/1986,71.38
4/1/1986,73
7/1/1986,74.21
10/1/1986,73.9
1/1/1987,76.23
4/1/1987,77.55
7/1/1987,77.25
10/1/1987,80.76
1/1/1988,78.44
4/1/1988,80.46
7/1/1988,80.7
10/1/1988,81.28
1/1/1989,82.52
4/1/1989,83.5
7/1/1989,83.57
10/1/1989,83.55
1/1/1990,84.96
4/1/1990,85.67
7/1/1990,86.47
10/1/1990,85.01
1/1/1991,86.58
4/1/1991,87.32
7/1/1991,87.22
10/1/1991,89.08
1/1/1992,89.87
4/1/1992,90.33
7/1/1992,91.96
10/1/1992,92.51
1/1/1993,92.86
4/1/1993,94.26
7/1/1993,94.83
10/1/1993,96.33
1/1/1994,97.27
4/1/1994,97.67
7/1/1994,99.84
10/1/1994,99.19
1/1/1995,100
4/1/1995,101.77
7/1/1995,103.84
10/1/1995,103.76
1/1/1996,105.56
4/1/1996,106.21
7/1/1996,107.5
10/1/1996,107.88
1/1/1997,108.25
4/1/1997,108.99
7/1/1997,110.01
10/1/1997,112.29
1/1/1998,113.89
4/1/1998,114.21
7/1/1998,115.66
10/1/1998,116.43
1/1/1999,117.57
4/1/1999,117.2
7/1/1999,117.48
10/1/1999,117.65
1/1/2000,119.89
4/1/2000,120.63
7/1/2000,121.2
10/1/2000,123.19
1/1/2001,126.16
4/1/2001,126.98
7/1/2001,128.33
10/1/2001,129.79
1/1/2002,130.83
4/1/2002,130.85
7/1/2002,132.59
10/1/2002,134.18
1/1/2003,135.85
4/1/2003,137.31
7/1/2003,138.65
10/1/2003,140.72
1/1/2004,142.53
4/1/2004,144.61
7/1/2004,146.89
10/1/2004,149.32
1/1/2005,152.27
4/1/2005,155.47
7/1/2005,160.04
10/1/2005,162.23
1/1/2006,165.37
4/1/2006,169.24
7/1/2006,171.36
10/1/2006,174.78
1/1/2007,176.72
4/1/2007,179.65
7/1/2007,179.87
10/1/2007,181.75
1/1/2008,182.88
4/1/2008,181.07
7/1/2008,179.45
10/1/2008,180.23
1/1/2009,182.2
4/1/2009,180.95
7/1/2009,177.19
10/1/2009,175.55
1/1/2010,174.39
4/1/2010,173.03
7/1/2010,175.36
10/1/2010,174.56
1/1/2011,171.6
4/1/2011,168.43
7/1/2011,170.35
10/1/2011,171.95
1/1/2012,170.48
4/1/2012,168.93
7/1/2012,170.86
10/1/2012,170.93
1/1/2013,171.11
4/1/2013,172.09
7/1/2013,172.2
10/1/2013,172.49
1/1/2014,172.2
4/1/2014,176.73
7/1/2014,175.51
10/1/2014,178.18
1/1/2015,178.95
4/1/2015,178.43
7/1/2015,181.67
10/1/2015,182.26
1/1/2016,183.3
4/1/2016,185.2
7/1/2016,188.43
10/1/2016,190.27
1/1/2017,191.81
4/1/2017,195.85
7/1/2017,198.21
10/1/2017,199.2
1/1/2018,202.87
4/1/2018,208.58
7/1/2018,210.68
10/1/2018,212.76
1/1/2019,214.55
4/1/2019,219.27
7/1/2019,223.13
10/1/2019,226.06
1/1/2020,229.66
4/1/2020,233.29
7/1/2020,238.02
10/1/2020,245.39
1/1/2021,251.36
4/1/2021,268.46
