DATE,Las_Vegas_NV
1/1/1978,42.82
4/1/1978,47.79
7/1/1978,50.83
10/1/1978,53.56
1/1/1979,54.21
4/1/1979,58.7
7/1/1979,61.47
10/1/1979,59.1
1/1/1980,64.49
4/1/1980,60.97
7/1/1980,68.05
10/1/1980,66.9
1/1/1981,63.02
4/1/1981,77.02
7/1/1981,76.14
10/1/1981,70.37
1/1/1982,74.98
4/1/1982,77.43
7/1/1982,78.95
10/1/1982,85.18
1/1/1983,76.64
4/1/1983,75.55
7/1/1983,72.25
10/1/1983,69.63
1/1/1984,74.87
4/1/1984,75.06
7/1/1984,70.52
10/1/1984,67.91
1/1/1985,72.92
4/1/1985,72.26
7/1/1985,72.18
10/1/1985,74.54
1/1/1986,74.98
4/1/1986,77.31
7/1/1986,76.92
10/1/1986,76.11
1/1/1987,77.95
4/1/1987,76.64
7/1/1987,76.92
10/1/1987,76.08
1/1/1988,77.04
4/1/1988,77.89
7/1/1988,78.75
10/1/1988,80.29
1/1/1989,80.23
4/1/1989,82
7/1/1989,84.23
10/1/1989,85.6
1/1/1990,87.5
4/1/1990,89.32
7/1/1990,91.75
10/1/1990,92.62
1/1/1991,94.35
4/1/1991,95.39
7/1/1991,95.41
10/1/1991,98.16
1/1/1992,98.34
4/1/1992,97.94
7/1/1992,99.53
10/1/1992,99.57
1/1/1993,99.38
4/1/1993,100.41
7/1/1993,100.38
10/1/1993,100.66
1/1/1994,100.39
4/1/1994,99.81
7/1/1994,99.72
10/1/1994,99.31
1/1/1995,100
4/1/1995,102.18
7/1/1995,103.47
10/1/1995,104.29
1/1/1996,105.53
4/1/1996,104.74
7/1/1996,104.49
10/1/1996,105.63
1/1/1997,106.06
4/1/1997,106.14
7/1/1997,107.6
10/1/1997,108.83
1/1/1998,110.32
4/1/1998,110.45
7/1/1998,110.93
10/1/1998,111.85
1/1/1999,112.26
4/1/1999,112.21
7/1/1999,113.06
10/1/1999,113.15
1/1/2000,114.54
4/1/2000,116.03
7/1/2000,117.39
10/1/2000,119.26
1/1/2001,121.84
4/1/2001,123.64
7/1/2001,125.76
10/1/2001,127.41
1/1/2002,129
4/1/2002,130.84
7/1/2002,133.53
10/1/2002,134.46
1/1/2003,136.67
4/1/2003,139.28
7/1/2003,143.13
10/1/2003,152.46
1/1/2004,162.05
4/1/2004,179.91
7/1/2004,206.39
10/1/2004,212.72
1/1/2005,219.29
4/1/2005,228.75
7/1/2005,235.07
10/1/2005,244.89
1/1/2006,252.19
4/1/2006,254.42
7/1/2006,255.78
10/1/2006,257.22
1/1/2007,255.05
4/1/2007,250.88
7/1/2007,243.3
10/1/2007,235.69
1/1/2008,218.42
4/1/2008,195.52
7/1/2008,168.9
10/1/2008,152.31
1/1/2009,150.66
4/1/2009,140.15
7/1/2009,128.09
10/1/2009,121.98
1/1/2010,120.68
4/1/2010,119.32
7/1/2010,118.49
10/1/2010,115.08
1/1/2011,108.77
4/1/2011,102.78
7/1/2011,101.62
10/1/2011,101.27
1/1/2012,100.01
4/1/2012,100.67
7/1/2012,103.82
10/1/2012,106.88
1/1/2013,111.17
4/1/2013,119.38
7/1/2013,127.74
10/1/2013,135.35
1/1/2014,140.04
4/1/2014,143.97
7/1/2014,149.49
10/1/2014,151.12
1/1/2015,154.28
4/1/2015,157.5
7/1/2015,160.88
10/1/2015,165.07
1/1/2016,166.12
4/1/2016,170.36
7/1/2016,173.63
10/1/2016,176.51
1/1/2017,179.33
4/1/2017,186.12
7/1/2017,192.56
10/1/2017,198.99
1/1/2018,206.47
4/1/2018,215.78
7/1/2018,223.34
10/1/2018,226.76
1/1/2019,229.57
4/1/2019,232.26
7/1/2019,232.1
10/1/2019,234.83
1/1/2020,237.61
4/1/2020,240.11
7/1/2020,243.26
10/1/2020,247.93
1/1/2021,254.58
4/1/2021,269.13
