DATE,Louisville_Jefferson_KY_IN
7/1/1976,38.04
10/1/1976,36.96
1/1/1977,39.01
4/1/1977,39.85
7/1/1977,41.22
10/1/1977,42.88
1/1/1978,43.86
4/1/1978,44.75
7/1/1978,47.28
10/1/1978,48.14
1/1/1979,49.06
4/1/1979,51.89
7/1/1979,51.83
10/1/1979,52.49
1/1/1980,54.19
4/1/1980,54.12
7/1/1980,55.38
10/1/1980,57.8
1/1/1981,58.03
4/1/1981,55.54
7/1/1981,55.49
10/1/1981,55.78
1/1/1982,58.13
4/1/1982,55.81
7/1/1982,55.03
10/1/1982,56.69
1/1/1983,56.72
4/1/1983,57.07
7/1/1983,58.79
10/1/1983,57.25
1/1/1984,58.71
4/1/1984,57.18
7/1/1984,58.96
10/1/1984,59.1
1/1/1985,60.19
4/1/1985,60.63
7/1/1985,60.26
10/1/1985,62.11
1/1/1986,62.46
4/1/1986,63.83
7/1/1986,64.35
10/1/1986,65.76
1/1/1987,66.48
4/1/1987,67.14
7/1/1987,68.96
10/1/1987,69.26
1/1/1988,70.68
4/1/1988,72.14
7/1/1988,73.16
10/1/1988,73.95
1/1/1989,74.82
4/1/1989,75.79
7/1/1989,77.49
10/1/1989,77.63
1/1/1990,78.58
4/1/1990,79.51
7/1/1990,80.13
10/1/1990,79.97
1/1/1991,81.15
4/1/1991,82.42
7/1/1991,82.47
10/1/1991,83.75
1/1/1992,84.76
4/1/1992,85.72
7/1/1992,87.02
10/1/1992,87.87
1/1/1993,88.17
4/1/1993,89.6
7/1/1993,90.51
10/1/1993,91.26
1/1/1994,92.84
4/1/1994,96.45
7/1/1994,97.55
10/1/1994,98.77
1/1/1995,100
4/1/1995,101.47
7/1/1995,102.94
10/1/1995,103.86
1/1/1996,104.98
4/1/1996,106.56
7/1/1996,107.83
10/1/1996,109.07
1/1/1997,110.86
4/1/1997,111.88
7/1/1997,112.95
10/1/1997,114.8
1/1/1998,115.97
4/1/1998,117.15
7/1/1998,118.35
10/1/1998,120.14
1/1/1999,121.07
4/1/1999,122.68
7/1/1999,124
10/1/1999,125.57
1/1/2000,127.53
4/1/2000,128.52
7/1/2000,130.02
10/1/2000,131.57
1/1/2001,134.09
4/1/2001,135.6
7/1/2001,136.56
10/1/2001,137.93
1/1/2002,139.18
4/1/2002,140.22
7/1/2002,141.6
10/1/2002,142.86
1/1/2003,144.03
4/1/2003,145.12
7/1/2003,146.18
10/1/2003,148.63
1/1/2004,150.01
4/1/2004,151.14
7/1/2004,152.79
10/1/2004,155.27
1/1/2005,157.04
4/1/2005,158.85
7/1/2005,161.16
10/1/2005,161.18
1/1/2006,162.78
4/1/2006,163.22
7/1/2006,163.79
10/1/2006,165.18
1/1/2007,166.62
4/1/2007,166.75
7/1/2007,166.5
10/1/2007,167.97
1/1/2008,169.23
4/1/2008,168.63
7/1/2008,165.94
10/1/2008,166.38
1/1/2009,167.87
4/1/2009,166.06
7/1/2009,163.91
10/1/2009,163.47
1/1/2010,162.68
4/1/2010,161.6
7/1/2010,164.26
10/1/2010,163.3
1/1/2011,161.01
4/1/2011,158.98
7/1/2011,160.28
10/1/2011,161.06
1/1/2012,160.13
4/1/2012,159.94
7/1/2012,161
10/1/2012,161.95
1/1/2013,161.77
4/1/2013,162.94
7/1/2013,163
10/1/2013,162.72
1/1/2014,163.24
4/1/2014,166.1
7/1/2014,166.7
10/1/2014,167.87
1/1/2015,170.46
4/1/2015,173.3
7/1/2015,173.97
10/1/2015,175.39
1/1/2016,177.05
4/1/2016,180.12
7/1/2016,182.96
10/1/2016,184.1
1/1/2017,186.66
4/1/2017,190.68
7/1/2017,192.25
10/1/2017,193.85
1/1/2018,196.13
4/1/2018,198.69
7/1/2018,201.26
10/1/2018,202.94
1/1/2019,204
4/1/2019,207.81
7/1/2019,210.55
10/1/2019,211.6
1/1/2020,214.26
4/1/2020,216.69
7/1/2020,220.37
10/1/2020,225.78
1/1/2021,228.67
4/1/2021,240.18
