DATE,Madison_WI
10/1/1976,33.79
1/1/1977,36.03
4/1/1977,37.57
7/1/1977,39.26
10/1/1977,39.97
1/1/1978,41.62
4/1/1978,43.62
7/1/1978,44.57
10/1/1978,45.46
1/1/1979,47.64
4/1/1979,48.68
7/1/1979,49.89
10/1/1979,50.68
1/1/1980,49.44
4/1/1980,52.09
7/1/1980,53.75
10/1/1980,49.94
1/1/1981,53.29
4/1/1981,52.32
7/1/1981,53.59
10/1/1981,.
1/1/1982,55.46
4/1/1982,60.22
7/1/1982,55.22
10/1/1982,50.99
1/1/1983,56.63
4/1/1983,56.26
7/1/1983,55.72
10/1/1983,57.18
1/1/1984,57.54
4/1/1984,57.45
7/1/1984,56.25
10/1/1984,57.83
1/1/1985,56.72
4/1/1985,57.81
7/1/1985,58.33
10/1/1985,57.9
1/1/1986,59.39
4/1/1986,59.14
7/1/1986,59.53
10/1/1986,60.14
1/1/1987,60.75
4/1/1987,61.25
7/1/1987,61.83
10/1/1987,63.07
1/1/1988,62.9
4/1/1988,64.13
7/1/1988,65.77
10/1/1988,66.32
1/1/1989,67.57
4/1/1989,68.14
7/1/1989,69.05
10/1/1989,68.75
1/1/1990,70.43
4/1/1990,71.43
7/1/1990,72.46
10/1/1990,72.56
1/1/1991,74.12
4/1/1991,75.07
7/1/1991,76.52
10/1/1991,77.14
1/1/1992,78.13
4/1/1992,79.8
7/1/1992,80.61
10/1/1992,81.74
1/1/1993,82.21
4/1/1993,83.65
7/1/1993,84.77
10/1/1993,85.97
1/1/1994,88.8
4/1/1994,94.98
7/1/1994,97.66
10/1/1994,98.34
1/1/1995,100
4/1/1995,101.66
7/1/1995,102.85
10/1/1995,103.87
1/1/1996,104.37
4/1/1996,105.5
7/1/1996,107.08
10/1/1996,107.88
1/1/1997,108.72
4/1/1997,109.72
7/1/1997,110.8
10/1/1997,111.48
1/1/1998,112.03
4/1/1998,113.32
7/1/1998,114.55
10/1/1998,114.63
1/1/1999,116.63
4/1/1999,118.82
7/1/1999,120.69
10/1/1999,121.71
1/1/2000,128.08
4/1/2000,126.12
7/1/2000,127.74
10/1/2000,129.23
1/1/2001,130.58
4/1/2001,132.23
7/1/2001,134.57
10/1/2001,135.19
1/1/2002,137.46
4/1/2002,140.31
7/1/2002,141.74
10/1/2002,142.91
1/1/2003,144.49
4/1/2003,145.64
7/1/2003,148.26
10/1/2003,153.69
1/1/2004,154.34
4/1/2004,158.81
7/1/2004,164.3
10/1/2004,166.85
1/1/2005,170.1
4/1/2005,174.15
7/1/2005,177.49
10/1/2005,178.39
1/1/2006,179.36
4/1/2006,179.84
7/1/2006,181.48
10/1/2006,182.78
1/1/2007,183.66
4/1/2007,183.38
7/1/2007,182.72
10/1/2007,183.98
1/1/2008,184.46
4/1/2008,181.76
7/1/2008,179.17
10/1/2008,180.52
1/1/2009,180.72
4/1/2009,178.69
7/1/2009,175.9
10/1/2009,176.82
1/1/2010,174.66
4/1/2010,173.47
7/1/2010,175.21
10/1/2010,174.55
1/1/2011,171.59
4/1/2011,170.32
7/1/2011,171.22
10/1/2011,171.61
1/1/2012,170.35
4/1/2012,169.59
7/1/2012,170.73
10/1/2012,171.15
1/1/2013,170.78
4/1/2013,171.55
7/1/2013,173.13
10/1/2013,172.64
1/1/2014,172.56
4/1/2014,175.66
7/1/2014,177.84
10/1/2014,178.63
1/1/2015,179.18
4/1/2015,181.99
7/1/2015,183.95
10/1/2015,185.56
1/1/2016,187.08
4/1/2016,191.26
7/1/2016,193.18
10/1/2016,194.25
1/1/2017,197.2
4/1/2017,203.49
7/1/2017,204.84
10/1/2017,205.8
1/1/2018,208.2
4/1/2018,214.14
7/1/2018,216.31
10/1/2018,215.61
1/1/2019,217.62
4/1/2019,221.34
7/1/2019,223.49
10/1/2019,224.55
1/1/2020,226.2
4/1/2020,227.99
7/1/2020,231.7
10/1/2020,236.18
1/1/2021,238.82
4/1/2021,251.96
