DATE,Memphis_TN
4/1/1977,45.22
7/1/1977,46.82
10/1/1977,48
1/1/1978,52.44
4/1/1978,49.76
7/1/1978,52.49
10/1/1978,54.84
1/1/1979,53.99
4/1/1979,53.52
7/1/1979,57.37
10/1/1979,58.47
1/1/1980,61.47
4/1/1980,62.53
7/1/1980,59.34
10/1/1980,64.37
1/1/1981,62.04
4/1/1981,68.5
7/1/1981,65.69
10/1/1981,64.3
1/1/1982,65.37
4/1/1982,57.39
7/1/1982,64.31
10/1/1982,63.7
1/1/1983,69.94
4/1/1983,67.46
7/1/1983,71.89
10/1/1983,69.12
1/1/1984,62.75
4/1/1984,69.83
7/1/1984,60.91
10/1/1984,72.06
1/1/1985,73.84
4/1/1985,75.03
7/1/1985,77.73
10/1/1985,77.51
1/1/1986,80.21
4/1/1986,80.78
7/1/1986,81.65
10/1/1986,83.24
1/1/1987,84.45
4/1/1987,86.18
7/1/1987,86.53
10/1/1987,85.81
1/1/1988,88.02
4/1/1988,88.3
7/1/1988,87.59
10/1/1988,87.84
1/1/1989,88.68
4/1/1989,88.89
7/1/1989,90.01
10/1/1989,90.52
1/1/1990,89.78
4/1/1990,89.74
7/1/1990,89.37
10/1/1990,88.89
1/1/1991,89.69
4/1/1991,89.96
7/1/1991,90.45
10/1/1991,92.97
1/1/1992,93.93
4/1/1992,91.75
7/1/1992,94.23
10/1/1992,93.98
1/1/1993,94.47
4/1/1993,95.02
7/1/1993,96.13
10/1/1993,96.69
1/1/1994,96.76
4/1/1994,96.89
7/1/1994,98.1
10/1/1994,99.66
1/1/1995,100
4/1/1995,101.64
7/1/1995,103.14
10/1/1995,105.41
1/1/1996,105.55
4/1/1996,107.05
7/1/1996,108.25
10/1/1996,109.1
1/1/1997,110.91
4/1/1997,111.1
7/1/1997,112.86
10/1/1997,113.56
1/1/1998,115.81
4/1/1998,116.82
7/1/1998,118.48
10/1/1998,119.94
1/1/1999,121.38
4/1/1999,122.12
7/1/1999,123.59
10/1/1999,124.58
1/1/2000,125.08
4/1/2000,125.07
7/1/2000,126.46
10/1/2000,127.03
1/1/2001,129.96
4/1/2001,130.84
7/1/2001,131.53
10/1/2001,132.68
1/1/2002,132.42
4/1/2002,132.79
7/1/2002,134.39
10/1/2002,135.53
1/1/2003,136.21
4/1/2003,136.95
7/1/2003,137.43
10/1/2003,138.45
1/1/2004,138.83
4/1/2004,140.54
7/1/2004,142.05
10/1/2004,143.29
1/1/2005,144.45
4/1/2005,146.44
7/1/2005,149.48
10/1/2005,149.26
1/1/2006,151.8
4/1/2006,152.91
7/1/2006,153.43
10/1/2006,155.64
1/1/2007,156.07
4/1/2007,157.52
7/1/2007,156.09
10/1/2007,156.92
1/1/2008,156.64
4/1/2008,154.3
7/1/2008,151.01
10/1/2008,150.95
1/1/2009,153.07
4/1/2009,150.73
7/1/2009,146.2
10/1/2009,144.93
1/1/2010,142.48
4/1/2010,142.25
7/1/2010,144.33
10/1/2010,141.93
1/1/2011,137.24
4/1/2011,134.77
7/1/2011,137.32
10/1/2011,137.42
1/1/2012,135.59
4/1/2012,134.29
7/1/2012,136.07
10/1/2012,136.89
1/1/2013,135.78
4/1/2013,136.37
7/1/2013,137.65
10/1/2013,137.21
1/1/2014,138.25
4/1/2014,140.94
7/1/2014,142.46
10/1/2014,144.67
1/1/2015,144.81
4/1/2015,145.56
7/1/2015,147.71
10/1/2015,148.55
1/1/2016,148.84
4/1/2016,151.07
7/1/2016,153.37
10/1/2016,155.32
1/1/2017,156.46
4/1/2017,160.04
7/1/2017,163.39
10/1/2017,163.59
1/1/2018,165.91
4/1/2018,170.43
7/1/2018,172.34
10/1/2018,173.28
1/1/2019,175.14
4/1/2019,178.79
7/1/2019,181.71
10/1/2019,184.07
1/1/2020,187.01
4/1/2020,188.36
7/1/2020,193.65
10/1/2020,197.08
1/1/2021,202.1
4/1/2021,211.75
