DATE,Helena_MT
4/1/1987,58.87
7/1/1987,59.21
10/1/1987,57.66
1/1/1988,61.48
4/1/1988,60.18
7/1/1988,59.45
10/1/1988,57.22
1/1/1989,56.29
4/1/1989,57.28
7/1/1989,59.15
10/1/1989,63.63
1/1/1990,59.47
4/1/1990,66.23
7/1/1990,61.14
10/1/1990,64.85
1/1/1991,64.26
4/1/1991,66.19
7/1/1991,68.12
10/1/1991,70.85
1/1/1992,72.27
4/1/1992,74.86
7/1/1992,76.05
10/1/1992,78.55
1/1/1993,80.83
4/1/1993,83.28
7/1/1993,85.02
10/1/1993,88.55
1/1/1994,89.92
4/1/1994,95.14
7/1/1994,97.3
10/1/1994,99
1/1/1995,100
4/1/1995,102.48
7/1/1995,103.43
10/1/1995,105.64
1/1/1996,107.37
4/1/1996,108
7/1/1996,110.45
10/1/1996,110.54
1/1/1997,111.18
4/1/1997,110.47
7/1/1997,112.75
10/1/1997,115.43
1/1/1998,115.28
4/1/1998,115.55
7/1/1998,117.98
10/1/1998,117.88
1/1/1999,119.2
4/1/1999,119.34
7/1/1999,122.5
10/1/1999,121.31
1/1/2000,123.85
4/1/2000,124.22
7/1/2000,127.03
10/1/2000,129.59
1/1/2001,131.05
4/1/2001,133.98
7/1/2001,135.63
10/1/2001,136.72
1/1/2002,140.31
4/1/2002,142.55
7/1/2002,147.84
10/1/2002,148.53
1/1/2003,149.89
4/1/2003,154.8
7/1/2003,160.03
10/1/2003,166.98
1/1/2004,169.33
4/1/2004,175.59
7/1/2004,182.12
10/1/2004,184.11
1/1/2005,188.15
4/1/2005,194.14
7/1/2005,199.94
10/1/2005,203.9
1/1/2006,205.79
4/1/2006,213.31
7/1/2006,217.93
10/1/2006,222.68
1/1/2007,223.1
4/1/2007,227.74
7/1/2007,226.93
10/1/2007,227.3
1/1/2008,229.11
4/1/2008,229.23
7/1/2008,223.87
10/1/2008,226.12
1/1/2009,227.83
4/1/2009,223.66
7/1/2009,219.68
10/1/2009,218.43
1/1/2010,212.9
4/1/2010,212.14
7/1/2010,216.91
10/1/2010,214.05
1/1/2011,206.42
4/1/2011,204.52
7/1/2011,207.05
10/1/2011,208.98
1/1/2012,208.77
4/1/2012,207.83
7/1/2012,211.56
10/1/2012,212.84
1/1/2013,212.81
4/1/2013,216.44
7/1/2013,215.3
10/1/2013,215.75
1/1/2014,219.43
4/1/2014,217.31
7/1/2014,222.77
10/1/2014,225.68
1/1/2015,228.01
4/1/2015,230.31
7/1/2015,234.19
10/1/2015,232.14
1/1/2016,238.5
4/1/2016,238.93
7/1/2016,245.02
10/1/2016,249.09
1/1/2017,251.27
4/1/2017,255.8
7/1/2017,260.13
10/1/2017,261.77
1/1/2018,266.37
4/1/2018,271.51
7/1/2018,272.18
10/1/2018,279.26
1/1/2019,276.52
4/1/2019,290.23
7/1/2019,291.22
10/1/2019,296.38
1/1/2020,298.89
4/1/2020,301.82
7/1/2020,311.21
10/1/2020,324.15
1/1/2021,334.65
4/1/2021,366.77
