DATE,Montgomery_AL
1/1/1986,86.9
4/1/1986,83.35
7/1/1986,84.32
10/1/1986,85.05
1/1/1987,85.57
4/1/1987,85.02
7/1/1987,86.08
10/1/1987,86.04
1/1/1988,86.61
4/1/1988,88.37
7/1/1988,86.89
10/1/1988,85.99
1/1/1989,86.48
4/1/1989,87.42
7/1/1989,87.66
10/1/1989,88.57
1/1/1990,87.13
4/1/1990,88.79
7/1/1990,89.17
10/1/1990,89.4
1/1/1991,88.41
4/1/1991,90.19
7/1/1991,90.71
10/1/1991,92.52
1/1/1992,93.01
4/1/1992,93.07
7/1/1992,94.44
10/1/1992,95.74
1/1/1993,95.25
4/1/1993,95.94
7/1/1993,98.16
10/1/1993,98.95
1/1/1994,99.16
4/1/1994,99.65
7/1/1994,100.98
10/1/1994,101.68
1/1/1995,100
4/1/1995,102.08
7/1/1995,103.93
10/1/1995,106.36
1/1/1996,105.44
4/1/1996,106.33
7/1/1996,106.45
10/1/1996,106.38
1/1/1997,106.97
4/1/1997,106.89
7/1/1997,110.35
10/1/1997,109.94
1/1/1998,111.91
4/1/1998,112
7/1/1998,111.11
10/1/1998,113.8
1/1/1999,113.55
4/1/1999,113.74
7/1/1999,113.57
10/1/1999,113.82
1/1/2000,114.1
4/1/2000,114.79
7/1/2000,114.35
10/1/2000,115.24
1/1/2001,119.16
4/1/2001,119.15
7/1/2001,119.6
10/1/2001,121.65
1/1/2002,120.77
4/1/2002,120.46
7/1/2002,122.63
10/1/2002,123.93
1/1/2003,124.72
4/1/2003,125.67
7/1/2003,125.88
10/1/2003,126.94
1/1/2004,127.1
4/1/2004,128.27
7/1/2004,130.1
10/1/2004,132.62
1/1/2005,134
4/1/2005,138.31
7/1/2005,141.15
10/1/2005,142.29
1/1/2006,145.5
4/1/2006,146.03
7/1/2006,149.19
10/1/2006,153.06
1/1/2007,152.14
4/1/2007,156.19
7/1/2007,155.58
10/1/2007,155.83
1/1/2008,157.34
4/1/2008,155.72
7/1/2008,153.76
10/1/2008,155.59
1/1/2009,154.8
4/1/2009,154.46
7/1/2009,149.23
10/1/2009,149.07
1/1/2010,143.84
4/1/2010,145.33
7/1/2010,148.42
10/1/2010,146.94
1/1/2011,145.68
4/1/2011,140.12
7/1/2011,141.65
10/1/2011,142.88
1/1/2012,140.05
4/1/2012,137.71
7/1/2012,138.1
10/1/2012,139.54
1/1/2013,136.07
4/1/2013,138.18
7/1/2013,138.92
10/1/2013,138.54
1/1/2014,137.45
4/1/2014,137.78
7/1/2014,137.48
10/1/2014,139.68
1/1/2015,141.53
4/1/2015,140.47
7/1/2015,139.54
10/1/2015,140.1
1/1/2016,141.97
4/1/2016,141.83
7/1/2016,143.94
10/1/2016,141.07
1/1/2017,145
4/1/2017,141.9
7/1/2017,143.29
10/1/2017,142.96
1/1/2018,143.71
4/1/2018,144.93
7/1/2018,144.94
10/1/2018,145.48
1/1/2019,147.6
4/1/2019,148.88
7/1/2019,150.76
10/1/2019,151.11
1/1/2020,153.51
4/1/2020,155.09
7/1/2020,157.31
10/1/2020,159.85
1/1/2021,160.92
4/1/2021,165.54
