DATE,Myrtle_Beach_SC
4/1/1986,77.94
7/1/1986,80.98
10/1/1986,81.2
1/1/1987,84.53
4/1/1987,83.12
7/1/1987,78.86
10/1/1987,83.06
1/1/1988,83.87
4/1/1988,83.02
7/1/1988,82.67
10/1/1988,84.6
1/1/1989,83.9
4/1/1989,84.84
7/1/1989,85.49
10/1/1989,85.33
1/1/1990,86.68
4/1/1990,88.74
7/1/1990,86.69
10/1/1990,85.53
1/1/1991,89.25
4/1/1991,88.39
7/1/1991,90.43
10/1/1991,90.27
1/1/1992,91.01
4/1/1992,91.36
7/1/1992,92.27
10/1/1992,93.78
1/1/1993,92.27
4/1/1993,93.2
7/1/1993,94.56
10/1/1993,95.32
1/1/1994,95.04
4/1/1994,95.56
7/1/1994,96.9
10/1/1994,99.56
1/1/1995,100
4/1/1995,101.83
7/1/1995,104.12
10/1/1995,105.28
1/1/1996,105.95
4/1/1996,109.4
7/1/1996,109.2
10/1/1996,112.49
1/1/1997,113.44
4/1/1997,114.48
7/1/1997,118.13
10/1/1997,118.75
1/1/1998,120.37
4/1/1998,122.35
7/1/1998,122.95
10/1/1998,125.79
1/1/1999,126.62
4/1/1999,128.57
7/1/1999,132.21
10/1/1999,130.48
1/1/2000,133.66
4/1/2000,134.29
7/1/2000,134.82
10/1/2000,136.98
1/1/2001,140.4
4/1/2001,141.31
7/1/2001,142.67
10/1/2001,145.15
1/1/2002,146.34
4/1/2002,146.37
7/1/2002,149.01
10/1/2002,149.38
1/1/2003,151.33
4/1/2003,153.45
7/1/2003,155.46
10/1/2003,158.96
1/1/2004,162.24
4/1/2004,166.69
7/1/2004,173.99
10/1/2004,180.84
1/1/2005,183.25
4/1/2005,193.86
7/1/2005,205.63
10/1/2005,214.62
1/1/2006,224.61
4/1/2006,232.48
7/1/2006,238.87
10/1/2006,243.57
1/1/2007,247.22
4/1/2007,248.27
7/1/2007,245.08
10/1/2007,244.95
1/1/2008,246.78
4/1/2008,238.8
7/1/2008,228.52
10/1/2008,227.3
1/1/2009,227.73
4/1/2009,220.8
7/1/2009,210.58
10/1/2009,206.48
1/1/2010,199.69
4/1/2010,192.65
7/1/2010,195.08
10/1/2010,195.42
1/1/2011,184.57
4/1/2011,179.21
7/1/2011,177.92
10/1/2011,181.61
1/1/2012,178.11
4/1/2012,174.3
7/1/2012,172.62
10/1/2012,171.78
1/1/2013,175.15
4/1/2013,173.55
7/1/2013,174.86
10/1/2013,172.51
1/1/2014,176.19
4/1/2014,179.72
7/1/2014,177.25
10/1/2014,182.47
1/1/2015,183.07
4/1/2015,188.11
7/1/2015,185.96
10/1/2015,189.09
1/1/2016,191.29
4/1/2016,192.07
7/1/2016,196.52
10/1/2016,196.74
1/1/2017,199.91
4/1/2017,201.98
7/1/2017,204.58
10/1/2017,207.96
1/1/2018,211.06
4/1/2018,214.82
7/1/2018,217.9
10/1/2018,220.26
1/1/2019,221.47
4/1/2019,230.04
7/1/2019,230.59
10/1/2019,234.37
1/1/2020,240.53
4/1/2020,239.21
7/1/2020,244.38
10/1/2020,251.01
1/1/2021,257.47
4/1/2021,270.59
