DATE,Oklahoma_City_OK
1/1/1977,49.95
4/1/1977,51.31
7/1/1977,55.36
10/1/1977,58.93
1/1/1978,59.75
4/1/1978,64.88
7/1/1978,69.92
10/1/1978,71.92
1/1/1979,75.1
4/1/1979,78.05
7/1/1979,79.8
10/1/1979,83.31
1/1/1980,87.51
4/1/1980,83
7/1/1980,86.72
10/1/1980,85.32
1/1/1981,88.12
4/1/1981,90.42
7/1/1981,95.9
10/1/1981,97.06
1/1/1982,100.88
4/1/1982,102.68
7/1/1982,104.04
10/1/1982,106.83
1/1/1983,107.34
4/1/1983,111.48
7/1/1983,112.54
10/1/1983,111.68
1/1/1984,108.61
4/1/1984,109.06
7/1/1984,106.74
10/1/1984,108.44
1/1/1985,105.73
4/1/1985,104.17
7/1/1985,104.03
10/1/1985,100.96
1/1/1986,102.93
4/1/1986,103.02
7/1/1986,99.48
10/1/1986,98.34
1/1/1987,96.61
4/1/1987,92.56
7/1/1987,86.79
10/1/1987,84.65
1/1/1988,81.23
4/1/1988,83.48
7/1/1988,81.12
10/1/1988,81.95
1/1/1989,83.14
4/1/1989,84.32
7/1/1989,85.26
10/1/1989,83.96
1/1/1990,84.45
4/1/1990,85.52
7/1/1990,85.01
10/1/1990,84.7
1/1/1991,85.96
4/1/1991,87.22
7/1/1991,88.39
10/1/1991,89.38
1/1/1992,90.34
4/1/1992,90.09
7/1/1992,91.44
10/1/1992,91.64
1/1/1993,91.91
4/1/1993,93.76
7/1/1993,95.51
10/1/1993,96.63
1/1/1994,97.21
4/1/1994,99.77
7/1/1994,100.34
10/1/1994,100
1/1/1995,100
4/1/1995,102.43
7/1/1995,104.19
10/1/1995,104.1
1/1/1996,106.06
4/1/1996,106.5
7/1/1996,107.34
10/1/1996,108.07
1/1/1997,108.67
4/1/1997,109
7/1/1997,110.01
10/1/1997,111.67
1/1/1998,112.64
4/1/1998,113.87
7/1/1998,114.73
10/1/1998,116.51
1/1/1999,116.55
4/1/1999,117.46
7/1/1999,119.55
10/1/1999,119.97
1/1/2000,120.97
4/1/2000,122.27
7/1/2000,124.04
10/1/2000,125.09
1/1/2001,127.74
4/1/2001,128.64
7/1/2001,130.41
10/1/2001,132.05
1/1/2002,132.96
4/1/2002,134.56
7/1/2002,136.35
10/1/2002,137.83
1/1/2003,138.96
4/1/2003,141.08
7/1/2003,142.38
10/1/2003,144.74
1/1/2004,146.32
4/1/2004,148.49
7/1/2004,150.34
10/1/2004,152.76
1/1/2005,154.41
4/1/2005,157.86
7/1/2005,161.18
10/1/2005,162.68
1/1/2006,163.73
4/1/2006,166.14
7/1/2006,166.98
10/1/2006,168.96
1/1/2007,171.32
4/1/2007,171.74
7/1/2007,173.2
10/1/2007,174.69
1/1/2008,174.95
4/1/2008,175.47
7/1/2008,174.09
10/1/2008,173.97
1/1/2009,176.62
4/1/2009,175.81
7/1/2009,174.04
10/1/2009,174.38
1/1/2010,173.63
4/1/2010,173.82
7/1/2010,175.61
10/1/2010,175.29
1/1/2011,172.14
4/1/2011,171.22
7/1/2011,171.66
10/1/2011,173.88
1/1/2012,174.35
4/1/2012,174.32
7/1/2012,176.2
10/1/2012,176.36
1/1/2013,177.86
4/1/2013,179.11
7/1/2013,179.86
10/1/2013,180.31
1/1/2014,182.4
4/1/2014,184.9
7/1/2014,188.12
10/1/2014,189.22
1/1/2015,189.99
4/1/2015,192.37
7/1/2015,196.67
10/1/2015,197.32
1/1/2016,198.04
4/1/2016,199.42
7/1/2016,201.67
10/1/2016,202.47
1/1/2017,204.53
4/1/2017,207.06
7/1/2017,210.5
10/1/2017,208.8
1/1/2018,211.31
4/1/2018,215.73
7/1/2018,214.97
10/1/2018,215.94
1/1/2019,219.58
4/1/2019,220.68
7/1/2019,225.81
10/1/2019,226.78
1/1/2020,230.22
4/1/2020,232.13
7/1/2020,236.69
10/1/2020,239.73
1/1/2021,244.24
4/1/2021,254.67
