DATE,Omaha_NE-IA
1/1/1978,46.14
4/1/1978,51.77
7/1/1978,53.12
10/1/1978,52.51
1/1/1979,56.94
4/1/1979,57.38
7/1/1979,60.34
10/1/1979,59.39
1/1/1980,62.52
4/1/1980,63.89
7/1/1980,63.55
10/1/1980,61.98
1/1/1981,68.81
4/1/1981,59.57
7/1/1981,65.26
10/1/1981,63.21
1/1/1982,67.57
4/1/1982,67.96
7/1/1982,67.33
10/1/1982,70.02
1/1/1983,70.07
4/1/1983,70.47
7/1/1983,71.21
10/1/1983,71.37
1/1/1984,70.75
4/1/1984,73.46
7/1/1984,73.46
10/1/1984,73.48
1/1/1985,73.55
4/1/1985,74.17
7/1/1985,74.7
10/1/1985,75.32
1/1/1986,76.07
4/1/1986,76.33
7/1/1986,76.93
10/1/1986,76.72
1/1/1987,77.49
4/1/1987,77.43
7/1/1987,76.38
10/1/1987,77.12
1/1/1988,77.18
4/1/1988,77.59
7/1/1988,78.38
10/1/1988,77.63
1/1/1989,77.58
4/1/1989,78.87
7/1/1989,79.39
10/1/1989,80.61
1/1/1990,80.83
4/1/1990,81.97
7/1/1990,82.58
10/1/1990,82.54
1/1/1991,83.26
4/1/1991,84.17
7/1/1991,84.8
10/1/1991,85.2
1/1/1992,86.57
4/1/1992,87.69
7/1/1992,88.98
10/1/1992,89.32
1/1/1993,90.03
4/1/1993,90.82
7/1/1993,91.94
10/1/1993,93.36
1/1/1994,94.39
4/1/1994,97.48
7/1/1994,99.05
10/1/1994,99.33
1/1/1995,100
4/1/1995,102.48
7/1/1995,103.78
10/1/1995,104.47
1/1/1996,106.46
4/1/1996,108.38
7/1/1996,110.29
10/1/1996,111.2
1/1/1997,112.19
4/1/1997,114.94
7/1/1997,115.86
10/1/1997,117.93
1/1/1998,118.97
4/1/1998,119.71
7/1/1998,121.46
10/1/1998,123.25
1/1/1999,124.23
4/1/1999,126.69
7/1/1999,126.8
10/1/1999,127.8
1/1/2000,129.07
4/1/2000,131.55
7/1/2000,132.6
10/1/2000,133.72
1/1/2001,135.59
4/1/2001,137.34
7/1/2001,138.34
10/1/2001,139.51
1/1/2002,140.68
4/1/2002,141.61
7/1/2002,143.08
10/1/2002,144.16
1/1/2003,144.9
4/1/2003,145.75
7/1/2003,147.47
10/1/2003,149.85
1/1/2004,151.38
4/1/2004,152.92
7/1/2004,156.13
10/1/2004,157.61
1/1/2005,158.8
4/1/2005,160.71
7/1/2005,162.92
10/1/2005,162.57
1/1/2006,162.52
4/1/2006,164.22
7/1/2006,164.33
10/1/2006,164.73
1/1/2007,164.94
4/1/2007,165.56
7/1/2007,164.91
10/1/2007,164.35
1/1/2008,165.48
4/1/2008,163.52
7/1/2008,161.54
10/1/2008,162.67
1/1/2009,163.9
4/1/2009,163.42
7/1/2009,161.28
10/1/2009,160.94
1/1/2010,160.04
4/1/2010,160.48
7/1/2010,161.57
10/1/2010,160.81
1/1/2011,158.27
4/1/2011,157.03
7/1/2011,159.02
10/1/2011,160.19
1/1/2012,159.3
4/1/2012,159.13
7/1/2012,159.42
10/1/2012,159.93
1/1/2013,160.26
4/1/2013,161.66
7/1/2013,161.69
10/1/2013,162.78
1/1/2014,162.81
4/1/2014,165.47
7/1/2014,167.51
10/1/2014,167.46
1/1/2015,169.78
4/1/2015,172
7/1/2015,174.56
10/1/2015,174.72
1/1/2016,175.97
4/1/2016,178.91
7/1/2016,182.73
10/1/2016,182.91
1/1/2017,185.71
4/1/2017,190.51
7/1/2017,192.93
10/1/2017,193.83
1/1/2018,196.66
4/1/2018,202.17
7/1/2018,204.31
10/1/2018,205.38
1/1/2019,207.7
4/1/2019,214.06
7/1/2019,215.28
10/1/2019,217.2
1/1/2020,220.22
4/1/2020,222
7/1/2020,225.67
10/1/2020,229.88
1/1/2021,233.7
4/1/2021,248.3
