DATE,Orlando_FL
4/1/1978,43.2
7/1/1978,46.63
10/1/1978,47.77
1/1/1979,51.81
4/1/1979,52.9
7/1/1979,55.59
10/1/1979,56.66
1/1/1980,58.79
4/1/1980,58.19
7/1/1980,62.94
10/1/1980,66.15
1/1/1981,63.65
4/1/1981,64.67
7/1/1981,65.32
10/1/1981,68.01
1/1/1982,69.95
4/1/1982,63.4
7/1/1982,74.44
10/1/1982,76.83
1/1/1983,76.65
4/1/1983,77.43
7/1/1983,78.28
10/1/1983,75.17
1/1/1984,78.93
4/1/1984,79.37
7/1/1984,80.35
10/1/1984,81.28
1/1/1985,81.19
4/1/1985,81.35
7/1/1985,82.4
10/1/1985,83.55
1/1/1986,84.89
4/1/1986,85.53
7/1/1986,86.42
10/1/1986,85.65
1/1/1987,87.69
4/1/1987,87.01
7/1/1987,87.47
10/1/1987,87.34
1/1/1988,87.93
4/1/1988,90.62
7/1/1988,90.4
10/1/1988,91.58
1/1/1989,92.11
4/1/1989,93
7/1/1989,94.49
10/1/1989,95.43
1/1/1990,95.32
4/1/1990,95.95
7/1/1990,96.54
10/1/1990,96.15
1/1/1991,97.29
4/1/1991,97.88
7/1/1991,96.75
10/1/1991,99.1
1/1/1992,99.79
4/1/1992,98.9
7/1/1992,100.26
10/1/1992,100.65
1/1/1993,100.71
4/1/1993,101.28
7/1/1993,102.02
10/1/1993,102.62
1/1/1994,102.13
4/1/1994,100.66
7/1/1994,100.49
10/1/1994,100.18
1/1/1995,100
4/1/1995,101.47
7/1/1995,102.58
10/1/1995,103.15
1/1/1996,104.86
4/1/1996,104.15
7/1/1996,104.02
10/1/1996,104.56
1/1/1997,106.15
4/1/1997,105.94
7/1/1997,106.97
10/1/1997,109.11
1/1/1998,110.85
4/1/1998,110.65
7/1/1998,112.54
10/1/1998,114.11
1/1/1999,114.95
4/1/1999,116.37
7/1/1999,117.95
10/1/1999,118.53
1/1/2000,121.4
4/1/2000,123.86
7/1/2000,125.69
10/1/2000,127.64
1/1/2001,131.63
4/1/2001,133.83
7/1/2001,136.7
10/1/2001,138.89
1/1/2002,140.77
4/1/2002,144.15
7/1/2002,147
10/1/2002,149.54
1/1/2003,151.78
4/1/2003,154.67
7/1/2003,157.01
10/1/2003,162.23
1/1/2004,166.03
4/1/2004,172.66
7/1/2004,182.39
10/1/2004,189.57
1/1/2005,199.48
4/1/2005,217.04
7/1/2005,235.97
10/1/2005,251.31
1/1/2006,263.86
4/1/2006,272.91
7/1/2006,275.56
10/1/2006,278.56
1/1/2007,280.48
4/1/2007,277.48
7/1/2007,270.03
10/1/2007,263.63
1/1/2008,253.34
4/1/2008,238.38
7/1/2008,219.27
10/1/2008,208.65
1/1/2009,208.19
4/1/2009,196.38
7/1/2009,183.77
10/1/2009,174.53
1/1/2010,169.66
4/1/2010,162.97
7/1/2010,163.56
10/1/2010,160.99
1/1/2011,155.75
4/1/2011,146.88
7/1/2011,145.75
10/1/2011,149.15
1/1/2012,145.07
4/1/2012,144.49
7/1/2012,147.41
10/1/2012,149.13
1/1/2013,152.95
4/1/2013,159.24
7/1/2013,163.94
10/1/2013,168.71
1/1/2014,174.24
4/1/2014,176.17
7/1/2014,179.78
10/1/2014,183.1
1/1/2015,186.66
4/1/2015,191.95
7/1/2015,195.9
10/1/2015,200.87
1/1/2016,202.79
4/1/2016,207.17
7/1/2016,214.7
10/1/2016,218.08
1/1/2017,223.06
4/1/2017,229.02
7/1/2017,234.04
10/1/2017,239.14
1/1/2018,244.23
4/1/2018,250.01
7/1/2018,254.27
10/1/2018,256.46
1/1/2019,261.44
4/1/2019,264.22
7/1/2019,269.74
10/1/2019,272.2
1/1/2020,276.36
4/1/2020,278.56
7/1/2020,284.19
10/1/2020,289.62
1/1/2021,296.8
4/1/2021,312.68
