DATE,Phoenix_AZ
4/1/1977,42.74
7/1/1977,43.86
10/1/1977,46.18
1/1/1978,47.59
4/1/1978,49.36
7/1/1978,52.45
10/1/1978,55.96
1/1/1979,58.07
4/1/1979,60.35
7/1/1979,64.1
10/1/1979,65.85
1/1/1980,65.16
4/1/1980,66.33
7/1/1980,70.69
10/1/1980,71.23
1/1/1981,73.36
4/1/1981,74.12
7/1/1981,77.91
10/1/1981,74.24
1/1/1982,71.31
4/1/1982,73.58
7/1/1982,68.26
10/1/1982,75.05
1/1/1983,79.59
4/1/1983,80.54
7/1/1983,77.47
10/1/1983,76.27
1/1/1984,78.79
4/1/1984,82.94
7/1/1984,84.13
10/1/1984,82.42
1/1/1985,84.52
4/1/1985,85.64
7/1/1985,86.22
10/1/1985,86.89
1/1/1986,89.06
4/1/1986,91.62
7/1/1986,91.83
10/1/1986,89.62
1/1/1987,93.01
4/1/1987,92.25
7/1/1987,91.75
10/1/1987,90.18
1/1/1988,91.7
4/1/1988,91.8
7/1/1988,90.62
10/1/1988,90.88
1/1/1989,89.68
4/1/1989,89.06
7/1/1989,90.09
10/1/1989,89.65
1/1/1990,88.76
4/1/1990,87.64
7/1/1990,87.28
10/1/1990,86.06
1/1/1991,87.31
4/1/1991,87.76
7/1/1991,87.52
10/1/1991,90.29
1/1/1992,90.45
4/1/1992,90.17
7/1/1992,91.02
10/1/1992,91.51
1/1/1993,91.24
4/1/1993,92.29
7/1/1993,92.89
10/1/1993,94.03
1/1/1994,94.96
4/1/1994,95.96
7/1/1994,97.51
10/1/1994,98.94
1/1/1995,100
4/1/1995,101.83
7/1/1995,103.92
10/1/1995,105.16
1/1/1996,107.17
4/1/1996,107.68
7/1/1996,109.08
10/1/1996,110.12
1/1/1997,111.57
4/1/1997,112.54
7/1/1997,114.46
10/1/1997,116.43
1/1/1998,118.17
4/1/1998,119.45
7/1/1998,121.28
10/1/1998,122.75
1/1/1999,124.42
4/1/1999,126.66
7/1/1999,128.93
10/1/1999,130.45
1/1/2000,133.84
4/1/2000,135.37
7/1/2000,137.29
10/1/2000,139.35
1/1/2001,142.47
4/1/2001,144.64
7/1/2001,146.93
10/1/2001,148.12
1/1/2002,150.11
4/1/2002,151.91
7/1/2002,154.21
10/1/2002,155.7
1/1/2003,157.41
4/1/2003,158.89
7/1/2003,160.86
10/1/2003,165.77
1/1/2004,168.44
4/1/2004,173.92
7/1/2004,184.2
10/1/2004,192.25
1/1/2005,205.61
4/1/2005,229.74
7/1/2005,251.86
10/1/2005,272.01
1/1/2006,282.96
4/1/2006,287.81
7/1/2006,290.58
10/1/2006,292.57
1/1/2007,290.38
4/1/2007,287.76
7/1/2007,281.43
10/1/2007,274.81
1/1/2008,262.79
4/1/2008,244.32
7/1/2008,222.03
10/1/2008,210.78
1/1/2009,209.67
4/1/2009,191.15
7/1/2009,179.77
10/1/2009,175.23
1/1/2010,170.95
4/1/2010,164.43
7/1/2010,164.8
10/1/2010,159.77
1/1/2011,150.47
4/1/2011,143.15
7/1/2011,145.4
10/1/2011,149.24
1/1/2012,150.02
4/1/2012,154.12
7/1/2012,161.88
10/1/2012,168.07
1/1/2013,174.12
4/1/2013,184.04
7/1/2013,191.74
10/1/2013,198.16
1/1/2014,202.03
4/1/2014,206.65
7/1/2014,208.26
10/1/2014,211.77
1/1/2015,213.24
4/1/2015,218.62
7/1/2015,224.2
10/1/2015,227.33
1/1/2016,230.58
4/1/2016,235.58
7/1/2016,240.05
10/1/2016,244.28
1/1/2017,247.85
4/1/2017,254.3
7/1/2017,259.71
10/1/2017,263.09
1/1/2018,268.95
4/1/2018,274.64
7/1/2018,281.52
10/1/2018,284.45
1/1/2019,288.23
4/1/2019,293.67
7/1/2019,298.05
10/1/2019,303.29
1/1/2020,310.02
4/1/2020,315.81
7/1/2020,323.48
10/1/2020,335.01
1/1/2021,349.26
4/1/2021,377.25
