DATE,Porland_ME
7/1/1982,49.55
10/1/1982,51.55
1/1/1983,51.09
4/1/1983,53.51
7/1/1983,55.46
10/1/1983,58.91
1/1/1984,58.33
4/1/1984,61.42
7/1/1984,63.7
10/1/1984,63.9
1/1/1985,66.16
4/1/1985,69.02
7/1/1985,71.19
10/1/1985,75.83
1/1/1986,76.45
4/1/1986,79.82
7/1/1986,83.26
10/1/1986,87.96
1/1/1987,91.26
4/1/1987,94.71
7/1/1987,100.48
10/1/1987,104.14
1/1/1988,106.44
4/1/1988,107.54
7/1/1988,110.49
10/1/1988,110.32
1/1/1989,110.23
4/1/1989,111.35
7/1/1989,112.75
10/1/1989,113.03
1/1/1990,112.21
4/1/1990,107.89
7/1/1990,106.52
10/1/1990,107.78
1/1/1991,103.71
4/1/1991,104.66
7/1/1991,103.26
10/1/1991,104.18
1/1/1992,104.78
4/1/1992,102.65
7/1/1992,102.54
10/1/1992,103.9
1/1/1993,102.11
4/1/1993,103.71
7/1/1993,102.78
10/1/1993,103.5
1/1/1994,104.09
4/1/1994,101.01
7/1/1994,100.81
10/1/1994,99.1
1/1/1995,100
4/1/1995,101.75
7/1/1995,103.42
10/1/1995,104.06
1/1/1996,105.91
4/1/1996,105.35
7/1/1996,105.1
10/1/1996,106.9
1/1/1997,106.12
4/1/1997,107.76
7/1/1997,109.46
10/1/1997,110.83
1/1/1998,112.62
4/1/1998,113.95
7/1/1998,115.28
10/1/1998,116.97
1/1/1999,118.26
4/1/1999,121.96
7/1/1999,125.49
10/1/1999,126.26
1/1/2000,130.11
4/1/2000,133.65
7/1/2000,137.15
10/1/2000,140.12
1/1/2001,144.12
4/1/2001,147.21
7/1/2001,152.23
10/1/2001,154.51
1/1/2002,158.24
4/1/2002,164.15
7/1/2002,168.36
10/1/2002,172
1/1/2003,175.26
4/1/2003,177.81
7/1/2003,183.28
10/1/2003,190.97
1/1/2004,194.8
4/1/2004,200.52
7/1/2004,210.68
10/1/2004,214.36
1/1/2005,220.81
4/1/2005,225.59
7/1/2005,231.95
10/1/2005,234.17
1/1/2006,236.29
4/1/2006,234.49
7/1/2006,234.79
10/1/2006,236.88
1/1/2007,239.32
4/1/2007,236.57
7/1/2007,235.65
10/1/2007,238.07
1/1/2008,238.39
4/1/2008,233.02
7/1/2008,228.35
10/1/2008,227.71
1/1/2009,229.21
4/1/2009,223.59
7/1/2009,218.5
10/1/2009,216.33
1/1/2010,215.18
4/1/2010,212.32
7/1/2010,214.95
10/1/2010,214.98
1/1/2011,211.65
4/1/2011,208.14
7/1/2011,210.08
10/1/2011,211.39
1/1/2012,209.56
4/1/2012,208.22
7/1/2012,208.42
10/1/2012,209.03
1/1/2013,210.39
4/1/2013,211.56
7/1/2013,211.52
10/1/2013,210.37
1/1/2014,211.73
4/1/2014,214.58
7/1/2014,218.31
10/1/2014,216.95
1/1/2015,220.53
4/1/2015,222.71
7/1/2015,224.53
10/1/2015,227.66
1/1/2016,228.22
4/1/2016,231.23
7/1/2016,236.18
10/1/2016,237.76
1/1/2017,240.56
4/1/2017,244.98
7/1/2017,250.64
10/1/2017,252.08
1/1/2018,256.04
4/1/2018,260.48
7/1/2018,264.59
10/1/2018,266.31
1/1/2019,269.17
4/1/2019,274.41
7/1/2019,277.5
10/1/2019,280.62
1/1/2020,284.61
4/1/2020,288.44
7/1/2020,294.11
10/1/2020,305.74
1/1/2021,314.29
4/1/2021,332.55
