DATE,Prescott_AZ
1/1/1987,69.12
4/1/1987,67.21
7/1/1987,67.95
10/1/1987,65.65
1/1/1988,66.44
4/1/1988,68.08
7/1/1988,69.39
10/1/1988,68.86
1/1/1989,71.36
4/1/1989,71.44
7/1/1989,73.84
10/1/1989,74.37
1/1/1990,74.59
4/1/1990,75.31
7/1/1990,76.91
10/1/1990,77.27
1/1/1991,79.6
4/1/1991,78.76
7/1/1991,79.86
10/1/1991,81.8
1/1/1992,84.01
4/1/1992,83.33
7/1/1992,84.39
10/1/1992,85.29
1/1/1993,86.61
4/1/1993,87.22
7/1/1993,89.38
10/1/1993,91.5
1/1/1994,93.4
4/1/1994,94.72
7/1/1994,96.47
10/1/1994,97.84
1/1/1995,100
4/1/1995,102.15
7/1/1995,104.19
10/1/1995,105.46
1/1/1996,106.88
4/1/1996,106
7/1/1996,105.68
10/1/1996,106.43
1/1/1997,107.3
4/1/1997,107.25
7/1/1997,108.52
10/1/1997,110.26
1/1/1998,112.54
4/1/1998,113.55
7/1/1998,113.9
10/1/1998,114.32
1/1/1999,115.52
4/1/1999,115.19
7/1/1999,116.45
10/1/1999,117.91
1/1/2000,120.07
4/1/2000,120.47
7/1/2000,122.71
10/1/2000,124.39
1/1/2001,127.2
4/1/2001,129.63
7/1/2001,131.23
10/1/2001,131.74
1/1/2002,134.26
4/1/2002,136.25
7/1/2002,139.08
10/1/2002,140.55
1/1/2003,142.78
4/1/2003,144.4
7/1/2003,146.7
10/1/2003,151.12
1/1/2004,155.27
4/1/2004,160.52
7/1/2004,169.56
10/1/2004,176.2
1/1/2005,188.56
4/1/2005,205.97
7/1/2005,219.8
10/1/2005,232.42
1/1/2006,242.63
4/1/2006,248.87
7/1/2006,250.24
10/1/2006,254.53
1/1/2007,254.59
4/1/2007,251.04
7/1/2007,241.49
10/1/2007,241.1
1/1/2008,237.33
4/1/2008,227.24
7/1/2008,211.35
10/1/2008,203.84
1/1/2009,204.21
4/1/2009,190.57
7/1/2009,179.01
10/1/2009,174.79
1/1/2010,167.53
4/1/2010,161.46
7/1/2010,160.41
10/1/2010,155.45
1/1/2011,152.05
4/1/2011,143.08
7/1/2011,144.81
10/1/2011,148.23
1/1/2012,145.95
4/1/2012,147.44
7/1/2012,151.09
10/1/2012,152.73
1/1/2013,157.11
4/1/2013,161.82
7/1/2013,165.67
10/1/2013,170.54
1/1/2014,174.35
4/1/2014,177.71
7/1/2014,182.33
10/1/2014,184.45
1/1/2015,189.07
4/1/2015,190.96
7/1/2015,195.05
10/1/2015,199.84
1/1/2016,201.25
4/1/2016,205.85
7/1/2016,207.55
10/1/2016,212.48
1/1/2017,217.05
4/1/2017,223.98
7/1/2017,228.89
10/1/2017,232.76
1/1/2018,236.42
4/1/2018,244.89
7/1/2018,249.55
10/1/2018,252.35
1/1/2019,254.32
4/1/2019,259.56
7/1/2019,263.41
10/1/2019,266.48
1/1/2020,271.61
4/1/2020,274.45
7/1/2020,281.28
10/1/2020,287.14
1/1/2021,299.54
4/1/2021,323.15
