DATE,Reno_NV
4/1/1978,49.83
7/1/1978,52.31
10/1/1978,53.17
1/1/1979,55.81
4/1/1979,59.65
7/1/1979,58.66
10/1/1979,58.37
1/1/1980,60.49
4/1/1980,59.65
7/1/1980,60.33
10/1/1980,61.62
1/1/1981,67.92
4/1/1981,64.03
7/1/1981,67.02
10/1/1981,66.95
1/1/1982,69.45
4/1/1982,69.13
7/1/1982,66.58
10/1/1982,67.55
1/1/1983,68.15
4/1/1983,68.47
7/1/1983,71.56
10/1/1983,73.39
1/1/1984,71.46
4/1/1984,68.45
7/1/1984,66.19
10/1/1984,70.41
1/1/1985,68.85
4/1/1985,70.31
7/1/1985,69.53
10/1/1985,70.14
1/1/1986,72.15
4/1/1986,73.61
7/1/1986,73.93
10/1/1986,74.66
1/1/1987,75.68
4/1/1987,74.56
7/1/1987,75.01
10/1/1987,74.75
1/1/1988,75.97
4/1/1988,74.44
7/1/1988,76.33
10/1/1988,76.95
1/1/1989,76.23
4/1/1989,77.45
7/1/1989,79.27
10/1/1989,80.48
1/1/1990,81.49
4/1/1990,81.59
7/1/1990,83.82
10/1/1990,84.3
1/1/1991,85.71
4/1/1991,86.42
7/1/1991,87.67
10/1/1991,88.94
1/1/1992,89.85
4/1/1992,90.39
7/1/1992,91.54
10/1/1992,92.67
1/1/1993,92.83
4/1/1993,93.56
7/1/1993,94.7
10/1/1993,95.58
1/1/1994,96.31
4/1/1994,97.62
7/1/1994,99.01
10/1/1994,99.27
1/1/1995,100
4/1/1995,102.45
7/1/1995,104.15
10/1/1995,104.38
1/1/1996,105.99
4/1/1996,105.76
7/1/1996,106.2
10/1/1996,106.86
1/1/1997,107.81
4/1/1997,107.62
7/1/1997,109.65
10/1/1997,110.12
1/1/1998,111.02
4/1/1998,111.17
7/1/1998,112.07
10/1/1998,112.74
1/1/1999,112.25
4/1/1999,112.57
7/1/1999,113.48
10/1/1999,113.49
1/1/2000,115
4/1/2000,116.2
7/1/2000,117.18
10/1/2000,118.54
1/1/2001,120.73
4/1/2001,122.02
7/1/2001,124.8
10/1/2001,126.35
1/1/2002,128.75
4/1/2002,131.79
7/1/2002,134.8
10/1/2002,136.81
1/1/2003,139.72
4/1/2003,142.67
7/1/2003,146.76
10/1/2003,156.23
1/1/2004,162
4/1/2004,173.93
7/1/2004,195.16
10/1/2004,204.85
1/1/2005,216.08
4/1/2005,232.02
7/1/2005,241.34
10/1/2005,248.65
1/1/2006,251.62
4/1/2006,248.78
7/1/2006,247.37
10/1/2006,242.89
1/1/2007,239.1
4/1/2007,232.42
7/1/2007,223.67
10/1/2007,218.07
1/1/2008,210.3
4/1/2008,197.82
7/1/2008,184.23
10/1/2008,175.77
1/1/2009,172.2
4/1/2009,160.17
7/1/2009,149.44
10/1/2009,145.53
1/1/2010,138.19
4/1/2010,131.66
7/1/2010,135.14
10/1/2010,131.22
1/1/2011,125.4
4/1/2011,117.38
7/1/2011,117.33
10/1/2011,116.65
1/1/2012,115.86
4/1/2012,114.89
7/1/2012,117.9
10/1/2012,121.22
1/1/2013,126.01
4/1/2013,134.03
7/1/2013,142.05
10/1/2013,147.85
1/1/2014,150.91
4/1/2014,158.06
7/1/2014,164.95
10/1/2014,166.91
1/1/2015,171.66
4/1/2015,179.81
7/1/2015,187.54
10/1/2015,190.71
1/1/2016,194.77
4/1/2016,201.13
7/1/2016,208.12
10/1/2016,210.07
1/1/2017,212.92
4/1/2017,220.02
7/1/2017,226.92
10/1/2017,231.74
1/1/2018,237.13
4/1/2018,246.97
7/1/2018,251.78
10/1/2018,254.74
1/1/2019,255.57
4/1/2019,259.74
7/1/2019,263.49
10/1/2019,263.8
1/1/2020,266.93
4/1/2020,270.21
7/1/2020,274.95
10/1/2020,282.14
1/1/2021,292.98
4/1/2021,316.95
