DATE,Richmond_VA
1/1/1976,42.57
4/1/1976,42.18
7/1/1976,41.38
10/1/1976,42.69
1/1/1977,43.56
4/1/1977,44.85
7/1/1977,46.04
10/1/1977,47.15
1/1/1978,47.17
4/1/1978,47.66
7/1/1978,49.3
10/1/1978,50.47
1/1/1979,50.58
4/1/1979,53.17
7/1/1979,53.68
10/1/1979,54.52
1/1/1980,57.29
4/1/1980,56.76
7/1/1980,58.57
10/1/1980,58.44
1/1/1981,59.71
4/1/1981,57.25
7/1/1981,60.23
10/1/1981,60.51
1/1/1982,63.12
4/1/1982,64.14
7/1/1982,59.26
10/1/1982,62.03
1/1/1983,64.42
4/1/1983,65.07
7/1/1983,65.54
10/1/1983,65.8
1/1/1984,67.92
4/1/1984,67.4
7/1/1984,69.11
10/1/1984,67.89
1/1/1985,69.66
4/1/1985,70.45
7/1/1985,71.05
10/1/1985,70.87
1/1/1986,72.82
4/1/1986,74.1
7/1/1986,74.82
10/1/1986,75.81
1/1/1987,77.17
4/1/1987,78.51
7/1/1987,81.34
10/1/1987,82.32
1/1/1988,83.33
4/1/1988,85.34
7/1/1988,86.17
10/1/1988,87.52
1/1/1989,88.98
4/1/1989,89.7
7/1/1989,91.31
10/1/1989,91.36
1/1/1990,92.03
4/1/1990,93.59
7/1/1990,93.24
10/1/1990,93.46
1/1/1991,92.88
4/1/1991,94.53
7/1/1991,93.8
10/1/1991,95.66
1/1/1992,96.75
4/1/1992,95.83
7/1/1992,97.31
10/1/1992,97.77
1/1/1993,97.23
4/1/1993,98.4
7/1/1993,98.9
10/1/1993,99.64
1/1/1994,99.63
4/1/1994,99.76
7/1/1994,100.57
10/1/1994,100.41
1/1/1995,100
4/1/1995,101.78
7/1/1995,102.57
10/1/1995,103.94
1/1/1996,104.55
4/1/1996,104.77
7/1/1996,104.62
10/1/1996,105.64
1/1/1997,105.94
4/1/1997,106.73
7/1/1997,107.48
10/1/1997,109.19
1/1/1998,110.92
4/1/1998,110.91
7/1/1998,111.88
10/1/1998,113.52
1/1/1999,114.61
4/1/1999,115.47
7/1/1999,117.14
10/1/1999,117.9
1/1/2000,119.78
4/1/2000,121.08
7/1/2000,122.62
10/1/2000,123.68
1/1/2001,126.32
4/1/2001,128.22
7/1/2001,129.89
10/1/2001,131.33
1/1/2002,132.77
4/1/2002,135.78
7/1/2002,138.05
10/1/2002,139.58
1/1/2003,141.37
4/1/2003,143.07
7/1/2003,145.93
10/1/2003,150.02
1/1/2004,152.93
4/1/2004,156.75
7/1/2004,164.54
10/1/2004,167.86
1/1/2005,173.09
4/1/2005,180.98
7/1/2005,189.16
10/1/2005,195.01
1/1/2006,200.55
4/1/2006,206.86
7/1/2006,209.71
10/1/2006,213.39
1/1/2007,216.14
4/1/2007,219.33
7/1/2007,218.21
10/1/2007,219.22
1/1/2008,219.09
4/1/2008,215.99
7/1/2008,212.71
10/1/2008,211.32
1/1/2009,210.52
4/1/2009,204.8
7/1/2009,199.58
10/1/2009,198.07
1/1/2010,195
4/1/2010,191.16
7/1/2010,192.14
10/1/2010,190.91
1/1/2011,184.38
4/1/2011,180.3
7/1/2011,179.14
10/1/2011,180.28
1/1/2012,178.54
4/1/2012,176.48
7/1/2012,178.4
10/1/2012,178.77
1/1/2013,178.28
4/1/2013,179.34
7/1/2013,180.94
10/1/2013,181.41
1/1/2014,182.18
4/1/2014,187.07
7/1/2014,187.12
10/1/2014,188.31
1/1/2015,189.33
4/1/2015,192.79
7/1/2015,194.08
10/1/2015,196.59
1/1/2016,195.05
4/1/2016,199.65
7/1/2016,202.54
10/1/2016,204.74
1/1/2017,207.23
4/1/2017,211.18
7/1/2017,213.55
10/1/2017,215.12
1/1/2018,219.57
4/1/2018,223.05
7/1/2018,224.91
10/1/2018,226.75
1/1/2019,228.2
4/1/2019,233.32
7/1/2019,235.69
10/1/2019,237.37
1/1/2020,239.14
4/1/2020,242.38
7/1/2020,246.82
10/1/2020,252.16
1/1/2021,257.2
4/1/2021,270.6
