DATE,Rochester_MN
4/1/1983,69.11
7/1/1983,75.21
10/1/1983,76.56
1/1/1984,74.26
4/1/1984,74.32
7/1/1984,76.45
10/1/1984,75.73
1/1/1985,76.1
4/1/1985,78.8
7/1/1985,79.23
10/1/1985,79.01
1/1/1986,79.45
4/1/1986,79.9
7/1/1986,78.74
10/1/1986,79.4
1/1/1987,81.84
4/1/1987,81.13
7/1/1987,81.38
10/1/1987,79.97
1/1/1988,80.71
4/1/1988,82.33
7/1/1988,82.32
10/1/1988,82.78
1/1/1989,86.22
4/1/1989,86.99
7/1/1989,87.38
10/1/1989,85.87
1/1/1990,89.09
4/1/1990,89.57
7/1/1990,90.3
10/1/1990,90.51
1/1/1991,90.98
4/1/1991,92.64
7/1/1991,93.75
10/1/1991,94.36
1/1/1992,94.87
4/1/1992,96.48
7/1/1992,96.93
10/1/1992,97.22
1/1/1993,98.89
4/1/1993,99.13
7/1/1993,99.44
10/1/1993,100.29
1/1/1994,101.04
4/1/1994,100.61
7/1/1994,99.67
10/1/1994,98.41
1/1/1995,100
4/1/1995,101.64
7/1/1995,103.18
10/1/1995,103.99
1/1/1996,106.1
4/1/1996,104.71
7/1/1996,106.37
10/1/1996,107.32
1/1/1997,107.25
4/1/1997,109.31
7/1/1997,111.08
10/1/1997,112.72
1/1/1998,114.3
4/1/1998,115.85
7/1/1998,118.56
10/1/1998,119.34
1/1/1999,122
4/1/1999,126.26
7/1/1999,129.68
10/1/1999,131.79
1/1/2000,133.86
4/1/2000,138.78
7/1/2000,142.11
10/1/2000,143.01
1/1/2001,147.48
4/1/2001,149.9
7/1/2001,153.08
10/1/2001,154.46
1/1/2002,155.87
4/1/2002,157.73
7/1/2002,160.23
10/1/2002,161.65
1/1/2003,162.89
4/1/2003,163.58
7/1/2003,165.9
10/1/2003,168.69
1/1/2004,170.37
4/1/2004,170.27
7/1/2004,173.89
10/1/2004,176.12
1/1/2005,177.38
4/1/2005,180.68
7/1/2005,183.56
10/1/2005,183.34
1/1/2006,182.33
4/1/2006,181.73
7/1/2006,184.59
10/1/2006,183.55
1/1/2007,183.63
4/1/2007,183.18
7/1/2007,183.57
10/1/2007,182.11
1/1/2008,186.23
4/1/2008,181.67
7/1/2008,179.26
10/1/2008,180.05
1/1/2009,182.68
4/1/2009,179.82
7/1/2009,177.32
10/1/2009,174.84
1/1/2010,172.15
4/1/2010,170.7
7/1/2010,173.52
10/1/2010,171.55
1/1/2011,167.72
4/1/2011,166.69
7/1/2011,169.34
10/1/2011,169.92
1/1/2012,168.25
4/1/2012,167.77
7/1/2012,170.79
10/1/2012,171.75
1/1/2013,171.97
4/1/2013,172.97
7/1/2013,174.7
10/1/2013,172.82
1/1/2014,174.64
4/1/2014,178.92
7/1/2014,179.79
10/1/2014,178.59
1/1/2015,179.75
4/1/2015,183.89
7/1/2015,186.14
10/1/2015,189.48
1/1/2016,188.48
4/1/2016,193.91
7/1/2016,200.12
10/1/2016,199.51
1/1/2017,205.88
4/1/2017,210.72
7/1/2017,214.19
10/1/2017,213.22
1/1/2018,218.85
4/1/2018,221.65
7/1/2018,225.23
10/1/2018,226.18
1/1/2019,229.75
4/1/2019,232.48
7/1/2019,234.13
10/1/2019,235.36
1/1/2020,238.07
4/1/2020,239.96
7/1/2020,245.88
10/1/2020,250.37
1/1/2021,253.59
4/1/2021,267.58
