DATE,Rochester_NY
10/1/1978,44.22
1/1/1979,48.74
4/1/1979,47.2
7/1/1979,50.56
10/1/1979,49.63
1/1/1980,49.48
4/1/1980,51.32
7/1/1980,54.3
10/1/1980,52.48
1/1/1981,52.06
4/1/1981,55.59
7/1/1981,57.32
10/1/1981,54.89
1/1/1982,53.7
4/1/1982,58.37
7/1/1982,60.02
10/1/1982,62.1
1/1/1983,63.22
4/1/1983,64.49
7/1/1983,65.88
10/1/1983,69.13
1/1/1984,68.21
4/1/1984,72.8
7/1/1984,72.56
10/1/1984,73.33
1/1/1985,75.18
4/1/1985,76.23
7/1/1985,79.12
10/1/1985,79.66
1/1/1986,81.64
4/1/1986,83.46
7/1/1986,84.09
10/1/1986,86.74
1/1/1987,87.8
4/1/1987,90.15
7/1/1987,91.68
10/1/1987,91.89
1/1/1988,93.06
4/1/1988,94.68
7/1/1988,95.1
10/1/1988,95.58
1/1/1989,95.88
4/1/1989,96.98
7/1/1989,98.45
10/1/1989,98.73
1/1/1990,98.54
4/1/1990,98.47
7/1/1990,98.6
10/1/1990,98.25
1/1/1991,98.34
4/1/1991,99.95
7/1/1991,99.77
10/1/1991,100.48
1/1/1992,101.87
4/1/1992,101.5
7/1/1992,102.59
10/1/1992,103.19
1/1/1993,102.55
4/1/1993,103.79
7/1/1993,104.23
10/1/1993,104.25
1/1/1994,104.01
4/1/1994,102.43
7/1/1994,101.6
10/1/1994,100.07
1/1/1995,100
4/1/1995,101.23
7/1/1995,102.19
10/1/1995,102.43
1/1/1996,103.65
4/1/1996,102.86
7/1/1996,101.7
10/1/1996,101.53
1/1/1997,101.99
4/1/1997,101.74
7/1/1997,102.45
10/1/1997,103.42
1/1/1998,104.76
4/1/1998,105.02
7/1/1998,105.03
10/1/1998,106.36
1/1/1999,106.63
4/1/1999,106.74
7/1/1999,106.71
10/1/1999,106.64
1/1/2000,105.86
4/1/2000,108.16
7/1/2000,109.03
10/1/2000,109.73
1/1/2001,110.64
4/1/2001,112.01
7/1/2001,113.17
10/1/2001,113.89
1/1/2002,114.93
4/1/2002,115.77
7/1/2002,116.99
10/1/2002,117.91
1/1/2003,119.16
4/1/2003,119.86
7/1/2003,121.77
10/1/2003,123.26
1/1/2004,124.15
4/1/2004,126.19
7/1/2004,127.39
10/1/2004,128.53
1/1/2005,128.12
4/1/2005,131.33
7/1/2005,133.86
10/1/2005,133.89
1/1/2006,133.04
4/1/2006,134.71
7/1/2006,135.78
10/1/2006,135.48
1/1/2007,135.38
4/1/2007,137.58
7/1/2007,137.31
10/1/2007,136.97
1/1/2008,138.7
4/1/2008,139.27
7/1/2008,138.19
10/1/2008,138.01
1/1/2009,140.6
4/1/2009,139.86
7/1/2009,139.33
10/1/2009,139.3
1/1/2010,139.63
4/1/2010,138.29
7/1/2010,140.25
10/1/2010,140.38
1/1/2011,139.21
4/1/2011,137.63
7/1/2011,139.37
10/1/2011,139.49
1/1/2012,139.48
4/1/2012,139.06
7/1/2012,139.62
10/1/2012,140.26
1/1/2013,140.39
4/1/2013,140.53
7/1/2013,141.48
10/1/2013,139.49
1/1/2014,139.34
4/1/2014,142.56
7/1/2014,143.05
10/1/2014,142.59
1/1/2015,142.95
4/1/2015,144.42
7/1/2015,146.63
10/1/2015,146.07
1/1/2016,145.55
4/1/2016,148.63
7/1/2016,149.56
10/1/2016,149.85
1/1/2017,149.54
4/1/2017,153.17
7/1/2017,156.19
10/1/2017,156.97
1/1/2018,156.83
4/1/2018,161.67
7/1/2018,164.14
10/1/2018,163.77
1/1/2019,164.76
4/1/2019,168.8
7/1/2019,170.35
10/1/2019,171.14
1/1/2020,173.59
4/1/2020,175.79
7/1/2020,180.94
10/1/2020,184.47
1/1/2021,187.93
4/1/2021,199.07
