DATE,Sacramento_Roseville_Folsom_CA
4/1/1976,27.8
7/1/1976,30.22
10/1/1976,30.55
1/1/1977,24.24
4/1/1977,26.66
7/1/1977,34.7
10/1/1977,35.57
1/1/1978,37.61
4/1/1978,39.3
7/1/1978,40.95
10/1/1978,43.45
1/1/1979,45.04
4/1/1979,47.77
7/1/1979,49.47
10/1/1979,50.09
1/1/1980,51.76
4/1/1980,53.25
7/1/1980,54.44
10/1/1980,55.96
1/1/1981,56.68
4/1/1981,58.7
7/1/1981,61.64
10/1/1981,64.43
1/1/1982,60.05
4/1/1982,57.45
7/1/1982,57.67
10/1/1982,62.67
1/1/1983,61.29
4/1/1983,61.3
7/1/1983,59.51
10/1/1983,60.63
1/1/1984,60.65
4/1/1984,61.62
7/1/1984,61.55
10/1/1984,61.66
1/1/1985,63.06
4/1/1985,63.72
7/1/1985,64.53
10/1/1985,64.9
1/1/1986,65.77
4/1/1986,66.96
7/1/1986,67.48
10/1/1986,69.03
1/1/1987,70.52
4/1/1987,71.42
7/1/1987,72.26
10/1/1987,73.55
1/1/1988,74.82
4/1/1988,76.63
7/1/1988,79.16
10/1/1988,80.99
1/1/1989,82.84
4/1/1989,86.91
7/1/1989,92.21
10/1/1989,96.54
1/1/1990,101.79
4/1/1990,108.12
7/1/1990,113.38
10/1/1990,114.2
1/1/1991,115.52
4/1/1991,115.61
7/1/1991,114.78
10/1/1991,115.18
1/1/1992,114.4
4/1/1992,113.03
7/1/1992,112.64
10/1/1992,111.47
1/1/1993,109.88
4/1/1993,109.13
7/1/1993,108.55
10/1/1993,107.87
1/1/1994,106.79
4/1/1994,104
7/1/1994,101.93
10/1/1994,100.84
1/1/1995,100
4/1/1995,100.87
7/1/1995,102.12
10/1/1995,101.73
1/1/1996,101.86
4/1/1996,100.11
7/1/1996,99.34
10/1/1996,99.52
1/1/1997,99.82
4/1/1997,100.12
7/1/1997,101.79
10/1/1997,103.6
1/1/1998,105
4/1/1998,105.54
7/1/1998,107.41
10/1/1998,109.03
1/1/1999,110.26
4/1/1999,111.62
7/1/1999,113.56
10/1/1999,115.46
1/1/2000,120.96
4/1/2000,123.44
7/1/2000,128.28
10/1/2000,132.25
1/1/2001,138.3
4/1/2001,144.21
7/1/2001,149.31
10/1/2001,152.09
1/1/2002,155.52
4/1/2002,161.55
7/1/2002,168.6
10/1/2002,173.48
1/1/2003,177.72
4/1/2003,181.49
7/1/2003,187.67
10/1/2003,199.18
1/1/2004,204.96
4/1/2004,218.06
7/1/2004,239.37
10/1/2004,248.85
1/1/2005,260.55
4/1/2005,275.75
7/1/2005,287.25
10/1/2005,293.81
1/1/2006,291.78
4/1/2006,288.57
7/1/2006,284.77
10/1/2006,280.77
1/1/2007,273.81
4/1/2007,265.82
7/1/2007,252.41
10/1/2007,242.14
1/1/2008,230.19
4/1/2008,211.17
7/1/2008,196.43
10/1/2008,190.53
1/1/2009,192.26
4/1/2009,183.67
7/1/2009,176.74
10/1/2009,174.45
1/1/2010,171.63
4/1/2010,168.12
7/1/2010,168.88
10/1/2010,166.06
1/1/2011,157.27
4/1/2011,153.49
7/1/2011,153.62
10/1/2011,154.36
1/1/2012,152.97
4/1/2012,152.55
7/1/2012,156.64
10/1/2012,161.36
1/1/2013,166.79
4/1/2013,177.69
7/1/2013,190.2
10/1/2013,196.47
1/1/2014,199.58
4/1/2014,204.68
7/1/2014,208.67
10/1/2014,210.49
1/1/2015,212.37
4/1/2015,217.6
7/1/2015,222.97
10/1/2015,225.36
1/1/2016,228.98
4/1/2016,234.58
7/1/2016,239.73
10/1/2016,243.56
1/1/2017,248.81
4/1/2017,255.74
7/1/2017,261.44
10/1/2017,265.29
1/1/2018,269.59
4/1/2018,274.69
7/1/2018,278.38
10/1/2018,277.93
1/1/2019,280.03
4/1/2019,283.71
7/1/2019,288.01
10/1/2019,289.38
1/1/2020,292.74
4/1/2020,296.35
7/1/2020,301.27
10/1/2020,310.12
1/1/2021,319.85
4/1/2021,340.68
