DATE,Salt_Lake_City_UT
1/1/1977,34.87
4/1/1977,36.36
7/1/1977,37.75
10/1/1977,38.79
1/1/1978,41.02
4/1/1978,41.99
7/1/1978,44.6
10/1/1978,45.28
1/1/1979,48.6
4/1/1979,50.22
7/1/1979,49.87
10/1/1979,51.35
1/1/1980,50.8
4/1/1980,48.9
7/1/1980,53.22
10/1/1980,52.68
1/1/1981,55.3
4/1/1981,54.9
7/1/1981,53.79
10/1/1981,57.61
1/1/1982,55.99
4/1/1982,56.77
7/1/1982,56.27
10/1/1982,57.19
1/1/1983,58.58
4/1/1983,58.7
7/1/1983,58.69
10/1/1983,59.85
1/1/1984,59.68
4/1/1984,59.75
7/1/1984,62.1
10/1/1984,59.21
1/1/1985,61.2
4/1/1985,62.14
7/1/1985,61.18
10/1/1985,60.95
1/1/1986,63.46
4/1/1986,63.55
7/1/1986,62.71
10/1/1986,63.03
1/1/1987,63.42
4/1/1987,63.25
7/1/1987,61.11
10/1/1987,59.76
1/1/1988,60.02
4/1/1988,59.87
7/1/1988,59.84
10/1/1988,58.32
1/1/1989,59.23
4/1/1989,59.33
7/1/1989,60.79
10/1/1989,60.46
1/1/1990,60.94
4/1/1990,61.66
7/1/1990,62.69
10/1/1990,62.78
1/1/1991,64.5
4/1/1991,66.1
7/1/1991,65.95
10/1/1991,67.58
1/1/1992,68.67
4/1/1992,70.21
7/1/1992,71.4
10/1/1992,73.45
1/1/1993,75.37
4/1/1993,77.52
7/1/1993,80.76
10/1/1993,83.95
1/1/1994,87.74
4/1/1994,92.82
7/1/1994,96.15
10/1/1994,98.22
1/1/1995,100
4/1/1995,103.21
7/1/1995,106.93
10/1/1995,108.94
1/1/1996,111.22
4/1/1996,113.13
7/1/1996,115.3
10/1/1996,117.54
1/1/1997,119.44
4/1/1997,120.14
7/1/1997,122.22
10/1/1997,124.43
1/1/1998,126.08
4/1/1998,127.31
7/1/1998,128.34
10/1/1998,129.65
1/1/1999,130.42
4/1/1999,129.88
7/1/1999,128.74
10/1/1999,129.14
1/1/2000,130.06
4/1/2000,130.35
7/1/2000,131.41
10/1/2000,133.29
1/1/2001,136.27
4/1/2001,136.59
7/1/2001,137
10/1/2001,138.15
1/1/2002,138.32
4/1/2002,138.22
7/1/2002,139.98
10/1/2002,140.57
1/1/2003,140.91
4/1/2003,141.46
7/1/2003,141.99
10/1/2003,142.51
1/1/2004,143.99
4/1/2004,145.42
7/1/2004,147.61
10/1/2004,149.81
1/1/2005,152.16
4/1/2005,157.33
7/1/2005,162.88
10/1/2005,169.24
1/1/2006,175.67
4/1/2006,185.95
7/1/2006,195.46
10/1/2006,202.76
1/1/2007,209.18
4/1/2007,214.53
7/1/2007,217.51
10/1/2007,218.78
1/1/2008,217.7
4/1/2008,213.82
7/1/2008,207.79
10/1/2008,206.8
1/1/2009,204.69
4/1/2009,196.09
7/1/2009,187.74
10/1/2009,186.02
1/1/2010,183.42
4/1/2010,180.42
7/1/2010,182.1
10/1/2010,181.22
1/1/2011,173.87
4/1/2011,170.88
7/1/2011,172.77
10/1/2011,173.73
1/1/2012,173.61
4/1/2012,172.98
7/1/2012,177.59
10/1/2012,180.65
1/1/2013,182.9
4/1/2013,188.99
7/1/2013,193.51
10/1/2013,196.78
1/1/2014,197.94
4/1/2014,201.87
7/1/2014,204.12
10/1/2014,206.08
1/1/2015,207.43
4/1/2015,211.33
7/1/2015,215.85
10/1/2015,218.56
1/1/2016,221.82
4/1/2016,227.24
7/1/2016,232.82
10/1/2016,235.87
1/1/2017,240.57
4/1/2017,249.32
7/1/2017,254.4
10/1/2017,257.48
1/1/2018,263.62
4/1/2018,272.49
7/1/2018,278.18
10/1/2018,281.44
1/1/2019,285.34
4/1/2019,291.95
7/1/2019,296.32
10/1/2019,300.52
1/1/2020,304.26
4/1/2020,310.5
7/1/2020,317.81
10/1/2020,328.27
1/1/2021,339.81
4/1/2021,371.61
