DATE,San_Antonio_TX
4/1/1979,65.33
7/1/1979,66.84
10/1/1979,70.28
1/1/1980,73.65
4/1/1980,76.51
7/1/1980,73.24
10/1/1980,73.61
1/1/1981,77.52
4/1/1981,77.67
7/1/1981,84.06
10/1/1981,99.86
1/1/1982,100.37
4/1/1982,88.4
7/1/1982,86.99
10/1/1982,84.92
1/1/1983,91.2
4/1/1983,94.92
7/1/1983,96.5
10/1/1983,94.98
1/1/1984,93.96
4/1/1984,97.18
7/1/1984,108.68
10/1/1984,108.86
1/1/1985,95.52
4/1/1985,99.04
7/1/1985,97.92
10/1/1985,99.74
1/1/1986,102.85
4/1/1986,103.69
7/1/1986,102.81
10/1/1986,101.33
1/1/1987,100.7
4/1/1987,99.11
7/1/1987,95.78
10/1/1987,90.66
1/1/1988,88.16
4/1/1988,89.68
7/1/1988,88.17
10/1/1988,85.66
1/1/1989,83.8
4/1/1989,83.7
7/1/1989,87.06
10/1/1989,84.81
1/1/1990,83.14
4/1/1990,82.59
7/1/1990,85.18
10/1/1990,83.93
1/1/1991,84.17
4/1/1991,85.33
7/1/1991,85.79
10/1/1991,86.82
1/1/1992,89.06
4/1/1992,89.74
7/1/1992,90.9
10/1/1992,92.22
1/1/1993,93.78
4/1/1993,95.12
7/1/1993,96.79
10/1/1993,98.28
1/1/1994,99.39
4/1/1994,99.88
7/1/1994,99.72
10/1/1994,98.52
1/1/1995,100
4/1/1995,102.01
7/1/1995,103.66
10/1/1995,104.24
1/1/1996,105.43
4/1/1996,103.75
7/1/1996,102.19
10/1/1996,102.86
1/1/1997,103.59
4/1/1997,103.03
7/1/1997,104.34
10/1/1997,105.36
1/1/1998,107.26
4/1/1998,107.3
7/1/1998,108.31
10/1/1998,108.7
1/1/1999,109.4
4/1/1999,110.14
7/1/1999,111.4
10/1/1999,111.8
1/1/2000,113.05
4/1/2000,114.13
7/1/2000,114.25
10/1/2000,116.85
1/1/2001,119.16
4/1/2001,120.06
7/1/2001,120.93
10/1/2001,122.66
1/1/2002,123.76
4/1/2002,124.66
7/1/2002,126.4
10/1/2002,127.58
1/1/2003,128.82
4/1/2003,131.29
7/1/2003,131.23
10/1/2003,133.57
1/1/2004,133.83
4/1/2004,135.75
7/1/2004,139.26
10/1/2004,139.43
1/1/2005,141.78
4/1/2005,146.04
7/1/2005,148.46
10/1/2005,152.2
1/1/2006,154.55
4/1/2006,157.75
7/1/2006,161.24
10/1/2006,164.03
1/1/2007,168.53
4/1/2007,170.75
7/1/2007,172.12
10/1/2007,173.84
1/1/2008,173.54
4/1/2008,174.28
7/1/2008,172.13
10/1/2008,170.69
1/1/2009,175.27
4/1/2009,174.72
7/1/2009,172.13
10/1/2009,170.9
1/1/2010,169.8
4/1/2010,168.07
7/1/2010,170.22
10/1/2010,171.85
1/1/2011,169.74
4/1/2011,169.65
7/1/2011,170.45
10/1/2011,169.64
1/1/2012,169.78
4/1/2012,172.72
7/1/2012,171.7
10/1/2012,175.35
1/1/2013,174.16
4/1/2013,175.58
7/1/2013,176.68
10/1/2013,179.5
1/1/2014,182.27
4/1/2014,184.72
7/1/2014,189.48
10/1/2014,190.05
1/1/2015,194.08
4/1/2015,199.72
7/1/2015,203.14
10/1/2015,202.36
1/1/2016,207.88
4/1/2016,210
7/1/2016,215.62
10/1/2016,217.29
1/1/2017,220.06
4/1/2017,225.97
7/1/2017,228.56
10/1/2017,231.66
1/1/2018,232.35
4/1/2018,238.37
7/1/2018,241.53
10/1/2018,244.95
1/1/2019,247.21
4/1/2019,252.16
7/1/2019,256.59
10/1/2019,257.61
1/1/2020,261.22
4/1/2020,262.36
7/1/2020,266.63
10/1/2020,273.08
1/1/2021,278.38
4/1/2021,290.55
