DATE,San_Diego_Carlsbad_CA
10/1/1975,25.19
1/1/1976,28.08
4/1/1976,27.31
7/1/1976,28.06
10/1/1976,29.35
1/1/1977,30.38
4/1/1977,32.84
7/1/1977,35.55
10/1/1977,38.29
1/1/1978,39.92
4/1/1978,41.7
7/1/1978,43.5
10/1/1978,45.28
1/1/1979,47.91
4/1/1979,50.51
7/1/1979,52.77
10/1/1979,54.26
1/1/1980,54.94
4/1/1980,55.79
7/1/1980,56.85
10/1/1980,51.88
1/1/1981,57.17
4/1/1981,59.12
7/1/1981,60.51
10/1/1981,56.07
1/1/1982,57.63
4/1/1982,52.38
7/1/1982,52.92
10/1/1982,59.37
1/1/1983,57.77
4/1/1983,57.42
7/1/1983,60.14
10/1/1983,60.82
1/1/1984,61.29
4/1/1984,61.71
7/1/1984,62.43
10/1/1984,63.35
1/1/1985,63.56
4/1/1985,64.6
7/1/1985,66
10/1/1985,66.12
1/1/1986,67.49
4/1/1986,68.42
7/1/1986,70.1
10/1/1986,71.27
1/1/1987,72.93
4/1/1987,74.6
7/1/1987,76.45
10/1/1987,78.18
1/1/1988,80.42
4/1/1988,82.94
7/1/1988,86.63
10/1/1988,91.93
1/1/1989,96.76
4/1/1989,101.58
7/1/1989,106.7
10/1/1989,109.68
1/1/1990,110.94
4/1/1990,111.15
7/1/1990,112.36
10/1/1990,111.27
1/1/1991,111.29
4/1/1991,110.57
7/1/1991,110.51
10/1/1991,111.09
1/1/1992,110.77
4/1/1992,109.83
7/1/1992,109.59
10/1/1992,108.62
1/1/1993,107.29
4/1/1993,106.37
7/1/1993,105.51
10/1/1993,105.25
1/1/1994,104.31
4/1/1994,102.28
7/1/1994,101.29
10/1/1994,100.35
1/1/1995,100
4/1/1995,100.68
7/1/1995,101.72
10/1/1995,101.68
1/1/1996,101.74
4/1/1996,100.13
7/1/1996,100.12
10/1/1996,101.04
1/1/1997,101.2
4/1/1997,102.14
7/1/1997,104.26
10/1/1997,105.8
1/1/1998,108.41
4/1/1998,111.57
7/1/1998,115.28
10/1/1998,117.74
1/1/1999,119.93
4/1/1999,122.39
7/1/1999,126.49
10/1/1999,129.97
1/1/2000,136.62
4/1/2000,140.74
7/1/2000,145.54
10/1/2000,150.05
1/1/2001,154.93
4/1/2001,159.26
7/1/2001,163.84
10/1/2001,167.62
1/1/2002,173.46
4/1/2002,181.61
7/1/2002,190.07
10/1/2002,196.52
1/1/2003,202.43
4/1/2003,207.07
7/1/2003,214.55
10/1/2003,229.67
1/1/2004,238.88
4/1/2004,254.32
7/1/2004,283.13
10/1/2004,292.05
1/1/2005,301.11
4/1/2005,309.47
7/1/2005,316.71
10/1/2005,323.69
1/1/2006,324.8
4/1/2006,323.3
7/1/2006,322.19
10/1/2006,318.73
1/1/2007,313.41
4/1/2007,307.14
7/1/2007,297.02
10/1/2007,287.72
1/1/2008,274.17
4/1/2008,254.42
7/1/2008,237.79
10/1/2008,231.53
1/1/2009,231.4
4/1/2009,223.15
7/1/2009,219.23
10/1/2009,222.67
1/1/2010,222.01
4/1/2010,221.61
7/1/2010,223.74
10/1/2010,222.69
1/1/2011,216.06
4/1/2011,211.15
7/1/2011,213.26
10/1/2011,213.09
1/1/2012,211.61
4/1/2012,211.46
7/1/2012,215.86
10/1/2012,220.26
1/1/2013,224.8
4/1/2013,235.76
7/1/2013,248.02
10/1/2013,255.01
1/1/2014,258.78
4/1/2014,263.93
7/1/2014,266.88
10/1/2014,269.66
1/1/2015,272
4/1/2015,276.56
7/1/2015,282.91
10/1/2015,286.62
1/1/2016,290.4
4/1/2016,295
7/1/2016,300.87
10/1/2016,305.14
1/1/2017,309.42
4/1/2017,316.79
7/1/2017,323.01
10/1/2017,327.09
1/1/2018,332.32
4/1/2018,337.91
7/1/2018,340.27
10/1/2018,341.28
1/1/2019,341.87
4/1/2019,345.43
7/1/2019,349.25
10/1/2019,351.9
1/1/2020,355.64
4/1/2020,360.7
7/1/2020,366.11
10/1/2020,373.7
1/1/2021,385.04
4/1/2021,407.88
