DATE,Santa_Fe_NM
10/1/1983,52.64
1/1/1984,54.47
4/1/1984,52.27
7/1/1984,54.06
10/1/1984,58.52
1/1/1985,58.52
4/1/1985,56.56
7/1/1985,55.1
10/1/1985,57.98
1/1/1986,55.67
4/1/1986,58.09
7/1/1986,57.7
10/1/1986,58.76
1/1/1987,58.73
4/1/1987,58.43
7/1/1987,56.43
10/1/1987,58.85
1/1/1988,58.09
4/1/1988,58.09
7/1/1988,62.33
10/1/1988,61
1/1/1989,60.27
4/1/1989,63.74
7/1/1989,63.13
10/1/1989,66.41
1/1/1990,65.29
4/1/1990,67.31
7/1/1990,69.71
10/1/1990,72.66
1/1/1991,71.2
4/1/1991,73.23
7/1/1991,74.39
10/1/1991,75.92
1/1/1992,77.94
4/1/1992,78.99
7/1/1992,79.98
10/1/1992,82.07
1/1/1993,84.68
4/1/1993,85.82
7/1/1993,88.02
10/1/1993,89.79
1/1/1994,93.85
4/1/1994,95
7/1/1994,95.2
10/1/1994,98
1/1/1995,100
4/1/1995,102.16
7/1/1995,102.68
10/1/1995,104.89
1/1/1996,104.55
4/1/1996,103.49
7/1/1996,102.11
10/1/1996,102.94
1/1/1997,103.66
4/1/1997,103.6
7/1/1997,104.52
10/1/1997,104.76
1/1/1998,107.07
4/1/1998,106.23
7/1/1998,107.7
10/1/1998,108.8
1/1/1999,110.46
4/1/1999,109.09
7/1/1999,109.88
10/1/1999,110.55
1/1/2000,110.74
4/1/2000,115.04
7/1/2000,114.67
10/1/2000,117.57
1/1/2001,120.78
4/1/2001,121.21
7/1/2001,122.9
10/1/2001,124.53
1/1/2002,125.98
4/1/2002,128.51
7/1/2002,131.13
10/1/2002,132.42
1/1/2003,136.04
4/1/2003,138.29
7/1/2003,141.56
10/1/2003,146.77
1/1/2004,149.37
4/1/2004,151.67
7/1/2004,157.38
10/1/2004,159.74
1/1/2005,165.57
4/1/2005,168.57
7/1/2005,175.72
10/1/2005,180.57
1/1/2006,182.34
4/1/2006,188.53
7/1/2006,193.04
10/1/2006,195.41
1/1/2007,196.95
4/1/2007,198.14
7/1/2007,199.16
10/1/2007,202.02
1/1/2008,198.88
4/1/2008,197.32
7/1/2008,191.97
10/1/2008,188.78
1/1/2009,190.44
4/1/2009,186.23
7/1/2009,181.3
10/1/2009,177.55
1/1/2010,174.55
4/1/2010,170.83
7/1/2010,172.24
10/1/2010,170.39
1/1/2011,165.23
4/1/2011,162.1
7/1/2011,163.87
10/1/2011,163.77
1/1/2012,161.65
4/1/2012,157.19
7/1/2012,158.68
10/1/2012,159.43
1/1/2013,158.99
4/1/2013,160.62
7/1/2013,159.59
10/1/2013,162.72
1/1/2014,160.26
4/1/2014,160.21
7/1/2014,162.92
10/1/2014,161.82
1/1/2015,163.69
4/1/2015,165.68
7/1/2015,170.95
10/1/2015,170.24
1/1/2016,169.59
4/1/2016,174.25
7/1/2016,176.89
10/1/2016,179.74
1/1/2017,175.68
4/1/2017,180.62
7/1/2017,183.31
10/1/2017,186.15
1/1/2018,188.76
4/1/2018,191.9
7/1/2018,197.12
10/1/2018,200.54
1/1/2019,201.13
4/1/2019,206.03
7/1/2019,213.13
10/1/2019,215.74
1/1/2020,217.57
4/1/2020,220.42
7/1/2020,225.5
10/1/2020,228.16
1/1/2021,235.39
4/1/2021,247.76
