DATE,Seattle_WA
7/1/1975,20.78
10/1/1975,20.05
1/1/1976,21.81
4/1/1976,22.41
7/1/1976,23.9
10/1/1976,24.33
1/1/1977,25.42
4/1/1977,26.79
7/1/1977,28.7
10/1/1977,30.89
1/1/1978,32.54
4/1/1978,35.64
7/1/1978,37.78
10/1/1978,39.28
1/1/1979,39.99
4/1/1979,42.26
7/1/1979,43.4
10/1/1979,45.14
1/1/1980,46.38
4/1/1980,46.02
7/1/1980,47.71
10/1/1980,47.18
1/1/1981,45.03
4/1/1981,48.12
7/1/1981,48.97
10/1/1981,48.83
1/1/1982,38.97
4/1/1982,44.94
7/1/1982,43.79
10/1/1982,48.37
1/1/1983,48.43
4/1/1983,48.33
7/1/1983,48.62
10/1/1983,49.33
1/1/1984,49.61
4/1/1984,50.09
7/1/1984,50.64
10/1/1984,51.23
1/1/1985,51.64
4/1/1985,51.89
7/1/1985,52.41
10/1/1985,52.67
1/1/1986,53.12
4/1/1986,53.38
7/1/1986,54.08
10/1/1986,54.72
1/1/1987,55.58
4/1/1987,56.21
7/1/1987,56.98
10/1/1987,57.59
1/1/1988,58.9
4/1/1988,59.98
7/1/1988,61.33
10/1/1988,62.42
1/1/1989,64.88
4/1/1989,68.44
7/1/1989,71.85
10/1/1989,76.9
1/1/1990,84.06
4/1/1990,90.75
7/1/1990,92.42
10/1/1990,91.51
1/1/1991,91.86
4/1/1991,92.25
7/1/1991,92.39
10/1/1991,93.54
1/1/1992,93.56
4/1/1992,94.04
7/1/1992,94.87
10/1/1992,95.22
1/1/1993,95.32
4/1/1993,95.81
7/1/1993,96.51
10/1/1993,97.21
1/1/1994,98.16
4/1/1994,99.2
7/1/1994,99.23
10/1/1994,98.87
1/1/1995,100
4/1/1995,100.97
7/1/1995,101.98
10/1/1995,102.77
1/1/1996,103.65
4/1/1996,104.39
7/1/1996,105.05
10/1/1996,105.77
1/1/1997,107.43
4/1/1997,110.03
7/1/1997,112.48
10/1/1997,114.57
1/1/1998,117.24
4/1/1998,120.43
7/1/1998,123.58
10/1/1998,125.08
1/1/1999,127.16
4/1/1999,130.98
7/1/1999,134.29
10/1/1999,135.64
1/1/2000,139.73
4/1/2000,141.9
7/1/2000,143.93
10/1/2000,145.94
1/1/2001,149.29
4/1/2001,151.83
7/1/2001,153.83
10/1/2001,154.6
1/1/2002,156.54
4/1/2002,159.15
7/1/2002,160.91
10/1/2002,161.9
1/1/2003,163.37
4/1/2003,164.75
7/1/2003,166.6
10/1/2003,170.9
1/1/2004,173.1
4/1/2004,178.16
7/1/2004,185.4
10/1/2004,189.21
1/1/2005,195.32
4/1/2005,205.27
7/1/2005,213.5
10/1/2005,222.14
1/1/2006,230.78
4/1/2006,240.36
7/1/2006,248.04
10/1/2006,252.89
1/1/2007,258.44
4/1/2007,262.83
7/1/2007,263.75
10/1/2007,264.01
1/1/2008,262.24
4/1/2008,256.39
7/1/2008,248.11
10/1/2008,243.32
1/1/2009,240.41
4/1/2009,228.61
7/1/2009,220.68
10/1/2009,217.51
1/1/2010,213.9
4/1/2010,211.59
7/1/2010,211.05
10/1/2010,207.06
1/1/2011,199.87
4/1/2011,195.15
7/1/2011,195.97
10/1/2011,195.89
1/1/2012,193.18
4/1/2012,192.49
7/1/2012,196.75
10/1/2012,200.1
1/1/2013,202.32
4/1/2013,208.78
7/1/2013,216.03
10/1/2013,219.43
1/1/2014,222.57
4/1/2014,229.9
7/1/2014,235.43
10/1/2014,237.21
1/1/2015,240.5
4/1/2015,249.9
7/1/2015,258.05
10/1/2015,262.22
1/1/2016,269.41
4/1/2016,280.48
7/1/2016,289.03
10/1/2016,293.54
1/1/2017,301.64
4/1/2017,316.55
7/1/2017,326.08
10/1/2017,331.44
1/1/2018,340.5
4/1/2018,352.84
7/1/2018,353.89
10/1/2018,351.2
1/1/2019,353.7
4/1/2019,358.65
7/1/2019,361.44
10/1/2019,363.45
1/1/2020,368.91
4/1/2020,373.8
7/1/2020,380.89
10/1/2020,388.99
1/1/2021,397.43
4/1/2021,427.2
