DATE,St_Cloud_MN
10/1/1987,78.24
1/1/1988,76.34
4/1/1988,80.89
7/1/1988,78.57
10/1/1988,77.64
1/1/1989,79.88
4/1/1989,82.57
7/1/1989,81.7
10/1/1989,82.24
1/1/1990,85.78
4/1/1990,83.92
7/1/1990,83
10/1/1990,85.64
1/1/1991,85.23
4/1/1991,86.82
7/1/1991,86.38
10/1/1991,88.8
1/1/1992,88.87
4/1/1992,89.35
7/1/1992,90.94
10/1/1992,91.72
1/1/1993,92.57
4/1/1993,93.75
7/1/1993,94.72
10/1/1993,96.26
1/1/1994,97.17
4/1/1994,99.52
7/1/1994,100.4
10/1/1994,100.38
1/1/1995,100
4/1/1995,104.17
7/1/1995,105.24
10/1/1995,105.24
1/1/1996,108.46
4/1/1996,109.15
7/1/1996,109.4
10/1/1996,110.59
1/1/1997,112.31
4/1/1997,114.26
7/1/1997,115.72
10/1/1997,117.63
1/1/1998,119.2
4/1/1998,118.96
7/1/1998,120.83
10/1/1998,122.07
1/1/1999,123.59
4/1/1999,125.93
7/1/1999,129.35
10/1/1999,129.45
1/1/2000,132.33
4/1/2000,136.29
7/1/2000,140.22
10/1/2000,142.63
1/1/2001,145.12
4/1/2001,147.88
7/1/2001,151.75
10/1/2001,153.97
1/1/2002,156.66
4/1/2002,160.98
7/1/2002,164.64
10/1/2002,166.34
1/1/2003,168.22
4/1/2003,172.01
7/1/2003,175.64
10/1/2003,181.22
1/1/2004,183.09
4/1/2004,187.76
7/1/2004,192.06
10/1/2004,194.09
1/1/2005,199.35
4/1/2005,203.05
7/1/2005,206.35
10/1/2005,209.96
1/1/2006,212.85
4/1/2006,212.02
7/1/2006,212.5
10/1/2006,212.68
1/1/2007,214.24
4/1/2007,215.52
7/1/2007,208.52
10/1/2007,206.87
1/1/2008,208.03
4/1/2008,203.25
7/1/2008,200.12
10/1/2008,199.86
1/1/2009,203.03
4/1/2009,197.79
7/1/2009,191.05
10/1/2009,187.31
1/1/2010,183.54
4/1/2010,183.8
7/1/2010,189.68
10/1/2010,187.65
1/1/2011,177.99
4/1/2011,177.85
7/1/2011,180.17
10/1/2011,181.14
1/1/2012,176.76
4/1/2012,174.86
7/1/2012,177.21
10/1/2012,178.17
1/1/2013,177.54
4/1/2013,178.84
7/1/2013,179.7
10/1/2013,180.37
1/1/2014,179.59
4/1/2014,184.77
7/1/2014,184.87
10/1/2014,187.43
1/1/2015,186.62
4/1/2015,190.8
7/1/2015,192.47
10/1/2015,191.73
1/1/2016,193.84
4/1/2016,196.91
7/1/2016,200.52
10/1/2016,200.75
1/1/2017,202
4/1/2017,207.96
7/1/2017,210.44
10/1/2017,213.93
1/1/2018,214.86
4/1/2018,219.56
7/1/2018,221.16
10/1/2018,220.38
1/1/2019,223.92
4/1/2019,227.08
7/1/2019,231.09
10/1/2019,231.32
1/1/2020,234.44
4/1/2020,235.73
7/1/2020,240.85
10/1/2020,244.53
1/1/2021,248.4
4/1/2021,261.87
