DATE,St_George_UT
4/1/1986,65.2
7/1/1986,65.5
10/1/1986,65.84
1/1/1987,68.19
4/1/1987,67.03
7/1/1987,64.96
10/1/1987,63.33
1/1/1988,67.15
4/1/1988,70.47
7/1/1988,63.02
10/1/1988,67.91
1/1/1989,67.07
4/1/1989,64.53
7/1/1989,66.49
10/1/1989,70.81
1/1/1990,65.61
4/1/1990,69.13
7/1/1990,67.91
10/1/1990,67.47
1/1/1991,69.91
4/1/1991,72.39
7/1/1991,70.93
10/1/1991,72.26
1/1/1992,72.35
4/1/1992,74.24
7/1/1992,74.77
10/1/1992,77.28
1/1/1993,78.95
4/1/1993,80.63
7/1/1993,83.74
10/1/1993,85.34
1/1/1994,89
4/1/1994,92.14
7/1/1994,94.3
10/1/1994,95.7
1/1/1995,100
4/1/1995,99.99
7/1/1995,102.57
10/1/1995,103.37
1/1/1996,106
4/1/1996,105.7
7/1/1996,106.78
10/1/1996,107.23
1/1/1997,108.16
4/1/1997,107.35
7/1/1997,109.45
10/1/1997,111.94
1/1/1998,111.67
4/1/1998,113.83
7/1/1998,112.71
10/1/1998,114.85
1/1/1999,114.47
4/1/1999,112.16
7/1/1999,111.16
10/1/1999,111.37
1/1/2000,111.04
4/1/2000,111.77
7/1/2000,112.15
10/1/2000,113.85
1/1/2001,115.9
4/1/2001,117.23
7/1/2001,115.67
10/1/2001,117.77
1/1/2002,117.11
4/1/2002,116.66
7/1/2002,118.78
10/1/2002,119.95
1/1/2003,120.48
4/1/2003,121.59
7/1/2003,121.75
10/1/2003,123.49
1/1/2004,125.68
4/1/2004,129.4
7/1/2004,136.37
10/1/2004,143.3
1/1/2005,150.29
4/1/2005,165.58
7/1/2005,181.06
10/1/2005,195.01
1/1/2006,205.82
4/1/2006,208.25
7/1/2006,211.91
10/1/2006,214.59
1/1/2007,214.14
4/1/2007,212.78
7/1/2007,209.43
10/1/2007,206.47
1/1/2008,203.57
4/1/2008,193.57
7/1/2008,179.28
10/1/2008,175.99
1/1/2009,173.67
4/1/2009,160.77
7/1/2009,151.61
10/1/2009,147.32
1/1/2010,142.25
4/1/2010,139.67
7/1/2010,138.74
10/1/2010,138.92
1/1/2011,131.98
4/1/2011,126.43
7/1/2011,130.78
10/1/2011,131.93
1/1/2012,133.82
4/1/2012,131.78
7/1/2012,136.03
10/1/2012,139.3
1/1/2013,140.38
4/1/2013,142.8
7/1/2013,148.53
10/1/2013,151.32
1/1/2014,151.84
4/1/2014,156.32
7/1/2014,159.52
10/1/2014,159.32
1/1/2015,162.64
4/1/2015,164.76
7/1/2015,167.42
10/1/2015,170.16
1/1/2016,173.45
4/1/2016,174.65
7/1/2016,178.75
10/1/2016,180.42
1/1/2017,181.21
4/1/2017,186.63
7/1/2017,191.59
10/1/2017,194.57
1/1/2018,200.1
4/1/2018,204
7/1/2018,207.95
10/1/2018,211.2
1/1/2019,216.38
4/1/2019,218.75
7/1/2019,222.62
10/1/2019,225.49
1/1/2020,229.35
4/1/2020,232.87
7/1/2020,238.28
10/1/2020,244.91
1/1/2021,258.11
4/1/2021,287.91
