DATE,Stockton_CA
4/1/1977,34.97
7/1/1977,34.96
10/1/1977,38.85
1/1/1978,39.83
4/1/1978,41.5
7/1/1978,43.94
10/1/1978,46.05
1/1/1979,45.96
4/1/1979,48.86
7/1/1979,49.03
10/1/1979,49.29
1/1/1980,52.51
4/1/1980,52.33
7/1/1980,53.51
10/1/1980,57.78
1/1/1981,56.94
4/1/1981,57.69
7/1/1981,55.36
10/1/1981,61.63
1/1/1982,58.71
4/1/1982,61.56
7/1/1982,61.08
10/1/1982,59.71
1/1/1983,60.8
4/1/1983,61.53
7/1/1983,60.73
10/1/1983,59.84
1/1/1984,62.71
4/1/1984,61.2
7/1/1984,60.73
10/1/1984,61.14
1/1/1985,61.69
4/1/1985,63.98
7/1/1985,66.22
10/1/1985,66.27
1/1/1986,67.91
4/1/1986,69.46
7/1/1986,70.8
10/1/1986,71.51
1/1/1987,73.41
4/1/1987,74.49
7/1/1987,76.73
10/1/1987,78.69
1/1/1988,80.78
4/1/1988,82.7
7/1/1988,85.02
10/1/1988,87.48
1/1/1989,89.42
4/1/1989,94.57
7/1/1989,99.3
10/1/1989,103.8
1/1/1990,105.66
4/1/1990,108.4
7/1/1990,110.06
10/1/1990,110.07
1/1/1991,110.29
4/1/1991,109.75
7/1/1991,109.97
10/1/1991,110.44
1/1/1992,110.25
4/1/1992,109.27
7/1/1992,109.08
10/1/1992,109.09
1/1/1993,107.64
4/1/1993,107.55
7/1/1993,106.94
10/1/1993,106.6
1/1/1994,105.74
4/1/1994,103.68
7/1/1994,102.45
10/1/1994,101.07
1/1/1995,100
4/1/1995,100.7
7/1/1995,101.49
10/1/1995,101.47
1/1/1996,100.62
4/1/1996,98.95
7/1/1996,98.17
10/1/1996,98.6
1/1/1997,98.1
4/1/1997,98.51
7/1/1997,100.55
10/1/1997,100.91
1/1/1998,102.31
4/1/1998,103.01
7/1/1998,105.19
10/1/1998,107.46
1/1/1999,110.16
4/1/1999,111.25
7/1/1999,113.5
10/1/1999,115.42
1/1/2000,119.34
4/1/2000,123.57
7/1/2000,130.65
10/1/2000,136.9
1/1/2001,145.36
4/1/2001,153.39
7/1/2001,157.55
10/1/2001,157.89
1/1/2002,159.93
4/1/2002,163.64
7/1/2002,168.11
10/1/2002,172.54
1/1/2003,176.11
4/1/2003,178.74
7/1/2003,184.29
10/1/2003,192.76
1/1/2004,198.21
4/1/2004,207.72
7/1/2004,228.98
10/1/2004,240.9
1/1/2005,256.14
4/1/2005,275.11
7/1/2005,290.32
10/1/2005,303.55
1/1/2006,307.67
4/1/2006,307.23
7/1/2006,301.62
10/1/2006,299.24
1/1/2007,290.29
4/1/2007,281.95
7/1/2007,259.65
10/1/2007,239.69
1/1/2008,214.87
4/1/2008,181.85
7/1/2008,156.61
10/1/2008,148.45
1/1/2009,147.69
4/1/2009,140.62
7/1/2009,134.13
10/1/2009,134.64
1/1/2010,135.01
4/1/2010,133.15
7/1/2010,134.53
10/1/2010,132.48
1/1/2011,127.34
4/1/2011,124.14
7/1/2011,124.48
10/1/2011,123.7
1/1/2012,122.58
4/1/2012,123.62
7/1/2012,127.27
10/1/2012,131.32
1/1/2013,137.42
4/1/2013,147.85
7/1/2013,161.7
10/1/2013,170.07
1/1/2014,175.58
4/1/2014,180.44
7/1/2014,184.49
10/1/2014,187.65
1/1/2015,188.44
4/1/2015,193.09
7/1/2015,199.27
10/1/2015,203.25
1/1/2016,205.26
4/1/2016,210.29
7/1/2016,216.28
10/1/2016,219.67
1/1/2017,223.62
4/1/2017,229.75
7/1/2017,236.11
10/1/2017,239.62
1/1/2018,243.85
4/1/2018,250.92
7/1/2018,255.38
10/1/2018,257.4
1/1/2019,257.82
4/1/2019,261.76
7/1/2019,263.15
10/1/2019,265.76
1/1/2020,267.15
4/1/2020,270.43
7/1/2020,274.99
10/1/2020,283.28
1/1/2021,294.72
4/1/2021,317.83
