DATE,Tucson_AZ
4/1/1977,36.62
7/1/1977,37.38
10/1/1977,39.25
1/1/1978,40.42
4/1/1978,41.6
7/1/1978,45.72
10/1/1978,47.47
1/1/1979,51.18
4/1/1979,57.01
7/1/1979,55.62
10/1/1979,58.44
1/1/1980,60.4
4/1/1980,55.66
7/1/1980,63.82
10/1/1980,63.5
1/1/1981,62.78
4/1/1981,69.39
7/1/1981,68.58
10/1/1981,61.42
1/1/1982,56.55
4/1/1982,62.51
7/1/1982,64.41
10/1/1982,52.87
1/1/1983,68.71
4/1/1983,64.79
7/1/1983,64.65
10/1/1983,65.55
1/1/1984,64.64
4/1/1984,64.65
7/1/1984,67.68
10/1/1984,70.06
1/1/1985,70.98
4/1/1985,69.37
7/1/1985,71.79
10/1/1985,73.33
1/1/1986,73.29
4/1/1986,74.93
7/1/1986,75.96
10/1/1986,75.61
1/1/1987,77.68
4/1/1987,76.84
7/1/1987,77.21
10/1/1987,76.34
1/1/1988,77.59
4/1/1988,78.74
7/1/1988,77.98
10/1/1988,78.61
1/1/1989,77.43
4/1/1989,78.34
7/1/1989,79.66
10/1/1989,79.58
1/1/1990,78.67
4/1/1990,78.68
7/1/1990,80.24
10/1/1990,79.29
1/1/1991,80.3
4/1/1991,81.23
7/1/1991,81.44
10/1/1991,82.96
1/1/1992,83.44
4/1/1992,84.23
7/1/1992,84.83
10/1/1992,85.5
1/1/1993,86.15
4/1/1993,87.43
7/1/1993,88.29
10/1/1993,90.3
1/1/1994,92.85
4/1/1994,95.81
7/1/1994,97.86
10/1/1994,98.19
1/1/1995,100
4/1/1995,101.33
7/1/1995,102.64
10/1/1995,104.2
1/1/1996,105.17
4/1/1996,105.29
7/1/1996,105.37
10/1/1996,105.81
1/1/1997,106.98
4/1/1997,106.37
7/1/1997,108.3
10/1/1997,109.66
1/1/1998,110.58
4/1/1998,111.26
7/1/1998,112.42
10/1/1998,113.51
1/1/1999,114.38
4/1/1999,115.28
7/1/1999,116.04
10/1/1999,116.98
1/1/2000,119.14
4/1/2000,120.16
7/1/2000,121.59
10/1/2000,123.21
1/1/2001,126.07
4/1/2001,127.89
7/1/2001,129.83
10/1/2001,131.33
1/1/2002,133.22
4/1/2002,135.35
7/1/2002,138.1
10/1/2002,139.75
1/1/2003,141.75
4/1/2003,143.16
7/1/2003,145.9
10/1/2003,151.44
1/1/2004,153.28
4/1/2004,158.41
7/1/2004,166.84
10/1/2004,172.19
1/1/2005,179.29
4/1/2005,195.72
7/1/2005,209.24
10/1/2005,222.72
1/1/2006,228.06
4/1/2006,234.93
7/1/2006,237.23
10/1/2006,237.61
1/1/2007,237.38
4/1/2007,236.25
7/1/2007,232.71
10/1/2007,230.99
1/1/2008,226.35
4/1/2008,214.95
7/1/2008,203.84
10/1/2008,201.35
1/1/2009,198.89
4/1/2009,189.55
7/1/2009,183.75
10/1/2009,176.92
1/1/2010,173.23
4/1/2010,169.32
7/1/2010,168.5
10/1/2010,165.77
1/1/2011,156.03
4/1/2011,150.89
7/1/2011,149.9
10/1/2011,151.08
1/1/2012,147.39
4/1/2012,146.95
7/1/2012,149.6
10/1/2012,152.93
1/1/2013,153.49
4/1/2013,157.5
7/1/2013,158.34
10/1/2013,161.04
1/1/2014,164.83
4/1/2014,165.76
7/1/2014,168.04
10/1/2014,169.03
1/1/2015,169.23
4/1/2015,171.43
7/1/2015,172.02
10/1/2015,174.05
1/1/2016,176.32
4/1/2016,179.65
7/1/2016,181.92
10/1/2016,184.05
1/1/2017,187.28
4/1/2017,192.79
7/1/2017,196.69
10/1/2017,197.23
1/1/2018,200.38
4/1/2018,203.64
7/1/2018,208.15
10/1/2018,211.74
1/1/2019,214.46
4/1/2019,217.48
7/1/2019,221.23
10/1/2019,224.53
1/1/2020,228.44
4/1/2020,231.83
7/1/2020,237.54
10/1/2020,242.86
1/1/2021,253.04
4/1/2021,268.3
