DATE,Tulsa_AZ
1/1/1977,52.61
4/1/1977,52.07
7/1/1977,55.12
10/1/1977,57.22
1/1/1978,58.49
4/1/1978,64.5
7/1/1978,67.19
10/1/1978,67.96
1/1/1979,72.15
4/1/1979,74.17
7/1/1979,75.75
10/1/1979,78.31
1/1/1980,80.75
4/1/1980,81.83
7/1/1980,85.26
10/1/1980,83.44
1/1/1981,80.14
4/1/1981,84.94
7/1/1981,90.28
10/1/1981,91.06
1/1/1982,91.41
4/1/1982,96.66
7/1/1982,96.6
10/1/1982,99.73
1/1/1983,100.42
4/1/1983,98.93
7/1/1983,100.81
10/1/1983,98.29
1/1/1984,98.16
4/1/1984,95.34
7/1/1984,94.36
10/1/1984,92.2
1/1/1985,94.08
4/1/1985,92.73
7/1/1985,94.33
10/1/1985,91.51
1/1/1986,93.32
4/1/1986,95.34
7/1/1986,92
10/1/1986,90.84
1/1/1987,91.78
4/1/1987,90.05
7/1/1987,87.94
10/1/1987,84.84
1/1/1988,86.14
4/1/1988,84.52
7/1/1988,84.62
10/1/1988,84.56
1/1/1989,85.1
4/1/1989,85.78
7/1/1989,86.65
10/1/1989,85.98
1/1/1990,85.36
4/1/1990,86.4
7/1/1990,86.72
10/1/1990,85.41
1/1/1991,87.18
4/1/1991,88.54
7/1/1991,88.06
10/1/1991,89.85
1/1/1992,90.04
4/1/1992,89.95
7/1/1992,91.68
10/1/1992,92.05
1/1/1993,93.31
4/1/1993,94.58
7/1/1993,95.15
10/1/1993,96.66
1/1/1994,97.26
4/1/1994,98.3
7/1/1994,98.31
10/1/1994,97.64
1/1/1995,100
4/1/1995,101.1
7/1/1995,102.58
10/1/1995,103.12
1/1/1996,103.97
4/1/1996,104.52
7/1/1996,105.48
10/1/1996,106.97
1/1/1997,107.14
4/1/1997,107.92
7/1/1997,110.2
10/1/1997,111.48
1/1/1998,113.53
4/1/1998,114.1
7/1/1998,115.72
10/1/1998,118.8
1/1/1999,119.55
4/1/1999,120.78
7/1/1999,123.03
10/1/1999,122.86
1/1/2000,124.99
4/1/2000,126.38
7/1/2000,128.85
10/1/2000,129.96
1/1/2001,132.86
4/1/2001,134.6
7/1/2001,135.8
10/1/2001,137.72
1/1/2002,137.88
4/1/2002,139.36
7/1/2002,141.16
10/1/2002,142.57
1/1/2003,143.11
4/1/2003,144.47
7/1/2003,144.61
10/1/2003,145.57
1/1/2004,147.26
4/1/2004,147.25
7/1/2004,147.29
10/1/2004,149.77
1/1/2005,149.92
4/1/2005,151.38
7/1/2005,152.73
10/1/2005,154.88
1/1/2006,155.91
4/1/2006,155.93
7/1/2006,157.54
10/1/2006,159.15
1/1/2007,162.36
4/1/2007,161.98
7/1/2007,164.73
10/1/2007,165.32
1/1/2008,167.12
4/1/2008,168.1
7/1/2008,166.68
10/1/2008,166.13
1/1/2009,169.59
4/1/2009,167.61
7/1/2009,168.16
10/1/2009,167.71
1/1/2010,167.61
4/1/2010,166.59
7/1/2010,168.49
10/1/2010,168.1
1/1/2011,163.31
4/1/2011,161.8
7/1/2011,162.43
10/1/2011,164.7
1/1/2012,164.35
4/1/2012,163.69
7/1/2012,165.08
10/1/2012,167.05
1/1/2013,165.49
4/1/2013,167.18
7/1/2013,168.42
10/1/2013,166
1/1/2014,167.92
4/1/2014,169.6
7/1/2014,171.69
10/1/2014,171.57
1/1/2015,174.99
4/1/2015,178.89
7/1/2015,179.7
10/1/2015,180.46
1/1/2016,180.11
4/1/2016,182.36
7/1/2016,185.42
10/1/2016,184.88
1/1/2017,186.7
4/1/2017,190.02
7/1/2017,190.43
10/1/2017,193.03
1/1/2018,192.54
4/1/2018,196.34
7/1/2018,198.16
10/1/2018,198.95
1/1/2019,201.33
4/1/2019,202.76
7/1/2019,206.41
10/1/2019,208.68
1/1/2020,210.97
4/1/2020,212.23
7/1/2020,216.34
10/1/2020,220.39
1/1/2021,225.84
4/1/2021,235.05
